iris_code,iris_name,iris_commune,arrondissement,iris_surface_m2,shops_count,food_stores_count,restaurants_count,loisir_count,pharmacies_count,colleges_count,schools_count,lycees_count,hospitals_count,green_spaces_count,sports_count,health_services,education_sites,sports_sites,local_life_sites,health_density,education_density,sport_density,vibrance_density,green_space_density,avg_noise_db
751103904,Porte Saint-Martin 4,Paris 10e Arrondissement,10,80289.37000012235,133,15,40,20,2,0,1,0,0,0,5,2,1,5,75,24.909897785932962,12.454948892966481,62.2747444648324,934.1211669724861,0.0,41.07
751103905,Porte Saint-Martin 5,Paris 10e Arrondissement,10,47439.945000100255,122,18,47,12,0,0,0,0,0,0,0,0,0,0,77,0.0,0.0,0.0,1623.1047485370666,0.0,41.07
751103906,Porte Saint-Martin 6,Paris 10e Arrondissement,10,65982.5700004418,144,11,24,12,1,0,0,0,0,0,0,1,0,0,47,15.155517585830685,0.0,0.0,712.3093265340423,0.0,41.07
751103907,Porte Saint-Martin 7,Paris 10e Arrondissement,10,46774.325000155346,83,9,18,15,3,0,1,0,0,0,0,3,1,0,42,64.13775078507358,21.37925026169119,0.0,897.9285109910301,0.0,41.07
751103908,Porte Saint-Martin 8,Paris 10e Arrondissement,10,68295.68500038826,120,19,40,13,0,1,2,0,1,0,3,1,3,3,72,14.642213486757107,43.92664046027132,43.92664046027132,1054.2393710465117,0.0,41.07
751103909,Porte Saint-Martin 9,Paris 10e Arrondissement,10,39527.42000014208,58,7,31,3,1,0,0,0,0,0,0,1,0,0,41,25.298893780479613,0.0,0.0,1037.2546449996642,0.0,41.07
751103701,Saint-Vincent de Paul 1,Paris 10e Arrondissement,10,48413.335000520674,67,9,23,5,2,0,0,0,0,0,0,2,0,0,37,41.3109322044947,0.0,0.0,764.2522457831519,0.0,41.07
751103710,Saint-Vincent de Paul 10,Paris 10e Arrondissement,10,116054.13000058303,52,8,10,12,0,0,0,0,0,2,0,0,0,0,30,0.0,0.0,0.0,258.50006371896706,17.233337581264472,41.07
751103711,Saint-Vincent de Paul 11,Paris 10e Arrondissement,10,64191.07000009198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41.07
751103712,Saint-Vincent de Paul 12,Paris 10e Arrondissement,10,143007.76000044873,87,15,16,8,0,0,0,0,0,0,0,0,0,0,39,0.0,0.0,0.0,272.71247378378365,0.0,41.07
751103702,Saint-Vincent de Paul 2,Paris 10e Arrondissement,10,55514.77000007298,87,21,20,10,0,0,3,1,0,0,0,0,4,0,51,0.0,72.05289691364553,0.0,918.6744356489805,0.0,41.07
