n_sq_ar,c_ar,c_arinsee,l_ar,l_aroff,n_sq_co,prix_m2_median,loyer_m2_median,median_income_monthly_uc,loyer_theorique_35m2,taux_effort,score_affordability
750000006,6,75106,6ème Ardt,Luxembourg,750001537,15000.0,30.4,3936,1064.0,0.2703252032520325,8.997066877274117
750000006,6,75106,6ème Ardt,Luxembourg,750001537,14551.28,31.8,3936,1113.0,0.28277439024390244,8.560288127818374
750000015,15,75115,15ème Ardt,Vaugirard,750001537,10588.24,29.1,2964,1018.5,0.3436234817813765,6.425402522468189
750000015,15,75115,15ème Ardt,Vaugirard,750001537,10000.0,29.9,2964,1046.5,0.3530701754385965,6.09396601622994
750000015,15,75115,15ème Ardt,Vaugirard,750001537,9546.83,31.0,2964,1085.0,0.36605937921727394,5.6382408201523475
750000011,11,75111,11ème Ardt,Popincourt,750001537,11000.0,29.1,2700,1018.5,0.37722222222222224,5.246593348614149
750000011,11,75111,11ème Ardt,Popincourt,750001537,10370.53,29.9,2700,1046.5,0.3875925925925926,4.882749717321493
750000011,11,75111,11ème Ardt,Popincourt,750001537,9859.43,31.0,2700,1085.0,0.40185185185185185,4.382464724294092
750000014,14,75114,14ème Ardt,Observatoire,750001537,10587.22,29.1,2603,1018.5,0.39127929312331927,4.753402118279064
750000014,14,75114,14ème Ardt,Observatoire,750001537,10062.5,29.9,2603,1046.5,0.40203611217825586,4.375999965190256
750000014,14,75114,14ème Ardt,Observatoire,750001537,9375.0,31.0,2603,1085.0,0.4168267383787937,3.857072004693143
750000004,4,75104,4ème Ardt,Hôtel-de-Ville,750001537,13245.9,29.1,3004,1018.5,0.3390479360852197,6.585935184444438
750000004,4,75104,4ème Ardt,Hôtel-de-Ville,750001537,13260.74,29.9,3004,1046.5,0.3483688415446072,6.2589119472639565
750000004,4,75104,4ème Ardt,Hôtel-de-Ville,750001537,12640.0,31.0,3004,1085.0,0.36118508655126497,5.809254996140791
750000005,5,75105,5ème Ardt,Panthéon,750001537,13000.0,29.1,3313,1018.5,0.3074252942952007,7.695413092082224
750000005,5,75105,5ème Ardt,Panthéon,750001537,12500.0,29.9,3313,1046.5,0.315876848777543,7.398890965764635
750000005,5,75105,5ème Ardt,Panthéon,750001537,11858.97,31.0,3313,1085.0,0.32749773619076367,6.99117304207795
