iris_code,iris_name,iris_commune,arrondissement,iris_surface_m2,score_health,score_edu,score_sport,score_vibrance,score_noise,score_env,score_senior,score_actifs,score_jeune_adult,score_junior
751103988,Canal Saint-Martin 1,Paris 10e Arrondissement,10,30949.675000083458,0.0,0.0,0.0,0.0,0.6649746192893417,0.8455295895691395,-5.7,6.03,13.01,18.75
751104088,Canal Saint-Martin 2,Paris 10e Arrondissement,10,66435.45500018298,0.0,0.09558084610081016,0.0,0.013287540820257314,0.6649746192893417,0.3938991010153652,-10.22,0.48,7.31,9.09
751104001,Hôpital Saint-Louis 1,Paris 10e Arrondissement,10,53338.59000031002,0.10597200044654408,0.0,0.14536000777590583,0.4220298552261185,0.6649746192893417,0.0,-3.37,7.54,21.52,7.34
751104010,Hôpital Saint-Louis 10,Paris 10e Arrondissement,10,65670.94500018861,0.0,0.09669355298589888,0.0,0.03360557017356625,0.6649746192893417,0.1992423437796096,-12.14,-2.02,5.1,4.31
751104011,Hôpital Saint-Louis 11,Paris 10e Arrondissement,10,60546.7949999881,0.0,0.20975369546847317,0.12805463703243816,0.28430727827023244,0.6649746192893417,0.0,-7.89,4.34,16.49,8.1
751104012,Hôpital Saint-Louis 12,Paris 10e Arrondissement,10,105693.25000014996,0.053479262709045905,0.0,0.1100349055950581,0.012528195796222278,0.6649746192893417,0.12379629730414052,-11.1,-0.72,6.18,2.84
751104002,Hôpital Saint-Louis 2,Paris 10e Arrondissement,10,57774.82999996342,0.2935048229480449,0.1099087093811234,0.06709927019435476,0.14515414917126807,0.6649746192893417,0.4529457897173457,2.31,11.69,17.72,17.53
751104003,Hôpital Saint-Louis 3,Paris 10e Arrondissement,10,47286.14500011772,0.2390720192274846,0.0,0.08198276532355951,0.4667137806566287,0.6649746192893417,0.0,0.59,9.52,22.31,8.11
751104004,Hôpital Saint-Louis 4,Paris 10e Arrondissement,10,34152.72000002083,0.33100713988973274,0.37185659004646865,0.22701845876979013,0.40063688085501803,0.6649746192893417,0.0,6.02,17.38,27.8,18.92
751104005,Hôpital Saint-Louis 5,Paris 10e Arrondissement,10,27250.01000023537,0.2074273397801345,0.0,0.0,0.6317023184315769,0.6649746192893417,0.0,1.6,10.13,25.89,8.66
751104006,Hôpital Saint-Louis 6,Paris 10e Arrondissement,10,70754.52000004327,0.1597748690352907,0.2692389263614214,0.05479012405989169,0.26824324629543567,0.6649746192893417,0.1849271679046287,-1.81,8.75,18.15,14.11
751104007,Hôpital Saint-Louis 7,Paris 10e Arrondissement,10,109940.88000031377,0.05141306021304135,0.2887896203846861,0.7052242857414629,0.05620608768615877,0.6649746192893417,0.11901335517800177,-1.75,17.81,28.31,21.99
751104008,Hôpital Saint-Louis 8,Paris 10e Arrondissement,10,121103.8100004011,0.04667398229099616,0.0,0.16005478806107004,0.08018246513027237,0.6649746192893417,0.5402155803362453,-4.62,7.99,16.68,15.84
751104009,Hôpital Saint-Louis 9,Paris 10e Arrondissement,10,59823.42000018497,0.09448468648755635,0.10614500140563939,0.12960305273715453,0.346769706166538,0.6649746192893417,0.0,-4.6,6.48,18.87,7.93
751103801,Porte Saint-Denis 1,Paris 10e Arrondissement,10,52725.98500003757,0.21440650500230038,0.0,0.0,0.7366691791528123,0.6649746192893417,0.0,3.66,12.37,29.98,10.39
751103802,Porte Saint-Denis 2,Paris 10e Arrondissement,10,46304.14499995607,0.24414216409076325,0.13713582229011706,0.08372142339749791,0.5719339943938949,0.6649746192893417,0.0,3.42,13.14,27.51,12.75
751103803,Porte Saint-Denis 3,Paris 10e Arrondissement,10,81785.60500014485,0.2764494843962272,0.0776414993811997,0.14220041272276188,0.5234912094976639,0.6649746192893417,0.15998454740337545,5.73,16.08,29.69,16.51
751103804,Porte Saint-Denis 4,Paris 10e Arrondissement,10,82812.73500040382,0.06825516731579173,0.0,0.0,0.3997409729115009,0.6649746192893417,0.0,-6.58,2.71,15.9,3.53
751103805,Porte Saint-Denis 5,Paris 10e Arrondissement,10,72912.59500032698,0.2325687523522734,0.0,0.0,0.332946661082929,0.6649746192893417,0.0,-2.93,4.66,14.59,4.21
751103806,Porte Saint-Denis 6,Paris 10e Arrondissement,10,133966.48500030328,0.04219262066417648,0.3317971580725425,0.11574981395060659,0.31958773331200774,0.6649746192893417,0.2930083520523016,-2.01,11.19,23.24,19.12
751103901,Porte Saint-Martin 1,Paris 10e Arrondissement,10,42703.020000174,0.0,0.0,0.0,0.17571339150958104,0.6649746192893417,0.0,-12.55,-3.14,6.76,-0.73
751103910,Porte Saint-Martin 10,Paris 10e Arrondissement,10,80349.40000002255,0.21104315962518572,0.39514651011756197,0.0,0.34607676394785925,0.6649746192893417,0.3256883809973874,2.82,13.33,22.98,21.08
751103902,Porte Saint-Martin 2,Paris 10e Arrondissement,10,59112.24500011208,0.0,0.10742202398162595,0.13116229737487073,0.28374007084804315,0.6649746192893417,0.0,-8.46,3.38,15.78,6.0
751103903,Porte Saint-Martin 3,Paris 10e Arrondissement,10,51283.13000009227,0.22043884931831248,0.12382155691351841,0.07559306400747152,0.31845034954332263,0.6649746192893417,0.0,-1.93,7.26,17.22,8.05
751103904,Porte Saint-Martin 4,Paris 10e Arrondissement,10,80289.37000012235,0.14080063359127795,0.07908838990765668,0.24141732140845987,0.41230418495590737,0.6649746192893417,0.0,-0.92,11.24,24.98,11.24
751103905,Porte Saint-Martin 5,Paris 10e Arrondissement,10,47439.945000100255,0.0,0.0,0.0,0.7164090742238254,0.6649746192893417,0.0,-3.0,7.68,27.55,7.81
751103906,Porte Saint-Martin 6,Paris 10e Arrondissement,10,65982.5700004418,0.0856650033985193,0.0,0.0,0.314400451137363,0.6649746192893417,0.0,-7.58,1.35,12.75,2.37
751103907,Porte Saint-Martin 7,Paris 10e Arrondissement,10,46774.325000155346,0.3625320354689531,0.1357573198541871,0.0,0.3963294013267261,0.6649746192893417,0.0,2.81,9.89,19.08,9.43
751103908,Porte Saint-Martin 8,Paris 10e Arrondissement,10,68295.68500038826,0.08276360480605402,0.2789322780776131,0.17028816367732838,0.46532218730952196,0.6649746192893417,0.0,-1.36,11.36,25.92,14.18
751103909,Porte Saint-Martin 9,Paris 10e Arrondissement,10,39527.42000014208,0.14299939341628082,0.0,0.0,0.4578254364842073,0.6649746192893417,0.0,-3.36,5.37,18.71,5.23
751103701,Saint-Vincent de Paul 1,Paris 10e Arrondissement,10,48413.335000520674,0.23350579270236577,0.0,0.0,0.33732711605241406,0.6649746192893417,0.0,-2.83,4.77,14.77,4.28
751103710,Saint-Vincent de Paul 10,Paris 10e Arrondissement,10,116054.13000058303,0.0,0.0,0.0,0.11409725188877783,0.6649746192893417,0.2254884509494609,-10.98,-0.99,7.86,4.24
