code_iris,nom_com,nom_iris,surface_m2,nb_arbres_alignement,nb_initiatives,ratio_parcs_pct,ratio_canopee_pct,score_parcs,score_rues,score_initiatives,IMVU_Global
751093406,Paris 9e Arrondissement,Chaussée d'Antin 6,33566.205000047674,0,0,0.017633170542974152,0.0,0.1,0.0,0.0,0.0
751020802,Paris 2e Arrondissement,Bonne Nouvelle 2,35383.569999949745,2,0,0.2519498629641952,0.03688351778397136,1.1,9.3,0.0,3.3
751093306,Paris 9e Arrondissement,Saint-Georges 6,80359.80500035606,7,0,2.1320251362183495,0.04436385485557935,9.6,11.2,0.0,8.2
751114111,Paris 11e Arrondissement,Folie Méricourt 11,31749.785000048945,13,0,0.5627858848703191,0.254649633345732,2.5,64.3,0.0,20.5
751145402,Paris 14e Arrondissement,Parc de Montsouris 2,332666.6700015978,17,1,36.45828455584323,0.02765277240027493,100.0,7.0,50.0,62.1
751166104,Paris 16e Arrondissement,Auteuil 4,43227.74000033259,13,0,7.668136834931582,0.1973433020014453,34.6,49.8,0.0,32.2
751166119,Paris 16e Arrondissement,Auteuil 19,40497.96000001049,1,0,0.0,0.012575838829756688,0.0,3.2,0.0,1.0
751197301,Paris 19e Arrondissement,Villette 1,99806.99500032632,12,0,0.30840040016780235,0.0704825196334062,1.4,17.8,0.0,6.0
751207909,Paris 20e Arrondissement,Père Lachaise 9,45384.45999980945,3,1,8.742892904934454,0.03997770054453055,39.5,10.1,50.0,32.8
751124811,Paris 12e Arrondissement,Quinze-Vingts 11,115311.47000076043,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751156023,Paris 15e Arrondissement,Jardin Citroën-Cévennes,142982.14000013127,12,0,58.72535025723331,0.04274344904002115,100.0,10.8,0.0,53.2
751083006,Paris 8e Arrondissement,Faubourg du Roule 6,40529.25500056623,1,0,0.9120515231144094,0.012566128291451444,4.1,3.2,0.0,3.0
751072812,Paris 7e Arrondissement,Champ de Mars,268361.8450006312,21,0,49.309107552083,0.13237121431337412,100.0,33.4,0.0,60.0
751103902,Paris 10e Arrondissement,Porte Saint-Martin 2,59112.24500011208,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751114104,Paris 11e Arrondissement,Folie Méricourt 4,47565.06500001623,24,0,0.6316404847122143,0.352004144496842,2.9,88.9,0.0,28.1
751135108,Paris 13e Arrondissement,Maison Blanche 8,440976.24500066397,118,1,14.954020190578628,0.15612894327653756,67.6,39.4,50.0,55.6
751155708,Paris 15e Arrondissement,Saint-Lambert 8,85627.9300004777,12,0,1.359060297996972,0.07806457086866765,6.1,19.7,0.0,9.0
751176706,Paris 17e Arrondissement,Batignolles 6,67005.90000049071,8,0,0.18915709869413727,0.43964700640274545,0.9,100.0,0.0,30.4
751197317,Paris 19e Arrondissement,Villette 17,45780.07500032076,2,0,0.10519193774001231,0.028507391771297838,0.5,7.2,0.0,2.4
751197607,Paris 19e Arrondissement,Combat 7,38858.28000010102,2,0,3.2161824664478056,0.02621298821732414,14.5,6.6,0.0,9.2
751208014,Paris 20e Arrondissement,Charonne 14,43836.08999992482,2,0,0.168489169974793,0.02977159991586339,0.8,7.5,0.0,2.6
751041303,Paris 4e Arrondissement,Saint-Merri 3,49249.90000025707,3,0,0.3736643053447488,0.0310231584972603,1.7,7.8,0.0,3.2
751072706,Paris 7e Arrondissement,École Militaire 6,112171.54499996285,15,0,2.629925022742004,0.07065888381923432,11.9,17.8,0.0,11.3
751155809,Paris 15e Arrondissement,Necker 9,79623.57500021742,0,0,0.822137438334041,0.0,3.7,0.0,0.0,1.8
751155919,Paris 15e Arrondissement,Grenelle 19,55310.695000123946,7,0,0.8569089950455722,0.06445535940653914,3.9,16.3,0.0,6.8
751208013,Paris 20e Arrondissement,Charonne 13,62243.98500037516,6,0,0.06381780775567313,0.04551376308921516,0.3,11.5,0.0,3.6
751104012,Paris 10e Arrondissement,Hôpital Saint-Louis 12,105693.25000014996,0,0,7.012402882662102,0.0,31.7,0.0,0.0,15.8
751072699,Paris 7e Arrondissement,Seine et Berges 2,105480.96500004847,8,0,1.506034151806169,0.04858496665779152,6.8,12.3,0.0,7.1
751030903,Paris 3e Arrondissement,Arts et Métiers 3,70993.31500066709,6,0,0.10262585970127809,0.043043135925342785,0.5,10.9,0.0,3.5
751041502,Paris 4e Arrondissement,Arsenal 2,63992.090000333636,6,0,2.5280515740692975,0.047752384823631464,11.4,12.1,0.0,9.3
751093310,Paris 9e Arrondissement,Saint-Georges 10,52767.14000020941,0,0,0.4516460022878045,0.0,2.0,0.0,0.0,1.0
751124509,Paris 12e Arrondissement,Bel-Air 9,98825.5400004382,6,1,1.544687475868097,0.030920902707446286,7.0,7.8,50.0,15.8
751124808,Paris 12e Arrondissement,Quinze-Vingts 8,65244.59500045842,41,0,3.9310348391822187,0.32004380644113056,17.8,80.8,0.0,33.1
751145609,Paris 14e Arrondissement,Plaisance 9,47020.9550001155,2,1,5.877897531993156,0.02166250421297543,26.6,5.5,50.0,25.0
751187006,Paris 18e Arrondissement,Clignancourt 6,38376.22000025259,1,0,0.15981798767543476,0.013271130348187313,0.7,3.4,0.0,1.4
751187011,Paris 18e Arrondissement,Clignancourt 11,30164.165000019562,2,0,0.0,0.02768998052310499,0.0,7.0,0.0,2.1
751197302,Paris 19e Arrondissement,Villette 2,56175.08999938438,6,0,1.9224968846012336,0.06459682935149692,8.7,16.3,0.0,9.2
751197402,Paris 19e Arrondissement,Pont de Flandre 2,94565.45000051612,4,2,2.753295556364898,0.021542574709528077,12.4,5.4,100.0,27.8
751207902,Paris 20e Arrondissement,Père Lachaise 2,71304.80500003409,3,0,1.5808551632915644,0.021427552514609146,7.1,5.4,0.0,5.2
751207908,Paris 20e Arrondissement,Père Lachaise 8,57510.17999998562,19,0,9.637990924460341,0.20534271980059163,43.5,51.9,0.0,37.3
751051802,Paris 5e Arrondissement,Jardin des Plantes 2,73089.3699998237,11,2,2.994941402367965,0.07664936771035555,13.5,19.4,100.0,32.6
751103804,Paris 10e Arrondissement,Porte Saint-Denis 4,82812.73500040382,0,0,0.00034190570690832185,0.0,0.0,0.0,0.0,0.0
751114115,Paris 11e Arrondissement,Folie Méricourt 15,42333.10500027346,18,0,0.6393498259997372,0.21655214570332018,2.9,54.7,0.0,17.9
751114304,Paris 11e Arrondissement,Roquette 4,38871.49000022531,0,0,0.013695783386737975,0.0,0.1,0.0,0.0,0.0
751124611,Paris 12e Arrondissement,Picpus 11,47398.36500023738,12,0,0.08707011097825014,3.6801652889892655,0.4,100.0,0.0,30.2
751145502,Paris 14e Arrondissement,Petit Montrouge 2,72430.06000026784,3,0,1.4883277860062085,0.03296040547763735,6.7,8.3,0.0,5.8
751145510,Paris 14e Arrondissement,Petit Montrouge 10,48111.695000304026,4,0,0.14594276430634393,0.06152936290210827,0.7,15.5,0.0,5.0
751155802,Paris 15e Arrondissement,Necker 2,50479.289999917484,8,0,1.5671889448923695,0.08071362618529661,7.1,20.4,0.0,9.7
751166127,Paris 16e Arrondissement,Auteuil 27,86780.4449999118,15,0,4.2803500687486675,0.3203770008193122,19.3,80.9,0.0,33.9
751176714,Paris 17e Arrondissement,Batignolles 14,650096.8750015573,51,2,13.437808003128426,0.08569779622352179,60.7,21.6,100.0,56.8
751186914,Paris 18e Arrondissement,Grandes Carrières 14,49990.259999956295,0,0,11.610756770505013,0.0,52.5,0.0,0.0,26.2
751197311,Paris 19e Arrondissement,Villette 11,48612.180000202614,5,0,0.3350952630968086,0.07595616324379162,1.5,19.2,0.0,6.5
751197615,Paris 19e Arrondissement,Combat 15,59060.95500012964,4,2,3.179410856090348,0.4532581877146761,14.4,100.0,100.0,57.2
751207807,Paris 20e Arrondissement,Saint-Fargeau 7,64974.23000013875,34,0,0.5166071860347076,0.2665065489558127,2.3,67.3,0.0,21.3
751166299,Paris 16e Arrondissement,Seine et Berges 2,168850.87499998749,34,0,0.46630384419434,0.11310169361860944,2.1,28.6,0.0,9.6
751093601,Paris 9e Arrondissement,Rochechouart 1,56061.37999994178,0,1,6.522020298983712,0.0,29.5,0.0,50.0,24.8
751114302,Paris 11e Arrondissement,Roquette 2,90752.70000008833,1,1,5.630003078745352,0.005611908162441111,25.4,1.4,50.0,23.1
751114407,Paris 11e Arrondissement,Sainte-Marguerite 7,47139.05500017482,3,1,7.890001347078754,0.03241234797083923,35.7,8.2,50.0,30.3
751155709,Paris 15e Arrondissement,Saint-Lambert 9,53265.7999998946,3,0,0.0,0.028684211138952545,0.0,7.2,0.0,2.2
751155730,Paris 15e Arrondissement,Saint-Lambert 30,90635.8200000864,7,1,0.43264407205862987,0.039334015240939595,2.0,9.9,50.0,14.0
751176501,Paris 17e Arrondissement,Ternes 1,174081.58999996504,28,0,0.02059012314427239,0.08868272331334376,0.1,22.4,0.0,6.8
751176515,Paris 17e Arrondissement,Ternes 15,85852.49499989585,43,0,5.0068099588372235,0.32707290474928363,22.6,82.6,0.0,36.1
751176802,Paris 17e Arrondissement,Épinettes 2,59682.32500004486,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751187024,Paris 18e Arrondissement,Clignancourt 24,31649.07500019198,0,0,0.30106891673102987,0.0,1.4,0.0,0.0,0.7
751207907,Paris 20e Arrondissement,Père Lachaise 7,69586.7750008033,1,0,0.191657709130095,0.007318859336248674,0.9,1.8,0.0,1.0
751082999,Paris 8e Arrondissement,Seine et Berges,115689.93500017087,1,0,0.0,0.0044022482845488065,0.0,1.1,0.0,0.3
751031003,Paris 3e Arrondissement,Enfants Rouges 3,67469.63000022389,0,1,0.3004116160659129,0.0,1.4,0.0,50.0,10.7
751103703,Paris 10e Arrondissement,Saint-Vincent de Paul 3,70127.76499999558,18,0,0.728985000820569,0.20425497487723282,3.3,51.6,0.0,17.1
751114214,Paris 11e Arrondissement,Saint-Ambroise 14,38906.680000413195,7,1,4.0312822584761845,0.07608672704733005,18.2,19.2,50.0,24.9
751155703,Paris 15e Arrondissement,Saint-Lambert 3,100256.09000028655,7,0,1.4254683414091271,0.03841711384129242,6.4,9.7,0.0,6.1
751155712,Paris 15e Arrondissement,Saint-Lambert 12,41340.27999995913,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751166113,Paris 16e Arrondissement,Auteuil 13,109214.07999991882,6,0,0.044123408222493846,0.03265461710436825,0.2,8.2,0.0,2.6
751207801,Paris 20e Arrondissement,Saint-Fargeau 1,467396.86000049807,91,3,13.328430476231642,0.1177495700786667,60.2,29.7,100.0,59.0
751155818,Paris 15e Arrondissement,Necker 18,92620.2750004649,1,0,13.396007147340994,0.008591798237000296,60.5,2.2,0.0,30.9
751072599,Paris 7e Arrondissement,Seine et Berges 1,47565.420000474885,5,0,0.45679296313898754,0.05353635244774254,2.1,13.5,0.0,5.1
751104010,Paris 10e Arrondissement,Hôpital Saint-Louis 10,65670.94500018861,6,2,1.9765383442641105,0.07485773019115752,8.9,18.9,100.0,30.1
751145607,Paris 14e Arrondissement,Plaisance 7,104149.38500014205,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751155910,Paris 15e Arrondissement,Grenelle 10,49854.19000041807,2,0,0.0,0.020431414807453262,0.0,5.2,0.0,1.6
751207811,Paris 20e Arrondissement,Saint-Fargeau 11,33098.51499999307,8,0,0.3156676329397456,0.1529110049294759,1.4,38.6,0.0,12.3
751155733,Paris 15e Arrondissement,Saint-Lambert 33,14529.520000046306,1,0,0.0,0.03505248748013987,0.0,8.9,0.0,2.7
751135012,Paris 13e Arrondissement,Gare 12,69529.00000022292,1,0,0.6595063757977567,0.007324940929575172,3.0,1.9,0.0,2.1
751135031,Paris 13e Arrondissement,Gare 31,41453.18999975213,39,0,0.2732759628107628,0.5692739623238311,1.2,100.0,0.0,30.6
751166310,Paris 16e Arrondissement,Porte Dauphine 10,155984.24499994074,26,0,16.769772330683786,0.13318941058086697,75.8,33.6,0.0,48.0
751176703,Paris 17e Arrondissement,Batignolles 3,36067.15000030018,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751072507,Paris 7e Arrondissement,Saint-Thomas d'Aquin 7,23877.000000189048,0,0,22.666242070725513,0.0,100.0,0.0,0.0,50.0
751124707,Paris 12e Arrondissement,Bercy 7,74467.50499996386,6,0,0.0,0.041035011275936714,0.0,10.4,0.0,3.1
751082907,Paris 8e Arrondissement,Concorde Jardin Champs Élysées,408020.6650017218,125,0,22.131053246795805,0.15988020624943294,100.0,40.4,0.0,62.1
751041601,Paris 4e Arrondissement,Notre-Dame 1,87906.09499988628,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751072802,Paris 7e Arrondissement,Gros Caillou 2,44813.27499986661,6,0,3.0832996637055037,0.08097450370467267,13.9,20.5,0.0,13.1
751124514,Paris 12e Arrondissement,Bel-Air 14,63806.459999916675,11,0,0.04471733406488792,0.14117958869702288,0.2,35.7,0.0,10.8
751134906,Paris 13e Arrondissement,Salpêtrière 6,52282.73500031199,16,0,0.18648023536687136,0.1954325332528742,0.8,49.4,0.0,15.2
751145602,Paris 14e Arrondissement,Plaisance 2,34051.75500022041,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751166311,Paris 16e Arrondissement,Porte Dauphine 11,79998.08500036338,10,0,0.49032647959261577,0.09231207671321631,2.2,23.3,0.0,8.1
751197510,Paris 19e Arrondissement,Amérique 10,52854.51000005069,8,2,2.750828586933771,0.07708645001436232,12.4,19.5,100.0,32.0
751197522,Paris 19e Arrondissement,Amérique 22,96199.36500031875,3,0,2.1258086752367937,0.01886048157637626,9.6,4.8,0.0,6.2
751207911,Paris 20e Arrondissement,Père Lachaise 11,48962.20999982228,0,0,0.0,0.0,0.0,0.0,0.0,0.0
751145625,Paris 14e Arrondissement,Plaisance 25,121640.32000027993,2,1,3.5665477882299506,0.008373799376602972,16.1,2.1,50.0,18.7
751072808,Paris 7e Arrondissement,Gros Caillou 8,59921.7100001812,2,0,0.0,0.02177959429645108,0.0,5.5,0.0,1.6
751114306,Paris 11e Arrondissement,Roquette 6,67828.76499997062,3,1,0.792261267197679,0.022525656389038737,3.6,5.7,50.0,13.5
751135111,Paris 13e Arrondissement,Maison Blanche 11,77418.78000031342,62,0,3.6759990845711155,0.5221647195315886,16.6,100.0,0.0,38.3
751155816,Paris 15e Arrondissement,Necker 16,85686.1150001663,22,0,1.456901290871411,0.15230828627847218,6.6,38.5,0.0,14.8
751176604,Paris 17e Arrondissement,Plaine Monceau 4,80123.17500005536,1,0,0.0,0.0026855835787847125,0.0,0.7,0.0,0.2
751176711,Paris 17e Arrondissement,Batignolles 11,35839.97000008159,2,0,0.0,0.05598848220291615,0.0,14.1,0.0,4.2
751197604,Paris 19e Arrondissement,Combat 4,61349.28999988415,7,0,0.0,0.07886497578053071,0.0,19.9,0.0,6.0
751207812,Paris 20e Arrondissement,Saint-Fargeau 12,35885.089999841795,4,0,0.0,0.056769629714882745,0.0,14.3,0.0,4.3
751207813,Paris 20e Arrondissement,Saint-Fargeau 13,31794.105000147414,3,0,0.0,0.04104756316768441,0.0,10.4,0.0,3.1
751145403,Paris 14e Arrondissement,Parc de Montsouris 3,133842.64499970776,23,2,3.9107418336332627,0.11558244734752521,17.7,29.2,100.0,37.6
751155729,Paris 15e Arrondissement,Saint-Lambert 29,82175.75500016975,10,0,4.203808689008115,0.0654625817127564,19.0,16.5,0.0,14.4
