iris_code,iris_name,iris_commune,arrondissement,iris_surface_m2,score_health,score_edu,score_sport,score_vibrance,score_noise,score_env,score_senior,score_actifs,score_jeune_adult,score_junior
751103988,Canal Saint-Martin 1,Paris 10e Arrondissement,10,30949.674999951356,0.0,0.0,0.0,0.0,0.6649746192893417,0.8455295895711664,-5.7,6.03,13.01,18.75
751104088,Canal Saint-Martin 2,Paris 10e Arrondissement,10,66435.45499987465,0.0,0.09558084610123736,0.0,0.01328754082032368,0.6649746192893417,0.3938991010164562,-10.22,0.48,7.31,9.09
751104001,Hôpital Saint-Louis 1,Paris 10e Arrondissement,10,53338.59000009112,0.10597200044701686,0.0,0.14536000777607366,0.42202985522799974,0.6649746192893417,0.0,-3.37,7.54,21.52,7.34
751104010,Hôpital Saint-Louis 10,Paris 10e Arrondissement,10,65670.94500032258,0.0,0.09669355298568502,0.0,0.033605570173509576,0.6649746192893417,0.19924234377883027,-12.14,-2.02,5.1,4.31
751104011,Hôpital Saint-Louis 11,Paris 10e Arrondissement,10,60546.79500011909,0.0,0.20975369546798336,0.12805463703178344,0.28430727826971786,0.6649746192893417,0.0,-7.89,4.34,16.49,8.1
751104012,Hôpital Saint-Louis 12,Paris 10e Arrondissement,10,105693.25000025038,0.053479262709014194,0.0,0.11003490559462901,0.012528195796214801,0.6649746192893417,0.1237962973037912,-11.1,-0.72,6.18,2.84
751104002,Hôpital Saint-Louis 2,Paris 10e Arrondissement,10,57774.83000004671,0.2935048229477267,0.10990870938094607,0.06709927019406012,0.14515414917111008,0.6649746192893417,0.4529457897158451,2.31,11.69,17.72,17.53
751104003,Hôpital Saint-Louis 3,Paris 10e Arrondissement,10,47286.14500009882,0.23907201922766566,0.0,0.0819827653233505,0.46671378065698027,0.6649746192893417,0.0,0.59,9.52,22.31,8.11
751104004,Hôpital Saint-Louis 4,Paris 10e Arrondissement,10,34152.72000002754,0.3310071398897861,0.3718565900463318,0.227018458769076,0.40063688085508103,0.6649746192893417,0.0,6.02,17.38,27.8,18.92
751104005,Hôpital Saint-Louis 5,Paris 10e Arrondissement,10,27250.01000026887,0.20742733977995365,0.0,0.0,0.6317023184310234,0.6649746192893417,0.0,1.6,10.13,25.89,8.66
751104006,Hôpital Saint-Louis 6,Paris 10e Arrondissement,10,70754.52000005855,0.15977486903531332,0.269238926361317,0.05479012405971826,0.2682432462954725,0.6649746192893417,0.18492716790424274,-1.81,8.75,18.15,14.11
751104007,Hôpital Saint-Louis 7,Paris 10e Arrondissement,10,109940.88000037495,0.05141306021303111,0.2887896203844758,0.7052242857389905,0.05620608768614736,0.6649746192893417,0.11901335517771282,-1.75,17.81,28.31,21.99
751104008,Hôpital Saint-Louis 8,Paris 10e Arrondissement,10,121103.81000021762,0.04667398229108356,0.0,0.16005478806084045,0.0801824651304222,0.6649746192893417,0.5402155803360528,-4.62,7.99,16.68,15.84
751104009,Hôpital Saint-Louis 9,Paris 10e Arrondissement,10,59823.42000018497,0.09448468648759013,0.10614500140562118,0.12960305273677228,0.3467697061666606,0.6649746192893417,0.0,-4.6,6.48,18.87,7.93
751103801,Porte Saint-Denis 1,Paris 10e Arrondissement,10,52725.98500005228,0.2144065050023172,0.0,0.0,0.7366691791528671,0.6649746192893417,0.0,3.66,12.37,29.98,10.39
751103802,Porte Saint-Denis 2,Paris 10e Arrondissement,10,46304.14499984614,0.24414216409143014,0.13713582229041912,0.08372142339744976,0.571933994395455,0.6649746192893417,0.0,3.42,13.14,27.51,12.75
751103803,Porte Saint-Denis 3,Paris 10e Arrondissement,10,81785.6049999493,0.27644948439698697,0.077641499381372,0.1422004127226825,0.5234912094991006,0.6649746192893417,0.15998454740345858,5.73,16.08,29.69,16.51
751103804,Porte Saint-Denis 4,Paris 10e Arrondissement,10,82812.7350006098,0.06825516731564636,0.0,0.0,0.39974097291064786,0.6649746192893417,0.0,-6.58,2.71,15.9,3.53
751103805,Porte Saint-Denis 5,Paris 10e Arrondissement,10,72912.59500040098,0.2325687523521205,0.0,0.0,0.33294666108270876,0.6649746192893417,0.0,-2.93,4.66,14.59,4.21
751103806,Porte Saint-Denis 6,Paris 10e Arrondissement,10,133966.48500022703,0.04219262066421558,0.3317971580726744,0.11574981395033108,0.3195877333123026,0.6649746192893417,0.29300835205192,-2.01,11.19,23.24,19.12
751103901,Porte Saint-Martin 1,Paris 10e Arrondissement,10,42703.02000027845,0.0,0.0,0.0,0.1757133915092134,0.6649746192893417,0.0,-12.55,-3.14,6.76,-0.73
751103910,Porte Saint-Martin 10,Paris 10e Arrondissement,10,80349.40000002757,0.21104315962524792,0.39514651011746943,0.0,0.3460767639479599,0.6649746192893417,0.32568838099675756,2.82,13.33,22.98,21.08
751103902,Porte Saint-Martin 2,Paris 10e Arrondissement,10,59112.245000143535,0.0,0.10742202398155035,0.1311622973744141,0.2837400708479924,0.6649746192893417,0.0,-8.46,3.38,15.78,6.0
751103903,Porte Saint-Martin 3,Paris 10e Arrondissement,10,51283.12999999467,0.2204388493188108,0.12382155691373282,0.07559306400739245,0.31845034954404117,0.6649746192893417,0.0,-1.93,7.26,17.22,8.05
751103904,Porte Saint-Martin 4,Paris 10e Arrondissement,10,80289.3700001978,0.14080063359119596,0.07908838990756878,0.24141732140752098,0.4123041849556656,0.6649746192893417,0.0,-0.92,11.24,24.98,11.24
751103905,Porte Saint-Martin 5,Paris 10e Arrondissement,10,47439.944999839725,0.0,0.0,0.0,0.7164090742280131,0.6649746192893417,0.0,-3.0,7.68,27.55,7.81
751103906,Porte Saint-Martin 6,Paris 10e Arrondissement,10,65982.57000019874,0.08566500339886549,0.0,0.0,0.31440045113863224,0.6649746192893417,0.0,-7.58,1.35,12.75,2.37
