iris_code,iris_name,iris_commune,arrondissement,iris_surface_m2,shops_count,food_stores_count,restaurants_count,loisir_count,pharmacies_count,colleges_count,schools_count,lycees_count,hospitals_count,green_spaces_count,sports_count,health_services,education_sites,sports_sites,local_life_sites,health_density,education_density,sport_density,vibrance_density,green_space_density,avg_noise_db
751103904,Porte Saint-Martin 4,Paris 10e Arrondissement,10,80289.3700001978,133,15,40,20,2,0,1,0,0,0,5,2,1,5,75,24.909897785909553,12.454948892954777,62.27474446477388,934.1211669716082,0.0,41.07
751103905,Porte Saint-Martin 5,Paris 10e Arrondissement,10,47439.944999839725,122,18,47,12,0,0,0,0,0,0,0,0,0,0,77,0.0,0.0,0.0,1623.1047485459806,0.0,41.07
751103906,Porte Saint-Martin 6,Paris 10e Arrondissement,10,65982.57000019874,144,11,24,12,1,0,0,0,0,0,0,1,0,0,47,15.155517585886514,0.0,0.0,712.3093265366662,0.0,41.07
751103907,Porte Saint-Martin 7,Paris 10e Arrondissement,10,46774.325000125034,83,9,18,15,3,0,1,0,0,0,0,3,1,0,42,64.13775078511513,21.379250261705046,0.0,897.9285109916118,0.0,41.07
751103908,Porte Saint-Martin 8,Paris 10e Arrondissement,10,68295.68500043363,120,19,40,13,0,1,2,0,1,0,3,1,3,3,72,14.642213486747378,43.92664046024213,43.92664046024213,1054.2393710458111,0.0,41.07
751103909,Porte Saint-Martin 9,Paris 10e Arrondissement,10,39527.42000036775,58,7,31,3,1,0,0,0,0,0,0,1,0,0,41,25.29889378033518,0.0,0.0,1037.2546449937424,0.0,41.07
751103701,Saint-Vincent de Paul 1,Paris 10e Arrondissement,10,48413.33500055248,67,9,23,5,2,0,0,0,0,0,0,2,0,0,37,41.31093220446756,0.0,0.0,764.25224578265,0.0,41.07
751103710,Saint-Vincent de Paul 10,Paris 10e Arrondissement,10,116054.1300003561,52,8,10,12,0,0,0,0,0,2,0,0,0,0,30,0.0,0.0,0.0,258.5000637194725,17.233337581298166,41.07
751103711,Saint-Vincent de Paul 11,Paris 10e Arrondissement,10,64191.07000010518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41.07
751103712,Saint-Vincent de Paul 12,Paris 10e Arrondissement,10,143007.76000064577,87,15,16,8,0,0,0,0,0,0,0,0,0,0,39,0.0,0.0,0.0,272.7124737834079,0.0,41.07
751103702,Saint-Vincent de Paul 2,Paris 10e Arrondissement,10,55514.77000020542,87,21,20,10,0,0,3,1,0,0,0,0,4,0,51,0.0,72.05289691347365,0.0,918.6744356467889,0.0,41.07
751103703,Saint-Vincent de Paul 3,Paris 10e Arrondissement,10,70127.76500012568,149,20,42,35,2,0,0,0,0,0,1,2,0,1,97,28.51937460143519,0.0,14.259687300717594,1383.1896681696066,0.0,41.07
751103704,Saint-Vincent de Paul 4,Paris 10e Arrondissement,10,107657.5950001875,226,41,55,39,2,1,1,1,0,1,4,2,3,4,135,18.577416669920193,27.86612500488029,37.15483333984039,1253.975625219613,9.288708334960097,41.07
751103705,Saint-Vincent de Paul 5,Paris 10e Arrondissement,10,70225.950000393,120,8,28,21,2,1,1,2,1,0,0,3,4,0,57,42.7192512167256,56.9590016223008,0.0,811.6657731177864,0.0,41.07
751103706,Saint-Vincent de Paul 6,Paris 10e Arrondissement,10,68255.39999976335,126,9,17,6,2,0,0,0,1,0,3,3,0,3,32,43.952566390503925,0.0,43.952566390503925,468.8273748320418,0.0,41.07
751103707,Saint-Vincent de Paul 7,Paris 10e Arrondissement,10,81611.99500019396,75,10,22,9,2,0,0,0,2,0,0,4,0,0,41,49.01240313988763,0.0,0.0,502.3771321838482,0.0,41.07
751103708,Saint-Vincent de Paul 8,Paris 10e Arrondissement,10,32519.935000015237,122,19,22,17,1,0,0,0,0,0,0,1,0,0,58,30.750368965975223,0.0,0.0,1783.5214000265628,0.0,41.07
751103709,Saint-Vincent de Paul 9,Paris 10e Arrondissement,10,67520.81999976789,40,10,8,1,0,0,2,1,0,0,10,0,3,10,19,0.0,44.43074002967252,148.10246676557506,281.39468685459263,0.0,41.07
751114101,Folie Méricourt 1,Paris 11e Arrondissement,11,49398.19000011592,45,6,14,8,1,0,0,0,1,0,0,2,0,0,28,40.48731340146889,0.0,0.0,566.8223876205645,0.0,41.28
751114110,Folie Méricourt 10,Paris 11e Arrondissement,11,28186.750000116626,35,10,11,4,2,0,0,0,0,0,1,2,0,1,25,70.9553247533584,0.0,35.4776623766792,886.94155941698,0.0,41.28
751114111,Folie Méricourt 11,Paris 11e Arrondissement,11,31749.785000043496,50,11,16,8,0,1,3,1,0,0,0,0,5,0,35,0.0,157.48138136976834,0.0,1102.3696695883784,0.0,41.28
751114112,Folie Méricourt 12,Paris 11e Arrondissement,11,31400.345000060875,31,4,9,0,3,0,0,0,0,0,1,3,0,1,13,95.54035154690764,0.0,31.846783848969213,414.0081900365998,0.0,41.28
751114113,Folie Méricourt 13,Paris 11e Arrondissement,11,36870.19499978723,48,10,10,5,0,0,2,0,0,2,0,0,2,0,25,0.0,54.24435645137059,0.0,678.0544556421324,54.24435645137059,41.28
751114114,Folie Méricourt 14,Paris 11e Arrondissement,11,35657.950000459976,58,8,14,4,0,0,0,0,0,0,0,0,0,0,26,0.0,0.0,0.0,729.1501614552886,0.0,41.28
