﻿Numéro de l'installation sportive;Nom de l'installation sportive;Adresse;Code Postal;Commune INSEE;Commune Nom;Date de création de la fiche d'enquête;Date de changement d'état de la fiche d'enquête;Accessibilité de l'installation en faveur des personnes en situation de handicap;Date de l'enquête;Observation Installation;Accessibilité de l'installation en transport en commun;Installation particulière;Type de particularité de l'installation (brute);Type de particularité de l'installation;Accessibilité de l'installation en fonction du type handicap;Accessibilité de l'installation en transport en commun des différents mode;SIRET Installation;Unité Administrative Immatriculée (UAI);Installation hors-service;Numéro de l'équipement sportif;Nom de l'équipement sportif;Code du type d'équipement sportif;Type d'équipement sportif;Famille d'équipement sportif;Coordonnées;Eclairage de l'aire d'évolution;Equipement d'accès libre;Arrêté d'ouverture au public;Locaux complémentaires;Ouverture exclusivement saisonnière;Présence de douches;Présence de sanitaires;Gestion en DSP;Accessibilité aux personnes à mobilité réduite à l'accueil;Accessibilité aux personnes à mobilité réduite à l'aire de jeu;Accessibilité aux personnes à mobilité réduite aux cheminements;Accessibilité aux personnes à mobilité réduite aux douches;Accessibilité aux personnes à mobilité réduite aux sanitaires;Accessibilité aux personnes à mobilité réduite aux tribunes;Accessibilité aux personnes à mobilité réduite aux vestiaires;Accessibilité aux personnes en situation de handicap sensoriel à l'aire de jeu;Accessibilité aux personnes en situation de handicap sensoriel aux cheminements;Accessibilité aux personnes en situation de handicap sensoriel aux sanitaires;Accessibilité aux personnes en situation de handicap sensoriel - signalétique;Accessibilité aux personnes en situation de handicap sensoriel aux tribunes;Accessibilité aux personnes en situation de handicap sensoriel aux vestiaires;Date de l'homologation préfectorale;Date des derniers gros travaux;Catégorie ERP de l'établissement;Hauteur de l'aire d'évolution;Largeur de l'aire d'évolution;Longueur de l'aire d'évolution;Surface de l'aire d'évolution;Nombre de couloirs/pistes/postes/jeux/pas;Nombre de places assises en tribune;Nombre de vestiaires arbitres/enseignants;Nombre de vestiaires sportifs;SAE: nombre de couloirs de la structure;SAE: hauteur maximale de la structure;SAE: surface totale de la structure;Longueur du bassin;Largeur du bassin;Surface du bassin;Profondeur minimale du bassin;Profondeur maximale du bassin;Longueur de la piste;Adresse internet de l'équipement;Année de mise en service;Nom du propriétaire;Observation Equipement;Types d'aménagements de confort;Type d'ERP de l'établissement;Types de locaux complémentaires;Motifs des derniers gros travaux;Types de chauffage - source d'énergie;Type d'utilisation;Type de pas de tir;Nature de l'équipement sportif;Nature du sol;Période de mise en service;Période de l'homologation préfectorale;Période des derniers gros travaux;Type de propriétaire;Type de propriétaire secondaire;Type de gestionnaire;Type du co-gestionnaire;Equipement inscrit au PDESI / PDIPR;equip_aps_code;EPCI INSEE;EPCI Nom;Bassin de vie Code;Bassin de vie Nom;Arrondissement Code;Arrondissement Nom;Département Code;Département Code Complet;Département Nom;Rectorat Nom;Région Code;Région Nom;Densite Niveau;Densite Catégorie;ZRR Simplifié;Catégorie;Discipline;Accessibilité aux personnes à mobilité réduite;Accessibilité aux personnes en situation de handicap sensoriel;RNB ID;Longitude;Latitude;Activités;QPV;QPV à 200 mètres;gen_2024Fin_Labellisation;Activité & niveau;Département
I751170003;CMG MAILLOT;17 rue du débarcadère;75017;75117;Paris 17e Arrondissement;2005-09-22;2024-01-02;false;2025-03-31;;true;false;;;;Bus,Métro;87886837100021;;;E004I751170003;STUDIO 2;801;Salle de cours collectifs;Equipement d'activités de forme et de santé;48.8779694, 2.2854593;true;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;2019;3;10.0;14.0;17.0;240.0;;0;0;2;;;;;;;;;;www.cmgsportsclub.com;1982;Ken Group;;"Bain(s) de vapeur / hammam;Sauna;Solarium";X;"Réception / Accueil;Bureau(x) Club(s);Buvette;Local de rangement";Vétusté normale,remise à niveau;Fuel;Individuel(s),famille(s),Autre - association(s) et groupes divers;;Intérieur;Parquet;1975-1984;;A partir de 2005;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;;;;2.2854593;48.8779694;Activités de forme et de santé,Autres Danses;;;;;
I751170007;LES CERCLES DE LA FORME MAILLOT;20 RUE GUERSANT;75017;75117;Paris 17e Arrondissement;2005-09-22;2017-02-27;false;2025-03-31;;true;false;;;;Métro,Bus,Train;;;;E004I751170007;SALLE DE COURS COLLECTIFS;801;Salle de cours collectifs;Equipement d'activités de forme et de santé;48.8805, 2.29045;true;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;2013;;4.0;7.0;10.0;70.0;;0;0;2;;;;;;;;;;www.cerclesdelaforme.com;1973;;;Sauna;X;"Réception / Accueil;Local de rangement";Vétusté normale,remise à niveau;Electricité;Individuel(s),famille(s);;Intérieur;Parquet;1965-1974;;A partir de 2005;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;;;KXA9NTHVDRQE;2.29045;48.8805;Activités de forme et de santé,Autres Danses,Gymnastique Rythmique;;;;;
I751120023;CMG SPORT CLUB ONE NATION;16 RUE DES COLONNES DU TRONE PARIS;75012;75112;Paris 12e Arrondissement;2005-09-22;2018-12-07;false;2025-03-31;;true;false;;;;Métro,Bus;;;;E009I751120023;STUDIO 3;801;Salle de cours collectifs;Equipement d'activités de forme et de santé;48.846384, 2.398774;true;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;3;2.0;8.0;20.0;160.0;;0;1;2;;;;;;;;;;http://www.clubmedgym.com;1985;;;Sauna;X;"Réception / Accueil;Bureau(x) Club(s);Local de rangement;Autre";;Gaz;Individuel(s),famille(s);;Intérieur;Synthétique (hors gazon);;;;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;;;2PNBZ43781NR;2.398774;48.846384;Activités de forme et de santé;;;;;
I751120048;PLAINE DE JEUX DU POLYGONE;1 ROUTE DE LA FALUERE PARIS;75012;75112;Paris 12e Arrondissement;2005-09-22;2019-01-15;false;2025-03-31;TELEPHONE DU CENTRE SPORTIF : 01 41 74 80 50;true;false;;;;Bus;21750001600019;;;E009I751120048;TERRAIN DE VOLLEY BALL STABILISE;2904;Terrain de volley-ball;Terrain extérieur de petits jeux collectifs;48.83174, 2.44291;false;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;1;;9.0;18.0;162.0;;0;2;31;;;;;;;;;;;;;;;PA;"Réception / Accueil;Local de rangement";;;Scolaires,universités;;Découvert;Stabilisé/cendrée;1945-1964;;;Commune;;Commune;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;;;;2.44291;48.83174;Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;;;;;
I751160027;CENTRE SPORTIF SUCHET;26 AVENUE DU MARECHAL FRANCHET D'ESPEREY;75016;75116;Paris 16e Arrondissement;2005-09-22;2019-06-14;true;2025-03-31;;true;true;"[""Complexe sportif""]";Complexe sportif;Handicap moteur;Métro,Bus;21750001600019;;;E009I751160027;SAUT N°1;1003;Aire de saut;Equipement d'athlétisme;48.854085204, 2.26195738168;true;false;true;true;false;true;true;false;true;true;true;true;true;false;true;false;false;true;false;false;false;;;5;;2.0;25.0;50.0;;0;4;16;;;;;;;;;;;;;;;PA;"Réception / Accueil;Bureau(x) Club(s);Infirmerie;Local de rangement";;;Clubs sportifs,comités,ligues,fédérations,Scolaires,universités;;Découvert;Synthétique (hors gazon);;;;Commune;;Commune;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;;2.26195738168;48.854085204;Saut;;;;;
I751160047;PARIS JEAN BOUIN;26 AVENUE DU GENERAL SARRAIL;75016;75116;Paris 16e Arrondissement;2005-09-22;2019-02-08;true;2025-03-31;;true;false;;;Handicap moteur;Métro,Bus;21750001600019;;;E010I751160047;COURT DE TENNIS C ET D 2;501;Court de tennis;Court de tennis;48.8446, 2.25288;false;false;true;true;false;true;true;false;false;true;false;false;true;false;true;false;false;true;false;false;false;2000-11-02;;1;;18.0;36.0;648.0;;0;0;2;;;;;;;;;;http://www.parisjeanbouin.fr/index.php;1968;;;Sauna;PA;"Réception / Accueil;Bureau(x) Club(s);Club(s) house;Local de rangement;Salle(s) de réunion/cours;Autre";;;Clubs sportifs,comités,ligues,fédérations;;Découvert;Béton;1965-1974;1995-2004;;Commune;;Association(s);;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Aire de jeu,Sanitaires,Vestiaires;Sanitaires;;2.25288;48.8446;Tennis;;;;;
I751020002;L'USINE OPERA;8 rue de la Michodière;75002;75102;Paris 2e Arrondissement;2007-04-02;2018-09-17;true;2025-03-31;;false;false;;;Handicap moteur;;;;;E002I751020002;SALLE DE MUSCULATION 2;802;Salle de musculation/cardiotraining;Equipement d'activités de forme et de santé;48.86931, 2.33453;true;false;true;true;false;true;true;false;false;true;false;false;true;false;true;false;false;true;false;false;false;;;5;3.0;8.0;11.0;82.0;;0;0;2;;;;;;;;;;http://www.usineopera.com/;2005;;;"Bain(s) de vapeur / hammam;Sauna;Solarium";X;"Réception / Accueil;Buvette;Local de rangement;Salle(s) de réunion/cours;Autre";;Electricité;Individuel(s),famille(s),Autre - association(s) et groupes divers;;Intérieur;Béton;A partir de 2005;;;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Aire de jeu,Sanitaires,Vestiaires;Sanitaires;MG9K2P7WZ61S;2.33453;48.86931;Musculation;;;;;
I751110014;LES CERCLES DE LA FORME REPUBLIQUE;11 RUE DE MALTE;75011;75111;Paris 11e Arrondissement;2005-09-22;2018-11-30;false;2025-03-31;;false;false;;;;;;;;E002I751110014;SALLE DE MUSCULATION N°1;802;Salle de musculation/cardiotraining;Equipement d'activités de forme et de santé;48.86382, 2.368868;true;false;true;true;false;true;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;;2016;5;4.0;9.0;15.0;135.0;;0;0;2;;;;;;;;;;www.cerclesdelaforme.com;2007;;;"Bain(s) de vapeur / hammam;Sauna";X;"Réception / Accueil;Bureau(x) Club(s);Local de rangement";Inadaptation aux attentes des usagers;Fuel;Individuel(s),famille(s);;Intérieur;Synthétique (hors gazon);A partir de 2005;;A partir de 2005;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil;;A43ETAHA1XB7;2.368868;48.86382;Musculation;;;;;
I751120037;CERCLE DE LA FORME PICPUS;16 RUE LOUIS BRAILLE;75012;75112;Paris 12e Arrondissement;2005-09-22;2018-12-20;false;2025-03-31;;true;false;;;;Métro,Bus;;;;E002I751120037;SALLE DE COURS COLLECTIFS;2105;Salle de danse;Salle ou terrain spécialisé;48.839608, 2.401905;true;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;2010;5;2.0;12.0;14.0;168.0;;0;1;2;;;;;;;;;;;1998;;PRESENCE DE MIROIRS ET DE BARRES DE DANSE;Sauna;X;"Réception / Accueil;Bureau(x) Club(s);Local de rangement";Vétusté normale,remise à niveau;Electricité;Individuel(s),famille(s);;Intérieur;Parquet;1995-2004;;A partir de 2005;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;;;BE4GPCK8TZHJ;2.401905;48.839608;Activités de forme et de santé,Autres Danses;;;;;
I751130007;STADE CHARLETY;99 BOULEVARD KELLERMANN;75013;75113;Paris 13e Arrondissement;2005-09-22;2016-08-24;true;2025-03-31;;true;true;"[""Complexe sportif""]";Complexe sportif;Handicap moteur;Métro,Bus,Tramway,Train;21750001600019;;;E002I751130007;2 COURTS DE TENNIS EN TERRE BATTUE SOUS BULLE;501;Court de tennis;Court de tennis;48.81694, 2.3469;true;false;true;true;false;true;true;false;true;true;true;true;true;false;true;false;false;true;false;false;false;;;1;8.0;18.0;36.0;648.0;;0;5;21;;;;;;;;;;www.paris.fr;1994;;;"Bain(s) bouillonnant(s);Sauna";X;"Réception / Accueil;Bureau(x) Club(s);Buvette;Club(s) house;Local contrôle anti-dopage;Infirmerie;Local de rangement;Salle(s) de réunion/cours;Autre";;;Clubs sportifs,comités,ligues,fédérations,Autre - association(s) et groupes divers;;Intérieur;Terre battue;1985-1994;;;Commune;;Commune;Association(s);false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;XCHZ9TD7NY68;2.3469;48.81694;Tennis;;;;;
