X,Y,nom,id,objectid,numero_uai,appellatio,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,localisati,nature_uai,nature_u_1,code_depar,code_acade,code_commu
647925.600000001,6868248.9045,Ecole maternelle publique Concorde,0922145G,2620,0922145G,Ecole maternelle publique Concorde,CONCORDE,Public,16 rue du RP Christian Gilbert, , ,92600,ASNIERES SUR SEINE,Asnières-sur-Seine,Numéro de rue,101,ECOLE MATERNELLE,92,25,92004
649159.299999997,6867453.7045,Ecole maternelle publique Pierre Mendès France,0922223S,2621,0922223S,Ecole maternelle publique Pierre Mendès France,PIERRE MENDES-FRANCE,Public,53 rue Gaston Paymal, , ,92110,CLICHY,Clichy,Numéro de rue,101,ECOLE MATERNELLE,92,25,92024
643136.200000003,6862814.8045,Ecole élémentaire publique Le Parc,0922281E,2622,0922281E,Ecole élémentaire publique Le Parc,LE PARC,Public,36 rue du Docteur Magnan, , ,92150,SURESNES,Suresnes,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92073
647562.700000003,6865470.8045,Ecole maternelle publique Charles Perrault,0922286K,2623,0922286K,Ecole maternelle publique Charles Perrault,CHARLES PERRAULT,Public,17 rue Chaptal, , ,92300,LEVALLOIS PERRET,Levallois-Perret,Numéro de rue,101,ECOLE MATERNELLE,92,25,92044
645784.399999999,6868396.9045,Ecole primaire publique Françoise Dolto,0922422H,2624,0922422H,Ecole primaire publique Françoise Dolto,FRANCOISE DOLTO,Public,104  RUE HENRI LITOLFF, , ,92270,BOIS COLOMBES,Bois-Colombes,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92009
647170.5,6866529.5045,Ecole primaire publique George Sand,0922447K,2625,0922447K,Ecole primaire publique George Sand,GEORGE SAND,Public,19 rue Baudin, , ,92300,LEVALLOIS PERRET,Levallois-Perret,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92044
649128.899999999,6857442.4045,Ecole maternelle publique Haut-Mesnil,0922463C,2626,0922463C,Ecole maternelle publique Haut-Mesnil,HAUT MESNIL,Public,22 rue Arthur Auger, , ,92120,MONTROUGE,Montrouge,Numéro de rue,101,ECOLE MATERNELLE,92,25,92049
644396.700000003,6860280.5045,Ecole élémentaire publique Maître Jacques,0922552Z,2627,0922552Z,Ecole élémentaire publique Maître Jacques,MAITRE JACQUES,Public,2 rue Maître Jacques, , ,92100,BOULOGNE BILLANCOURT,Boulogne-Billancourt,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92012
644221.100000001,6866784.4045,Ecole primaire publique Camille Claudel,0922619X,2628,0922619X,Ecole primaire publique Camille Claudel,CAMILLE CLAUDEL,Public,48 avenue de l'Arche, , ,92400,COURBEVOIE,Courbevoie,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92026
645156.0,6867827.4045,Ecole élémentaire publique Jean Jerphanion,0922655L,2629,0922655L,Ecole élémentaire publique Jean Jerphanion,JEAN JERPHANION,Public,38 rue Plaisance, , ,92250,LA GARENNE COLOMBES,La Garenne-Colombes,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92035
643920.100000001,6858878.7045,Ecole primaire publique Robert Doisneau,0922666Y,2630,0922666Y,Ecole primaire publique Robert Doisneau,ROBERT DOISNEAU,Public,20 allée Robert Doisneau, ,0,92100,BOULOGNE BILLANCOURT,Boulogne-Billancourt,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92012
643690.799999997,6864055.8045,Ecole primaire publique Noor Inayat Khan dite Madeleine,0922720G,2631,0922720G,Ecole primaire publique Noor Inayat Khan dite Madeleine,NOOR INAYAT KHAN  MADELEINE,Public,10  AVENUE SISLEY, , ,92150,SURESNES,Suresnes,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92073
648585.5,6869300.8045,Ecole élémentaire publique Lucie et Raymond Aubrac,0922734X,2632,0922734X,Ecole élémentaire publique Lucie et Raymond Aubrac,LUCIE ET RAYMOND AUBRAC,Public,18 avenue Chenard et Walcker, ,92230,92230,GENNEVILLIERS,Gennevilliers,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92036
648241.799999997,6867238.6045,Ecole primaire publique Gustave Eiffel,0922783A,2633,0922783A,Ecole primaire publique Gustave Eiffel,GUSTAVE EIFFEL,Public,6 rue GUSTAVE EIFFEL, , ,92110,CLICHY,Clichy,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92024
644610.899999999,6858709.2045,Ecole primaire publique du Numérique,0922784B,2634,0922784B,Ecole primaire publique du Numérique,ECOLE DU NUMERIQUE,Public,28 rue Yves Kermen, , ,92100,BOULOGNE BILLANCOURT,Boulogne-Billancourt,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92012
632207.700099997,6882458.6045,Ecole élémentaire Les Chênes,0951301Y,2635,0951301Y,Ecole élémentaire Les Chênes,LES CHENES,Public,Rue Les Chênes Verts,RUE DES CHENES VERTS, ,95000,CERGY,Cergy,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,95,25,95127
,,Ecole primaire privée Montessori 21 Paris Faidherbe,0755951L,2636,0755951L,Ecole primaire privée Montessori 21 Paris Faidherbe,MONTESSORI 21 PARIS FAIDHERBE,Privé,46 rue de Montreuil, , ,75011,PARIS,Paris 11e  Arrondissement, ,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75111
657701.399999999,6854649.7045,Ecole élémentaire privée Saint Mesrop-Arabian,0941962X,2637,0941962X,Ecole élémentaire privée Saint Mesrop-Arabian,SAINT MESROP-ARABIAN,Privé,1 rue Komitas, , ,94140,ALFORTVILLE,Alfortville,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94002
647277.100000001,6868972.8045,Ecole élémentaire publique Michelet A,0920183Z,2638,0920183Z,Ecole élémentaire publique Michelet A,MICHELET A,Public,185 avenue d'Argenteuil, , ,92600,ASNIERES SUR SEINE,Asnières-sur-Seine,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92004
