X,Y,nom,id,objectid,numero_uai,appellatio,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,localisati,nature_uai,nature_u_1,code_depar,code_acade,code_commu
662104.399999999,6852788.7045,Ecole primaire Langevin Wallon,0941131U,1,0941131U,Ecole primaire Langevin Wallon,LANGEVIN WALLON,Public,18 rue Auguste Gross, , ,94380,BONNEUIL SUR MARNE,Bonneuil-sur-Marne,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94011
665462.200000003,6850397.8045,Ecole primaire Bois Clary,0941132V,2,0941132V,Ecole primaire Bois Clary,BOIS CLARY,Public,25 rue Maison Blanche, , ,94470,BOISSY ST LEGER,Boissy-Saint-Léger,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94004
659773.700000003,6850200.2045,Ecole maternelle Jean de La Fontaine,0941141E,3,0941141E,Ecole maternelle Jean de La Fontaine,JEAN DE LA FONTAINE,Public,5 rue Albert Camus, , ,94190,VILLENEUVE ST GEORGES,Villeneuve-Saint-Georges,Numéro de rue,101,ECOLE MATERNELLE,94,24,94078
659651.5,6854189.9045,Ecole primaire Croix des Meches-Chateaubriand,0941254C,4,0941254C,Ecole primaire Croix des Meches-Chateaubriand,CHATEAUBRIAND,Public,11 avenue CORVISART, , ,94000,CRETEIL,Créteil,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94028
661349.0,6861448.6045,Ecole primaire Michelet,0941319Y,5,0941319Y,Ecole primaire Michelet,MICHELET,Public,1 rue Michelet, , ,94120,FONTENAY SOUS BOIS,Fontenay-sous-Bois,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94033
655450.100000001,6853337.4045,Ecole primaire Victor Hugo,0941390A,6,0941390A,Ecole primaire Victor Hugo,VICTOR HUGO,Public,3840 rue Henri Matisse, , ,94400,VITRY SUR SEINE,Vitry-sur-Seine,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94081
663252.0,6858579.1045,Ecole primaire Jean Jaurès Le Tremblay,0941401M,7,0941401M,Ecole primaire Jean Jaurès Le Tremblay,JEAN JAURES,Public,6 rue du Verrou, , ,94500,CHAMPIGNY SUR MARNE,Champigny-sur-Marne,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94017
667838.299999997,6854938.7045,Ecole maternelle P Kergomard,0941513J,8,0941513J,Ecole maternelle P Kergomard,PAULINE KERGOMARD,Public,32 bis allée des Clématites, , ,94510,LA QUEUE EN BRIE,La Queue-en-Brie,Numéro de rue,101,ECOLE MATERNELLE,94,24,94060
657675.0,6849090.1045,Ecole maternelle d'application Paul Eluard,0941540N,9,0941540N,Ecole maternelle d'application Paul Eluard,PAUL ELUARD,Public,70 rue Jean Jacques Rousseau, , ,94290,VILLENEUVE LE ROI,Villeneuve-le-Roi,Numéro de rue,101,ECOLE MATERNELLE,94,24,94077
658957.700000003,6855729.9045,Ecole maternelle Georges Pompidou,0941547W,10,0941547W,Ecole maternelle Georges Pompidou,GEORGES POMPIDOU,Public,16 rue Georges Gaume, , ,94700,MAISONS ALFORT,Maisons-Alfort,Numéro de rue,101,ECOLE MATERNELLE,94,24,94046
654179.200000003,6853040.5045,Ecole primaire Paul Langevin,0941608M,11,0941608M,Ecole primaire Paul Langevin,PAUL LANGEVIN,Public,97 rue Paul Armangot, , ,94400,VITRY SUR SEINE,Vitry-sur-Seine,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94081
656167.100000001,6853874.3045,Ecole primaire Blaise Pascal,0942044L,12,0942044L,Ecole primaire Blaise Pascal,BLAISE PASCAL,Public,50 rue Victor Ruiz, , ,94400,VITRY SUR SEINE,Vitry-sur-Seine,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94081
656163.5,6848615.2045,Ecole maternelle Annie Fratellini,0942090L,13,0942090L,Ecole maternelle Annie Fratellini,ANNIE FRATELLINI,Public,23 voie Normande, , ,94290,VILLENEUVE LE ROI,Villeneuve-le-Roi,Numéro de rue,101,ECOLE MATERNELLE,94,24,94077
658468.5,6850145.5045,Ecole élémentaire Paul Bert,0942110H,14,0942110H,Ecole élémentaire Paul Bert,PAUL BERT,Public,36 bis avenue de Choisy, , ,94190,VILLENEUVE ST GEORGES,Villeneuve-Saint-Georges,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94078
653837.799999997,6854063.9045,Ecole élémentaire Paul Vaillant Couturier,0942121V,15,0942121V,Ecole élémentaire Paul Vaillant Couturier,PAUL VAILLANT COUTURIER,Public,4 place Paul Eluard, , ,94800,VILLEJUIF,Villejuif,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94076
669407.0,6856446.0045,Ecole élémentaire Jean Monnet,0942275M,16,0942275M,Ecole élémentaire Jean Monnet,JEAN MONNET-JEAN MOULIN,Public,34 avenue Bertrand, , ,94420,LE PLESSIS TREVISE,Le Plessis-Trévise,BATIMENT,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94059
666310.899999999,6846130.8045,Ecole Maternelle Mélanie Bonis,0942425A,17,0942425A,Ecole Maternelle Mélanie Bonis,MELANIE BONIS,Public,9 rue DU BOIS D'AUTEUIL, , ,94440,VILLECRESNES,Villecresnes,Numéro de rue,101,ECOLE MATERNELLE,94,24,94075
634575.9001,6880242.5045,Ecole élémentaire Les Dix Arpents,0951418A,18,0951418A,Ecole élémentaire Les Dix Arpents,LES DIX ARPENTS,Public,89 rue de la Marne, , ,95610,ERAGNY SUR OISE,Eragny,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,95,25,95218
634928.200099997,6880471.6045,Ecole élémentaire La Butte,0951475M,19,0951475M,Ecole élémentaire La Butte,LA BUTTE,Public,100  ROUTE DE PIERRELAYE, , ,95610,ERAGNY SUR OISE,Eragny,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,95,25,95218
634910.9001,6880497.9045,Ecole maternelle La Butte,0951486Z,20,0951486Z,Ecole maternelle La Butte,LA BUTTE,Public,100  ROUTE DE PIERRELAYE, , ,95610,ERAGNY SUR OISE,Eragny,Numéro de rue,101,ECOLE MATERNELLE,95,25,95218
629074.100100003,6879705.7045,Ecole maternelle Les Tremblays,0951668X,21,0951668X,Ecole maternelle Les Tremblays,LES TREMBLAYS,Public,1 ALLEE DES SOURCES, , ,95280,JOUY LE MOUTIER,Jouy-le-Moutier,Numéro de rue,101,ECOLE MATERNELLE,95,25,95323
663650.299999997,6883613.8045,école primaire Universalis,0952229G,22,0952229G,école primaire Universalis,UNIVERSALIS,Public,12 avenue Charles de Gaulle, , ,95380,LOUVRES,Louvres,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,95,25,95351
649443.700000003,6865932.3045,Ecole primaire publique Rostropovitch (34),0755928L,23,0755928L,Ecole primaire publique Rostropovitch (34),ROSTROPOVITCH,Public,34 rue MSTISLAV ROSTROPOVITCH, , ,75017,PARIS,Paris 17e  Arrondissement,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75117
649443.700000003,6865932.3045,Ecole maternelle publique Rostropovitch (56),0755929M,24,0755929M,Ecole maternelle publique Rostropovitch (56),ROSTROPOVITCH,Public,56 rue MSTISLAV ROSTROPOVITCH, , ,75017,PARIS,Paris 17e  Arrondissement,Rue,101,ECOLE MATERNELLE,75,01,75117
646839.100000001,6870049.5045,Ecole maternelle publique Descartes,0920446K,25,0920446K,Ecole maternelle publique Descartes,DESCARTES,Public,6 rue Robert Lavergne, , ,92600,ASNIERES SUR SEINE,Asnières-sur-Seine,Numéro de rue,101,ECOLE MATERNELLE,92,25,92004
656219.700000003,6859853.1045,Ecole primaire MICHEL BIZOT,0750894P,26,0750894P,Ecole primaire,MICHEL BIZOT,Public,83 avenue du Général Bizot, , ,75012,PARIS,Paris 12e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75112
649196.899999999,6863813.3045,Ecole primaire PAUL BAUDRY,0750956G,27,0750956G,Ecole primaire,PAUL BAUDRY,Public,10  RUE PAUL BAUDRY, , ,75008,PARIS,Paris  8e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75108
654102.5,6864607.4045,Ecole primaire A,0750994Y,28,0750994Y,Ecole primaire A,SIMON BOLIVAR EA,Public,119 avenue Simon Bolivar, , ,75019,PARIS,Paris 19e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75119
654661.200000003,6862430.8045,Ecole primaire ST MAUR,0751003H,29,0751003H,Ecole primaire,ST MAUR,Public,22 rue Saint Maur, , ,75011,PARIS,Paris 11e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75111
650319.299999997,6865204.3045,Ecole primaire TRUFFAUT,0751013U,30,0751013U,Ecole primaire,TRUFFAUT,Public,15 rue Truffaut, , ,75017,PARIS,Paris 17e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75117
652546.200000003,6864282.1045,Ecole primaire CHABROL,0751067C,31,0751067C,Ecole primaire,CHABROL,Public,41 rue de Chabrol, , ,75010,PARIS,Paris 10e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75110
653572.200000003,6861864.3045,Ecole primaire TOURNELLES,0751117G,32,0751117G,Ecole primaire,TOURNELLES,Public,21 rue des Tournelles, , ,75004,PARIS,Paris  4e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75104
648870.399999999,6859853.7045,Ecole maternelle ALLERAY,0751245W,33,0751245W,Ecole maternelle,ALLERAY,Public,42 rue d'Alleray, , ,75015,PARIS,Paris 15e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75115
650648.0,6866749.6045,Ecole maternelle ANDRE BRECHET,0751248Z,34,0751248Z,Ecole maternelle,ANDRE BRECHET,Public,21 rue André Brechet, , ,75017,PARIS,Paris 17e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75117
654221.5,6864923.4045,Ecole maternelle ARMAND CARREL E,0751253E,35,0751253E,Ecole maternelle,ARMAND CARREL E,Public,47 rue Armand Carrel, , ,75019,PARIS,Paris 19e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75119
653803.600000001,6866841.3045,Ecole maternelle CHARLES HERMITE H,0751279H,36,0751279H,Ecole maternelle,CHARLES HERMITE H,Public,2 rue Charles Hermite, , ,75018,PARIS,Paris 18e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75118
656030.5,6862867.5045,Ecole maternelle COUR DES NOUES,0751285P,37,0751285P,Ecole maternelle,COUR DES NOUES,Public,26 rue de la Cour des Noues, , ,75020,PARIS,Paris 20e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75120
652126.0,6858714.1045,Ecole maternelle ESPERANCE,0751300F,38,0751300F,Ecole maternelle,ESPERANCE,Public,12 rue de l'Espérance, , ,75013,PARIS,Paris 13e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75113
655228.899999999,6864005.7045,Ecole maternelle JOURDAIN,0751323F,39,0751323F,Ecole maternelle,JOURDAIN,Public,4 rue du Jourdain, , ,75020,PARIS,Paris 20e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75120
648807.899999999,6860822.2045,Ecole maternelle MIOLLIS,0751347G,40,0751347G,Ecole maternelle,MIOLLIS,Public,33 rue Miollis, , ,75015,PARIS,Paris 15e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75115
655716.899999999,6860563.7045,Ecole maternelle PICPUS F,0751369F,41,0751369F,Ecole maternelle,PICPUS F,Public,56 rue de Picpus, , ,75012,PARIS,Paris 12e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75112
652071.100000001,6861298.6045,Ecole maternelle SOMMERARD,0751395J,42,0751395J,Ecole maternelle,SOMMERARD,Public,10 rue DU SOMMERARD, , ,75005,PARIS,Paris  5e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75105
652513.0,6858836.2045,Ecole maternelle d'application VANDREZANNE H,0751417H,43,0751417H,Ecole maternelle d'application,VANDREZANNE H,Public,40 rue Vandrezanne, , ,75013,PARIS,Paris 13e  Arrondissement,Numéro de rue,103,ECOLE MATERNELLE D APPLICATION,75,01,75113
651704.799999997,6861091.4045,Ecole maternelle CUJAS,0751433A,44,0751433A,Ecole maternelle,CUJAS,Public,23 rue Cujas, , ,75005,PARIS,Paris  5e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75105
654241.0,6866303.5045,Ecole primaire Colette Magny B,0752165W,45,0752165W,Ecole primaire Colette Magny B,COLETTE MAGNY B,Public,17 rue Colette Magny, , ,75019,PARIS,Paris 19e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75119
652270.0,6860352.4045,Ecole maternelle MOUFFETARD M,0752617M,46,0752617M,Ecole maternelle,MOUFFETARD M,Public,97 rue Mouffetard, , ,75005,PARIS,Paris  5e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75105
656240.799999997,6863269.4045,Ecole maternelle SURMELIN,0752628Z,47,0752628Z,Ecole maternelle,SURMELIN,Public,18 rue du Surmelin, , ,75020,PARIS,Paris 20e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75120
650074.899999999,6866500.1045,Ecole primaire d'application BESSIERES P,0752642P,48,0752642P,Ecole primaire d application,BESSIERES P,Public,92 boulevard Bessières, , ,75017,PARIS,Paris 17e  Arrondissement,Numéro de rue,153,ECOLE ELEMENTAIRE D APPLICATION,75,01,75117
647711.700000003,6860222.8045,Ecole maternelle FRANCOIS COPPEE K,0753259K,49,0753259K,Ecole maternelle,FRANCOIS COPPEE K,Public,10 rue FRANCOIS COPPEE, , ,75015,PARIS,Paris 15e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75115
650231.5,6858791.0045,Ecole maternelle ANTOINE CHANTIN H,0753280H,50,0753280H,Ecole maternelle,ANTOINE CHANTIN H,Public,15 rue Antoine Chantin, , ,75014,PARIS,Paris 14e  Arrondissement,Numéro de rue,101,ECOLE MATERNELLE,75,01,75114
647144.5,6860535.9045,Ecole primaire GUTENBERG V,0754487V,51,0754487V,Ecole primaire,GUTENBERG V,Public,50 rue de Gutenberg, , ,75015,PARIS,Paris 15e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75115
650801.100000001,6865288.1045,Ecole primaire FOREST,0755180Y,52,0755180Y,Ecole primaire,FOREST,Public,14 rue Forest, , ,75018,PARIS,Paris 18e  Arrondissement,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,75,01,75118
648215.399999999,6866605.4045,Ecole primaire publique Buffon,0922686V,53,0922686V,Ecole primaire publique Buffon,BUFFON,Public,47 rue Camille Pelletan, , ,92300,LEVALLOIS PERRET,Levallois-Perret,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92044
643682.799999997,6866841.5045,Ecole élémentaire publique Ronsard,0922475R,54,0922475R,Ecole élémentaire publique Ronsard,RONSARD,Public,3 chemin Pierre de Ronsard, , ,92400,COURBEVOIE,Courbevoie,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,92,25,92026
665369.100000001,6865441.2045,Ecole maternelle Blaise Pascal,0930982M,55,0930982M,Ecole maternelle Blaise Pascal,BLAISE PASCAL,Public,32 chemin des Sables, , ,93220,GAGNY,Gagny,Numéro de rue,101,ECOLE MATERNELLE,93,24,93032
665858.399999999,6862013.3045,Ecole maternelle Louis Pasteur,0930986S,56,0930986S,Ecole maternelle Louis Pasteur,LOUIS PASTEUR,Public,4 rue Abel Tuffier, , ,93330,NEUILLY SUR MARNE,Neuilly-sur-Marne,Numéro de rue,101,ECOLE MATERNELLE,93,24,93050
667673.5,6867279.1045,Ecole élémentaire Jean-Baptiste Clément,0930993Z,57,0930993Z,Ecole élémentaire Jean-Baptiste Clément,JEAN-BAPTISTE CLEMENT,Public,14 rue Berthe Morisot, , ,93370,MONTFERMEIL,Montfermeil,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93047
665992.899999999,6862037.4045,Ecole élémentaire Louis Pasteur,0930994A,58,0930994A,Ecole élémentaire Louis Pasteur,LOUIS PASTEUR,Public,16 bis rue Abel Tuffier, , ,93330,NEUILLY SUR MARNE,Neuilly-sur-Marne,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93050
668369.100000001,6872102.1045,Ecole élémentaire Eugénie Cotton,0931001H,59,0931001H,Ecole élémentaire Eugénie Cotton,EUGENIE COTTON,Public,4 rue Eugénie Cotton, , ,93290,TREMBLAY EN FRANCE,Tremblay-en-France,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93073
654366.399999999,6872414.8045,Ecole élémentaire Victor Hugo,0931015Y,60,0931015Y,Ecole élémentaire Victor Hugo,VICTOR HUGO,Public,Allée Max Jacob, , ,93240,STAINS,Stains,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93072
662870.299999997,6873074.2045,Ecole maternelle Jules Ferry,0931061Y,61,0931061Y,Ecole maternelle Jules Ferry,JULES FERRY,Public,50 rue Auguste Renoir, , ,93600,AULNAY SOUS BOIS,Aulnay-sous-Bois,Numéro de rue,101,ECOLE MATERNELLE,93,24,93005
654366.399999999,6872414.8045,Ecole élémentaire Emile Zola,0931077R,62,0931077R,Ecole élémentaire Emile Zola,EMILE ZOLA,Public,Allée Max Jacob, , ,93240,STAINS,Stains,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93072
666887.5,6860720.8045,Ecole primaire privée Françoise Cabrini,0931108Z,63,0931108Z,Ecole primaire privée Françoise Cabrini,CABRINI,Privé,20 rue du Docteur Sureau, , ,93160,NOISY LE GRAND,Noisy-le-Grand,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93051
658900.100000001,6866897.6045,Ecole élémentaire Victor Hugo,0931262S,64,0931262S,Ecole élémentaire Victor Hugo,VICTOR HUGO,Public,31 rue Victor Hugo, , ,93000,BOBIGNY,Bobigny,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93008
657136.0,6872995.6045,Ecole élémentaire Paul Langevin,0931276G,65,0931276G,Ecole élémentaire Paul Langevin,PAUL LANGEVIN,Public,Rue Henri Barbusse, , ,93440,DUGNY,Dugny,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93030
668014.899999999,6866419.5045,Ecole élémentaire Paul Eluard,0931282N,66,0931282N,Ecole élémentaire Paul Eluard,PAUL ELUARD,Public,1 boulevard de l'Europe, , ,93370,MONTFERMEIL,Montfermeil,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93047
657400.700000003,6861663.1045,Ecole élémentaire  Paul Bert,0931287U,67,0931287U,Ecole élémentaire  Paul Bert,PAUL BERT,Public,19 rue Lavoisier, , ,93100,MONTREUIL,Montreuil,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93048
665505.700000003,6862830.9045,Ecole élémentaire d'application Jean-Baptiste Du Hamel,0931292Z,68,0931292Z,Ecole élémentaire d'application Jean-Baptiste Du Hamel,JEAN-BAPTISTE DU HAMEL,Public,110 rue Paul et Camille Thomoux, , ,93330,NEUILLY SUR MARNE,Neuilly-sur-Marne,Numéro de rue,153,ECOLE ELEMENTAIRE D APPLICATION,93,24,93050
665520.299999997,6871081.2045,Ecole élémentaire Auguste Cretier,0931315Z,69,0931315Z,Ecole élémentaire Auguste Cretier,AUGUSTE CRETIER,Public,1 rue Auguste Crétier, , ,93270,SEVRAN,Sevran,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93071
668937.0,6873684.5045,Ecole maternelle Honoré de Balzac,0931317B,70,0931317B,Ecole maternelle Honoré de Balzac,HONORE DE BALZAC,Public,Rue Honoré de Balzac, , ,93290,TREMBLAY EN FRANCE,Tremblay-en-France,Rue,101,ECOLE MATERNELLE,93,24,93073
668937.0,6873684.5045,Ecole élémentaire Honoré de Balzac,0931318C,71,0931318C,Ecole élémentaire Honoré de Balzac,HONORE DE BALZAC,Public,Rue Honoré de Balzac, , ,93290,TREMBLAY EN FRANCE,Tremblay-en-France,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93073
668324.799999997,6872176.0045,Ecole élémentaire d'application Jean Moulin,0931319D,72,0931319D,Ecole élémentaire Jean Moulin,JEAN MOULIN,Public,4 rue Eugénie Cotton, , ,93290,TREMBLAY EN FRANCE,Tremblay-en-France,Numéro de rue,153,ECOLE ELEMENTAIRE D APPLICATION,93,24,93073
659160.799999997,6867731.2045,Ecole maternelle Louise Michel,0931399R,73,0931399R,Ecole maternelle Louise Michel,LOUISE MICHEL,Public,30 rue Alcide Vellard, , ,93000,BOBIGNY,Bobigny,Numéro de rue,101,ECOLE MATERNELLE,93,24,93008
657539.299999997,6868282.7045,Ecole élémentaire Marcel Cachin,0931400S,74,0931400S,Ecole élémentaire Marcel Cachin,MARCEL CACHIN,Public,44 rue Marcel Cachin, , ,93000,BOBIGNY,Bobigny,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93008
665505.700000003,6862830.9045,Ecole élémentaire Paul Valéry,0931412E,75,0931412E,Ecole élémentaire Paul Valéry,PAUL VALERY,Public,110 rue Paul et Camille Thomoux, , ,93330,NEUILLY SUR MARNE,Neuilly-sur-Marne,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,93,24,93050
651844.899999999,6873830.6045,Ecole élémentaire d'application Jean-Baptiste Clément,0931424T,76,0931424T,Ecole élémentaire d'application Jean-Baptiste Clément,JEAN-BAPTISTE CLEMENT,Public,4 place Jean-Baptiste Clément, , ,93430,VILLETANEUSE,Villetaneuse,Numéro de rue,153,ECOLE ELEMENTAIRE D APPLICATION,93,24,93079
722874.700000003,6811761.5046,Ecole primaire,0770079T,77,0770079T,Ecole primaire, ,Public,2 rue de l'Ecole, , ,77480,VILLENAUXE LA PETITE,Villenauxe-la-Petite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77507
726323.799999997,6812301.0046,Ecole élémentaire,0770081V,78,0770081V,Ecole élémentaire, ,Public,21 rue des Forges, , ,77480,VILLUIS,Villuis,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77523
675083.799999997,6847682.4045,Ecole élémentaire Normandie Niemen,0770087B,79,0770087B,Ecole élémentaire Normandie Niemen,NORMANDIE NIEMEN,Public,Rue Marcel Pagnol, , ,77173,CHEVRY COSSIGNY,Chevry-Cossigny,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77114
675751.399999999,6842997.9045,Ecole élémentaire Champ Fleuri,0770098N,80,0770098N,Ecole élémentaire Champ Fleuri,CHAMP FLEURI,Public,3 rue des Bois, , ,77166,GRISY SUISNES,Grisy-Suisnes,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77217
669303.5,6836244.6045,Ecole élémentaire de Lugny,0770107Y,81,0770107Y,Ecole élémentaire de Lugny,LUGNY,Public,178 rue des Marronniers, , ,77550,MOISSY CRAMAYEL,Moissy-Cramayel,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77296
678831.200000003,6839509.0045,Ecole primaire Louis Aragon,0770111C,82,0770111C,Ecole primaire Louis Aragon,LOUIS ARAGON,Public,Rue du Champ aux Maigres, , ,77111,SOLERS,Solers,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77457
657773.700000003,6798720.7046,Ecole primaire,0770118K,83,0770118K,Ecole primaire, ,Public,1 rue DU PILLAGE, , ,77760,BUTHIERS,Buthiers,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77060
673531.600000001,6805331.6046,Ecole élémentaire,0770126U,84,0770126U,Ecole élémentaire, ,Public,6 rue des Ecoles, , ,77760,RECLOSES,Recloses,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77386
660996.799999997,6781902.0046,Ecole primaire,0770133B,85,0770133B,Ecole primaire, ,Public,14 rue  de L'Hôtel de Ville, , ,77890,BEAUMONT DU GATINAIS,Beaumont-du-Gâtinais,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77027
674618.799999997,6785064.8046,Ecole élémentaire,0770145P,86,0770145P,Ecole élémentaire, ,Public,4 rue de la Mairie, , ,77570,CHENOU,Chenou,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77110
678140.0,6789316.0046,Ecole élémentaire,0770148T,87,0770148T,Ecole élémentaire, ,Public,1 place DE L'EGLISE, , ,77570,LA MADELEINE SUR LOING,La Madeleine-sur-Loing,BATIMENT,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77267
670969.600000001,6782542.9046,Ecole maternelle,0770150V,88,0770150V,Ecole maternelle, ,Public,8 route de Château Landon, , ,77570,MONDREVILLE,Mondreville,Numéro de rue,101,ECOLE MATERNELLE,77,24,77297
695908.200000003,6818178.4046,Ecole primaire,0770160F,89,0770160F,Ecole primaire, ,Public,6 place de la Résistance, , ,77830,ECHOUBOULAINS,Echouboulains,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77164
677332.399999999,6871539.8045,Ecole élémentaire Eugène Varlin,0770179B,90,0770179B,Ecole élémentaire Eugène Varlin,EUGENE VARLIN,Public,Rue de l'Eglise, , ,77410,CLAYE SOUILLY,Claye-Souilly,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77118
684477.200000003,6877720.0045,Ecole primaire,0770184G,91,0770184G,Ecole primaire, ,Public,1 rue DU BORDEAU, , ,77165,IVERNY,Iverny,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77233
672002.399999999,6876165.8045,Ecole Elémentaire François Couperin,0770198X,92,0770198X,Ecole Elémentaire François Couperin,FRANCOIS COUPERIN,Public,3 rue Maurice Thorez, , ,77290,MITRY MORY,Mitry-Mory,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77294
672904.399999999,6868446.8045,Ecole primaire Etienne Martin,0770200Z,93,0770200Z,Ecole primaire Etienne Martin,ETIENNE MARTIN,Public,4 rue de Courtry, , ,77181,LE PIN,Le Pin,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77363
683256.399999999,6878181.5045,Ecole élémentaire,0770202B,94,0770202B,Ecole élémentaire, ,Public,16 rue Neuve, , ,77165,LE PLESSIS AUX BOIS,Le Plessis-aux-Bois,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77364
671366.899999999,6871948.5045,Ecole maternelle Aristide Briand,0770207G,95,0770207G,Ecole maternelle Aristide Briand,ARISTIDE BRIAND,Public,79 rue Aristide Briand, , ,77270,VILLEPARISIS,Villeparisis,Numéro de rue,101,ECOLE MATERNELLE,77,24,77514
706359.5,6851405.1045,Ecole élémentaire,0770216S,96,0770216S,Ecole élémentaire, ,Public,Place de la Mairie, , ,77120,BEAUTHEIL,Beautheil,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,77,24,77028
