X,Y,nom,id,objectid,numero_uai,appellatio,denominati,patronyme_,adresse_ua,lieu_dit_u,code_posta,localite_a,libelle_co,code_depar,code_acade,code_commu
714910.0,6874395.0045,Collège privé de l'Immaculée Conception,0772495U,434,0772495U,Collège privé de l'Immaculée Conception,COLLEGE PRIVE,DE L'IMMACULEE CONCEPTION,48 grande rue, ,77730,MERY SUR MARNE,Méry-sur-Marne,77,24,77290
676966.399999999,6851865.1045,Collège privé Lemon,0772862T,435,0772862T,Collège privé Lemon,COLLEGE PRIVE,LEMON,5 rue Robert Schuman, ,77330,OZOIR LA FERRIERE,Ozoir-la-Ferrière,77,24,77350
668551.600000001,6867155.5045,Cours Alexandre Dumas,0932584D,436,0932584D,Cours Alexandre Dumas,COLLEGE PRIVE,COURS ALEXANDRE DUMAS,15 place JEAN MERMOZ, ,93370,MONTFERMEIL,Montfermeil,93,24,93047
662107.100000001,6868147.5045,Collège privé La plume de l'éducation,0932717Y,437,0932717Y,Collège privé La plume de l'éducation,COLLEGE PRIVE,LA PLUME DE L'EDUCATION,1 rue Eric Tabarly, ,93140,BONDY,Bondy,93,24,93010
654245.600000001,6843470.3045,Collège Ferdinand Buisson,0911028Y,438,0911028Y,Collège Ferdinand Buisson,COLLEGE,FERDINAND BUISSON,3 rue Carnot, ,91261,JUVISY SUR ORGE CEDEX,Juvisy-sur-Orge,91,25,91326
651495.100000001,6853006.3045,Collège Eugène Chevreul,0940551N,439,0940551N,Collège Eugène Chevreul,COLLEGE,EUGENE CHEVREUL,137 boulevard P VAILLANT COUTURIER, ,94246,L HAY LES ROSES CEDEX,L'Haÿ-les-Roses,94,24,94038
665555.100000001,6852367.2045,Collège du Fort,0940617K,440,0940617K,Collège du Fort,COLLEGE,DU FORT,7 avenue DE LA PLEIADE, ,94370,SUCY EN BRIE,Sucy-en-Brie,94,24,94071
655406.0,6856592.6045,Collège Georges Politzer,0941025D,441,0941025D,Collège Georges Politzer,COLLEGE,GEORGES POLITZER,5 rue FOUILLOUX, ,94200,IVRY SUR SEINE,Ivry-sur-Seine,94,24,94041
661084.399999999,6856658.8045,Collège François Rabelais,0941220R,442,0941220R,Collège François Rabelais,COLLEGE,FRANCOIS RABELAIS,10 rue DU PONT DE CRETEIL, ,94107,ST MAUR DES FOSSES CEDEX,Saint-Maur-des-Fossés,94,24,94068
664329.299999997,6852192.8045,Collège privé Petit-Val,0941716E,443,0941716E,Collège privé Petit-Val,COLLEGE PRIVE,PETIT VAL,12 AVENUE ALBERT PLEUVRY, ,94370,SUCY EN BRIE,Sucy-en-Brie,94,24,94071
655737.899999999,6850168.2045,Collège privé Poullart des Places,0941891V,444,0941891V,Collège privé Poullart des Places,COLLEGE PRIVE,POULLART DES PLACES,95  RUE PAUL VAILLANT COUTURIER, ,94310,ORLY,Orly,94,24,94054
651234.100000001,6856384.2045,Collège Dulcie September,0941971G,445,0941971G,Collège Dulcie September,COLLEGE,DULCIE SEPTEMBER,1 mail GASTON DOISELET, ,94110,ARCUEIL,Arcueil,94,24,94003
676756.5,6795947.0046,Collège privé Sainte Marie - La Roche aux Coqs,0771218F,446,0771218F,Collège privé Sainte Marie - La Roche aux Coqs,COLLEGE PRIVE,STE MARIE - LA ROCHE AUX COQS,3 bis chemin DE LA MESSE, ,77140,ST PIERRE LES NEMOURS,Saint-Pierre-lès-Nemours,77,24,77431
709314.0,6872091.9045,Collège privé Sainte Céline,0771222K,447,0771222K,Collège privé Sainte Céline,COLLEGE PRIVE,SAINTE CELINE,29 RUE PIERRE MARX, ,77260,LA FERTE SOUS JOUARRE,La Ferté-sous-Jouarre,77,24,77183
691216.0,6874005.2045,Collège privé Sainte Marie,0771921V,448,0771921V,Collège privé Sainte Marie,COLLEGE PRIVE,SAINTE MARIE,54  RUE ALFRED MAURY, ,77109,MEAUX CEDEX,Meaux,77,24,77284
670413.100000001,6865526.4045,Collège privé Gasnier Guy-Sainte Bathilde,0771926A,449,0771926A,Collège privé Gasnier Guy-Sainte Bathilde,COLLEGE PRIVE,GUY GASNIER-SAINTE BATHILDE,28 RUE DU TIR, ,77500,CHELLES,Chelles,77,24,77108
706636.799999997,6856481.8045,Collège Hippolyte Rémy,0771513B,450,0771513B,Collège Hippolyte Rémy,COLLEGE,HIPPOLYTE REMY,28 rue MARCEL CLAVIER, ,77527,COULOMMIERS CEDEX,Coulommiers,77,24,77131
686207.899999999,6885803.6045,Collège Jean des Barres,0771912K,451,0771912K,Collège Jean des Barres,COLLEGE,JEAN DES BARRES,Rue DE LA RAPERIE, ,77178,OISSERY,Oissery,77,24,77344
706575.200000003,6856452.0045,Section d'enseignement général et professionnel adapté Hippolyte Rémy,0772022E,452,0772022E,Section d'enseignement général et professionnel adapté Hippolyte Rémy,SEGPA,CLG HIPPOLYTE REMY,28 RUE MARCEL CLAVIER, ,77527,COULOMMIERS CEDEX,Coulommiers,77,24,77131
672368.700000003,6871372.1045,Collège Marthe SIMARD,0772868Z,453,0772868Z,Collège Marthe SIMARD,COLLEGE,MARTHE SIMARD,2 chemin des Petits Marais, ,77270,VILLEPARISIS,Villeparisis,77,24,77514
660652.200000003,6852643.2045,Section d'enseignement général et professionnel adapté Albert Schweitzer,0940913G,454,0940913G,Section d'enseignement général et professionnel adapté Albert Schweitzer,SEGPA,CLG ALBERT SCHWEITZER,2 AVENUE DE LA HABETTE, ,94000,CRETEIL,Créteil,94,24,94028
635540.100100003,6879532.1045,Collège du Bois d'Aulne,0780050F,455,0780050F,Collège du Bois d'Aulne,COLLEGE,DU BOIS D'AULNE,1 place René Picard, ,78700,CONFLANS STE HONORINE,Conflans-Sainte-Honorine,78,25,78172
613061.300099999,6853457.5045,Collège Maurice Ravel,0780262L,456,0780262L,Collège Maurice Ravel,COLLEGE,MAURICE RAVEL,Place de Nickenich, ,78490,MONTFORT L AMAURY,Montfort-l'Amaury,78,25,78420
622859.300099999,6858813.7045,Collège Blaise Pascal,0780420H,457,0780420H,Collège Blaise Pascal,COLLEGE,BLAISE PASCAL,Avenue Charles de Gaulle, ,78373,PLAISIR CEDEX,Plaisir,78,25,78490
621111.4001,6879899.6045,Collège Henri IV,0780571X,458,0780571X,Collège Henri IV,COLLEGE,HENRI IV,Route de Pontoise, ,78250,MEULAN EN YVELINES,Meulan-en-Yvelines,78,25,78401
637096.100000001,6868102.0045,Collège Pablo Picasso,0780578E,459,0780578E,Collège Pablo Picasso,COLLEGE,PABLO PICASSO,25 rue Charles Constantin, ,78360,MONTESSON,Montesson,78,25,78418
631276.9001,6852939.0045,Collège Paul Eluard,0780581H,460,0780581H,Collège Paul Eluard,COLLEGE,PAUL ELUARD,2 rue des Graviers, ,78280,GUYANCOURT,Guyancourt,78,25,78297
631581.500100002,6866080.6045,Collège Les Hauts Grillets,0780714C,461,0780714C,Collège Les Hauts Grillets,COLLEGE,LES HAUTS GRILLETS,Boulevard Hector Berlioz, ,78100,ST GERMAIN EN LAYE,Saint-Germain-en-Laye,78,25,78551
624714.800099999,6858850.8045,Collège La Fosse Aux Dames,0780760C,462,0780760C,Collège La Fosse Aux Dames,COLLEGE,LA FOSSE AUX DAMES,Rue Pablo Néruda, ,78340,LES CLAYES SOUS BOIS,Les Clayes-sous-Bois,78,25,78165
628686.200099997,6869788.2045,Collège Le Corbusier,0781101Y,463,0781101Y,Collège Le Corbusier,COLLEGE,LE CORBUSIER,88 rue de Villiers, ,78300,POISSY,Poissy,78,25,78498
636837.799999997,6866344.2045,Collège Le Cèdre,0781105C,464,0781105C,Collège Le Cèdre,COLLEGE,LE CEDRE,9 rue Henri Dunant, ,78110,LE VESINET,Le Vésinet,78,25,78650
630491.100100003,6854288.2045,Collège Les Saules,0781695U,465,0781695U,Collège Les Saules,COLLEGE,LES SAULES,Boulevard Cézanne, ,78280,GUYANCOURT,Guyancourt,78,25,78297
692545.100000001,6871759.3045,Collège Henri Dunant,0771029A,466,0771029A,Collège Henri Dunant,COLLEGE,HENRI DUNANT,67 avenue HENRI DUNANT, ,77100,MEAUX,Meaux,77,24,77284
684289.100000001,6822425.0046,Collège Rosa Bonheur,0771068T,467,0771068T,Collège Rosa Bonheur,COLLEGE,ROSA BONHEUR,2 ROUTE DE FONTAINE LE PORT, ,77820,LE CHATELET EN BRIE,Le Châtelet-en-Brie,77,24,77100
691660.700000003,6873256.3045,Collège Henri IV,0771173G,468,0771173G,Collège Henri IV,COLLEGE,HENRI IV,4 rue FATOU, ,77100,MEAUX,Meaux,77,24,77284
721473.100000001,6827240.8046,Collège Jules Verne,0771176K,469,0771176K,Collège Jules Verne,COLLEGE,JULES VERNE,2 rue CHARGOULOT, ,77160,PROVINS,Provins,77,24,77379
676395.700000003,6825576.5046,Collège la Mare aux Champs,0771178M,470,0771178M,Collège la Mare aux Champs,COLLEGE,LA MARE AUX CHAMPS,293 rue DE LA MARE AUX CHAMPS, ,77000,VAUX LE PENIL,Vaux-le-Pénil,77,24,77487
631898.9001,6873291.5045,Section d'enseignement général et professionnel adapté du Collège Jean Lurcat,0781172A,471,0781172A,Section d'enseignement général et professionnel adapté du Collège Jean Lurcat,SEGPA,CLG JEAN LURCAT,19 rue Georges Bourgoin, ,78260,ACHERES,Achères,78,25,78005
624900.800099999,6876462.5045,Collège privé Notre-Dame,0781537X,472,0781537X,Collège privé Notre-Dame,COLLEGE PRIVE,NOTRE-DAME,106 grande rue, ,78480,VERNEUIL SUR SEINE,Verneuil-sur-Seine,78,25,78642
637575.100000001,6865563.9045,Collège privé Le Bon Sauveur,0781594J,473,0781594J,Collège privé Le Bon Sauveur,COLLEGE PRIVE,LE BON SAUVEUR,6  RUE HENRI CLOPPET, ,78110,LE VESINET,Le Vésinet,78,25,78650
611761.9001,6853692.7045,Collège privé Saint Louis - Notre-Dame du Bel Air,0781600R,474,0781600R,Collège privé Saint Louis - Notre-Dame du Bel Air,COLLEGE PRIVE,ST LOUIS-NOTRE-DAME DU BEL AIR,48 route DE ST LEGER, ,78490,MONTFORT L AMAURY,Montfort-l'Amaury,78,25,78420
636847.0,6857182.8045,Ecole secondaire privée Jeanne d'Arc,0781902U,475,0781902U,Ecole secondaire privée Jeanne d'Arc,ECOLE SECONDAIRE PRIVEE,JEANNE D'ARC,35  RUE REMILLY, ,78000,VERSAILLES,Versailles,78,25,78646
636644.200000003,6863326.9045,Collège privé Sainte Thérèse,0783301P,476,0783301P,Collège privé Sainte Thérèse,COLLEGE PRIVE,STE THERESE,7  QUAI BOISSY D ANGLAS, ,78380,BOUGIVAL,Bougival,78,25,78092
632188.700099997,6860723.2045,Collège privé International Montessori Athéna,0783682D,477,0783682D,Collège privé International Montessori Athéna,COLLEGE PRIVE,INTERNATIONAL MONTESSORI ATHENA,29 RUE DE NOISY, ,78870,BAILLY,Bailly,78,25,78043
655362.899999999,6876119.6045,Collège privé Ozar Hatorah,0951939S,478,0951939S,Collège privé Ozar Hatorah,COLLEGE PRIVE,OZAR HATORAH,1 rue JEAN LURCAT, ,95200,SARCELLES,Sarcelles,95,25,95585
633990.700099997,6883875.6045,Ecole secondaire privée Vauban,0951943W,479,0951943W,Ecole secondaire privée Vauban,COLLEGE PRIVE,VAUBAN,23  PLACE DU PETIT MARTROY, ,95300,PONTOISE,Pontoise,95,25,95500
652069.100000001,6875390.3045,Collège privé Apprendre Autrement,0952010U,480,0952010U,Collège privé Apprendre Autrement,COLLEGE PRIVE,APPRENDRE AUTREMENT,9  RUELLE DES JARDINS, ,95360,MONTMAGNY,Montmagny,95,25,95427
655339.5,6877466.5045,Collège privé  Académie Fihri,0952218V,481,0952218V,Collège privé  Académie Fihri,COLLEGE PRIVE,ACADEMIE FIHRI,24 rue DE L'ESCOUVRIER, ,95200,SARCELLES,Sarcelles,95,25,95585
