objectid,numero_uai,appellatio,denominati,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,appariemen,localisati,nature_uai,etat_eta_1,code_depar,code_acade,code_commu,libelle_de,libelle_ac,contrat,id,nom,x,y
37,0755801Y,Cours du Pont de Pierre,ECOLE 2D DEGRE GENERAL PRIVEE,COURS DU PONT DE PIERRE,Privé,11 rue de la Comète, , ,75007,PARIS,Paris  7e  Arrondissement,Parfaite,Numéro de rue,300,OUVERT,75,01,75107,Paris,Paris,Privé hors contrat,0755801Y,Cours du Pont de Pierre,649309.50004,6862341.50453
38,0755904K,Etablissement d'enseignement technique Institut Santé,ECOLE 2D DEGRE PROF.PRIVEE,INSTITUT SANTÉ,Privé,32 rue Tronchet, , ,75009,PARIS,Paris  9e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75109,Paris,Paris, ,0755904K,Etablissement d'enseignement technique Institut Santé,650628.800039,6863879.00453
39,0772602K,Lycée privé Sainte Céline,LYCEE GENERAL PRIVE,SAINTE CELINE,Privé,29 RUE PIERRE MARX, ,9,77260,LA FERTE SOUS JOUARRE,La Ferté-sous-Jouarre,Parfaite,Numéro de rue,302,OUVERT,77,24,77183,Seine-et-Marne,Créteil,Privé sous contrat,0772602K,Lycée privé Sainte Céline,709376.999993,6872073.10453
40,0780515L,Lycée général et technologique Les Sept Mares,LYCEE GENERAL ET TECHNOLOGIQUE,LES SEPT MARES,Public,13 rue de la Beauce, , ,78310,MAUREPAS,Maurepas,Parfaite,Numéro de rue,300,OUVERT,78,25,78383,Yvelines,Versailles,Public,0780515L,Lycée général et technologique Les Sept Mares,622477.200061,6852460.10454
41,0781949V,Lycée général et technologique de Villaroy,LYCEE GENERAL ET TECHNOLOGIQUE,DE VILLAROY,Public,2 rue Eugène Viollet le Duc, ,15,78041,GUYANCOURT CEDEX,Guyancourt,Correcte,Numéro de rue,300,OUVERT,78,25,78297,Yvelines,Versailles,Public,0781949V,Lycée général et technologique de Villaroy,631517.100054,6852021.90454
42,0781950W,Lycée polyvalent Louise Weiss,LYCEE POLYVALENT,LOUISE WEISS,Public,201 avenue du Général de Gaulle, , ,78260,ACHERES,Achères,Correcte,Numéro de rue,306,OUVERT,78,25,78005,Yvelines,Versailles,Public,0781950W,Lycée polyvalent Louise Weiss,632177.000053,6874902.10453
43,0782549X,Lycée polyvalent Louis Bascan,LYCEE POLYVALENT,LOUIS BASCAN,Public,5 avenue du Général Leclerc, ,93,78513,RAMBOUILLET CEDEX,Rambouillet,Correcte,Numéro de rue,306,OUVERT,78,25,78517,Yvelines,Versailles,Public,0782549X,Lycée polyvalent Louis Bascan,613402.800068,6838512.00454
44,0782557F,"Lycée polyvalent Jean-Baptiste Poquelin, lycée des métiers du management et de la gestion",LPO LYCEE DES METIERS,JEAN-BAPTISTE POQUELIN,Public,72 RUE LEON DESOYER, ,142,78101,ST GERMAIN EN LAYE CEDEX,Saint-Germain-en-Laye,Parfaite,Numéro de rue,306,OUVERT,78,25,78551,Yvelines,Versailles,Public,0782557F,"Lycée polyvalent Jean-Baptiste Poquelin, lycée des métiers du management et de la gestion",632977.100052,6867036.20453
45,0782563M,Lycée général et technologique La Bruyère,LYCEE GENERAL ET TECHNOLOGIQUE,LA BRUYERE,Public,31 avenue de Paris, , ,78000,VERSAILLES,Versailles,Parfaite,Numéro de rue,300,OUVERT,78,25,78646,Yvelines,Versailles,Public,0782563M,Lycée général et technologique La Bruyère,636644.50005,6856011.20454
46,0782587N,"Lycée polyvalent Viollet-Le-Duc, lycée des métiers de l'habitat et du développement durable",LPO LYCEE DES METIERS,VIOLLET-LE-DUC,Public,1 route DE SEPTEUIL, , ,78640,VILLIERS ST FREDERIC,Villiers-Saint-Frédéric,Parfaite,Numéro de rue,306,OUVERT,78,25,78683,Yvelines,Versailles,Public,0782587N,"Lycée polyvalent Viollet-Le-Duc, lycée des métiers de l'habitat et du développement durable",617089.500065,6857692.00453
47,0782602E,"Lycée professionnel Jean Moulin, lycée des métiers de l'électro-énergétique",LP LYCEE DES METIERS,JEAN MOULIN,Public,18 RUE DU DOCTEUR AUDIGIER, , ,78150,LE CHESNAY,Le Chesnay,Parfaite,Numéro de rue,320,OUVERT,78,25,78158,Yvelines,Versailles,Public,0782602E,"Lycée professionnel Jean Moulin, lycée des métiers de l'électro-énergétique",636407.60005,6858806.00453
