objectid,numero_uai,appellatio,denominati,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,appariemen,localisati,nature_uai,etat_eta_1,code_depar,code_acade,code_commu,libelle_de,libelle_ac,contrat,id,nom,x,y
146,0942269F,Lycée polyvalent Pauline Roland - Lycée des métiers du transport et de la logistique,LPO LYCEE DES METIERS,PAULINE ROLAND,Public,11 avenue du Général de Gaulle, , ,94550,CHEVILLY LARUE,Chevilly-Larue,Parfaite,Numéro de rue,306,OUVERT,94,24,94021,Val-de-Marne,Créteil,Public,0942269F,Lycée polyvalent Pauline Roland - Lycée des métiers du transport et de la logistique,651504.200038,6852731.40454
147,0912124P,Section d'enseignement professionnel du lycée polyvalent Parc de Vilgenis,SECTION ENSEIGNT PROFESSIONNEL,LPO PARC DE VILGENIS,Public,80 rue DE VERSAILLES, ,112,91300,MASSY,Massy,Parfaite,Numéro de rue,334,OUVERT,91,25,91377,Essonne,Versailles, ,0912124P,Section d'enseignement professionnel du lycée polyvalent Parc de Vilgenis,645043.900043,6848185.70454
148,0940113M,Lycée polyvalent Langevin-Wallon,LYCEE POLYVALENT,LANGEVIN-WALLON,Public,126 avenue Roger Salengro, , ,94507,CHAMPIGNY SUR MARNE CEDEX,Champigny-sur-Marne,Parfaite,Numéro de rue,306,OUVERT,94,24,94017,Val-de-Marne,Créteil,Public,0940113M,Lycée polyvalent Langevin-Wallon,663100.000029,6857492.00454
149,0921677Y,Section d'enseignement professionnel du lycée polyvalent Joliot Curie,SECTION ENSEIGNT PROFESSIONNEL,JOLIOT-CURIE,Public,9 rue PAUL LANGEVIN, , ,92000,NANTERRE,Nanterre,Parfaite,Numéro de rue,334,OUVERT,92,25,92050,Hauts-de-Seine,Versailles,Public,0921677Y,Section d'enseignement professionnel du lycée polyvalent Joliot Curie,640211.500047,6865923.10453
150,0932120Z,Lycée polyvalent Henri Sellier - Lycée des métiers de la santé et du social,LPO LYCEE DES METIERS,HENRI SELLIER,Public,73 avenue DU COLONEL FABIEN, , ,93190,LIVRY GARGAN,Livry-Gargan,Parfaite,Numéro de rue,306,OUVERT,93,24,93046,Seine-Saint-Denis,Créteil,Public,0932120Z,Lycée polyvalent Henri Sellier - Lycée des métiers de la santé et du social,664525.300028,6868873.60453
151,0941018W,Lycée polyvalent Edouard Branly,LYCEE POLYVALENT,EDOUARD BRANLY,Public,33 rue DU PETIT BOIS, , ,94000,CRETEIL,Créteil,Parfaite,Numéro de rue,306,OUVERT,94,24,94028,Val-de-Marne,Créteil,Public,0941018W,Lycée polyvalent Edouard Branly,660915.800031,6853923.20454
152,0951678H,Ecole générale et technologique privée Compta-Sup Marketing,ECOLE GEN ET TECHNOL PRIVEE,COMPTA-SUP MARKETING,Privé,2 rue des Charbonniers, , ,95330,DOMONT,Domont,Parfaite,Numéro de rue,300,OUVERT,95,25,95199,Val-d'Oise,Versailles,Privé hors contrat,0951678H,Ecole générale et technologique privée Compta-Sup Marketing,652711.800037,6877463.20452
153,0941301D,Lycée polyvalent Frédéric Mistral,LYCEE POLYVALENT,FREDERIC MISTRAL,Public,7 rue FREDERIC MISTRAL, , ,94260,FRESNES,Fresnes,Parfaite,Numéro de rue,306,OUVERT,94,24,94034,Val-de-Marne,Créteil,Public,0941301D,Lycée polyvalent Frédéric Mistral,650655.500039,6851437.30454
154,0941918Z,Lycée polyvalent Christophe Colomb,LYCEE POLYVALENT,CHRISTOPHE COLOMB,Public,154 rue DE BOISSY, , ,94370,SUCY EN BRIE,Sucy-en-Brie,Parfaite,Numéro de rue,306,OUVERT,94,24,94071,Val-de-Marne,Créteil,Public,0941918Z,Lycée polyvalent Christophe Colomb,665091.400027,6851172.50454
155,0752608C,Lycée professionnel Belliard - Lycée des métiers de l'hôtellerie et de la restauration,LP LYCEE DES METIERS,BELLIARD,Public,135 rue BELLIARD, , ,75018,PARIS,Paris 18e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75118,Paris,Paris,Public,0752608C,Lycée professionnel Belliard - Lycée des métiers de l'hôtellerie et de la restauration,651205.600038,6866449.70453
156,0752700C,Lycée professionnel Armand Carrel,LYCEE PROFESSIONNEL,ARMAND CARREL,Public,45 RUE ARMAND CARREL, , ,75019,PARIS,Paris 19e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75119,Paris,Paris,Public,0752700C,Lycée professionnel Armand Carrel,654253.900036,6864920.90453
157,0754890H,Section d'enseignement professionnel du Lycée polyvalent Guillaume Tyrel,SECTION ENSEIGNT PROFESSIONNEL,LPO TIREL,Public,237 boulevard Raspail, , ,75014,PARIS,Paris 14e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75114,Paris,Paris, ,0754890H,Section d'enseignement professionnel du Lycée polyvalent Guillaume Tyrel,650887.200038,6860059.70453
158,0755099K,Section d enseignement professionnel du lycée polyvalent Diderot,SECTION ENSEIGNT PROFESSIONNEL,LPO DIDEROT,Public,61 rue DAVID D ANGERS, , ,75019,PARIS,Paris 19e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75119,Paris,Paris, ,0755099K,Section d enseignement professionnel du lycée polyvalent Diderot,655694.800035,6864779.90453
159,0940114N,Lycée polyvalent Antoine de Saint-Exupéry,LYCEE POLYVALENT,ANTOINE DE SAINT EXUPERY,Public,2 rue HENRI MATISSE, , ,94000,CRETEIL,Créteil,Parfaite,Numéro de rue,306,OUVERT,94,24,94028,Val-de-Marne,Créteil,Public,0940114N,Lycée polyvalent Antoine de Saint-Exupéry,660516.600031,6853773.90454
160,0930846P,"Lycée professionnel Voillaume, Lyc métiers management, gestion, administration communication - Lyc métiers conception réalisation systèmes industriels",LP LYCEE DES METIERS,VOILLAUME,Public,136 rue DE MITRY, , ,93601,AULNAY SOUS BOIS CEDEX,Aulnay-sous-Bois,Parfaite,Numéro de rue,320,OUVERT,93,24,93005,Seine-Saint-Denis,Créteil,Public,0930846P,"Lycée professionnel Voillaume, Lyc métiers management, gestion, administration communication - Lyc métiers conception réalisation systèmes indust",664097.600028,6871658.70453
161,0772866X,Lycée professionnel privé ICAM,LYCEE PROFESSIONNEL PRIVE,ICAM (INSTITUT CATHOLIQUE DES ARTS ET MÉTIERS),Privé,CENTRE CARRÉ SÉNART - 33 POINTS DE VUE, , ,77127,LIEUSAINT,Lieusaint,Moyenne,Ville,320,OUVERT,77,24,77251,Seine-et-Marne,Créteil, ,0772866X,Lycée professionnel privé ICAM,666922.600026,6836841.50455
162,0932651B,"Gobelins, l'école de l'image",LYCEE PROFESSIONNEL PRIVE,GOBELINS - L'ECOLE DE L'IMAGE,Privé,11 rue DU BALLON, , ,93160,NOISY LE GRAND,Noisy-le-Grand,Parfaite,Numéro de rue,320,OUVERT,93,24,93051,Seine-Saint-Denis,Créteil,Privé hors contrat,0932651B,"Gobelins, l'école de l'image",669218.400024,6859241.90453
163,0932670X,Lycée privé Excelle,LYCÉE GÉNÉRAL PRIVÉ,EXCELLE,Privé,8 rue ISAAC NEWTON, , ,93150,LE BLANC MESNIL,Le Blanc-Mesnil,Parfaite,Numéro de rue,302,OUVERT,93,24,93007,Seine-Saint-Denis,Créteil,Privé hors contrat,0932670X,Lycée privé Excelle,661499.60003,6871890.30453
164,0942265B,Lycée général et technologique privé Sports études (Tee Break),LYCEE GENERAL ET TECHNO PRIVE,SPORTS ETUDES TEE BREAK,Privé,20 rue MAGELLAN, , ,94370,SUCY EN BRIE,Sucy-en-Brie,Parfaite,Numéro de rue,300,OUVERT,94,24,94071,Val-de-Marne,Créteil,Privé hors contrat,0942265B,Lycée général et technologique privé Sports études (Tee Break),663490.000029,6852636.70454
165,0942365K,Lycée général et technologique privé Sports études de Paris (Tee Break),LYCEE GENERAL ET TECHNO PRIVE,SPORTS ETUDES TEE BREAK,Privé,Chemin DES MARMOUSETS, , ,94510,LA QUEUE EN BRIE,La Queue-en-Brie,MANUEL,BATIMENT,300,OUVERT,94,24,94060,Val-de-Marne,Créteil,Privé hors contrat,0942365K,Lycée général et technologique privé Sports études de Paris (Tee Break),669687.000024,6851986.00454
166,0750508V,Lycée professionnel Charles de Gaulle,LYCEE PROFESSIONNEL,CHARLES DE GAULLE,Public,17 rue LIGNER, , ,75020,PARIS,Paris 20e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75120,Paris,Paris,Public,0750508V,Lycée professionnel Charles de Gaulle,655784.700035,6862169.80453
167,0750648X,Lycée général Victor Hugo,LYCEE GENERAL,VICTOR HUGO,Public,27 RUE DE SEVIGNE, , ,75003,PARIS,Paris  3e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75103,Paris,Paris,Public,0750648X,Lycée général Victor Hugo,653274.200037,6862129.20453
168,0750652B,Lycée général Charlemagne,LYCEE GENERAL,CHARLEMAGNE,Public,14 rue Charlemagne, , ,75004,PARIS,Paris  4e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75104,Paris,Paris,Public,0750652B,Lycée général Charlemagne,653074.600037,6861767.70453
169,0750654D,Lycée général Henri IV,LYCEE GENERAL,HENRI IV,Public,23 rue CLOVIS, , ,75005,PARIS,Paris  5e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75105,Paris,Paris,Public,0750654D,Lycée général Henri IV,652106.200037,6860899.40453
170,0750655E,Lycée général Louis Le Grand,LYCEE GENERAL,LOUIS LE GRAND,Public,123 rue SAINT JACQUES, , ,75005,PARIS,Paris  5e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75105,Paris,Paris,Public,0750655E,Lycée général Louis Le Grand,651871.800038,6861084.60453
171,0750656F,Lycée général Lavoisier,LYCEE GENERAL,LAVOISIER,Public,17 rue Henri Barbusse, , ,75005,PARIS,Paris  5e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75105,Paris,Paris,Public,0750656F,Lycée général Lavoisier,651508.900038,6860460.00453
172,0750657G,Lycée général Montaigne,LYCEE GENERAL,MONTAIGNE,Public,17 RUE AUGUSTE COMTE, , ,75006,PARIS,Paris  6e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75106,Paris,Paris,Public,0750657G,Lycée général Montaigne,651279.400038,6860664.60453
173,0750658H,Lycée général Saint Louis,LYCEE GENERAL,SAINT-LOUIS,Public,44 boulevard SAINT MICHEL, , ,75006,PARIS,Paris  6e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75106,Paris,Paris,Public,0750658H,Lycée général Saint Louis,651691.100038,6861208.00453
174,0750667T,Lycée général Condorcet,LYCEE GENERAL,CONDORCET,Public,8  RUE DU HAVRE, , ,75009,PARIS,Paris  9e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75109,Paris,Paris,Public,0750667T,Lycée général Condorcet,650632.300039,6864075.20453
175,0750669V,Lycée général Jules Ferry,LYCEE GENERAL,JULES FERRY,Public,77 boulevard DE CLICHY, , ,75009,PARIS,Paris  9e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75109,Paris,Paris,Public,0750669V,Lycée général Jules Ferry,650799.200038,6865103.70453
176,0750682J,Lycée général Rodin,LYCEE GENERAL,RODIN,Public,19 RUE CORVISART, , ,75013,PARIS,Paris 13e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75113,Paris,Paris,Public,0750682J,Lycée général Rodin,652079.000037,6859356.70453
177,0750684L,Lycée général Gabriel Fauré,LYCEE GENERAL,GABRIEL FAURE,Public,81  AVENUE DE CHOISY, , ,75013,PARIS,Paris 13e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75113,Paris,Paris,Public,0750684L,Lycée général Gabriel Fauré,653114.800037,6858410.60453
178,0750690T,Lycée général et technologique François Villon,LYCEE GENERAL ET TECHNOLOGIQUE,FRANCOIS VILLON,Public,10 avenue MARC SANGNIER, , ,75014,PARIS,Paris 14e  Arrondissement,Parfaite,Numéro de rue,300,OUVERT,75,01,75114,Paris,Paris,Public,0750690T,Lycée général et technologique François Villon,649035.40004,6858699.40453
179,0750691U,Lycée polyvalent Raspail - Lycée des métiers des énergies et de l'environnement,LPO LYCEE DES METIERS,RASPAIL,Public,5 BIS AVENUE MAURICE D OCAGNE, , ,75014,PARIS,Paris 14e  Arrondissement,Parfaite,Numéro de rue,306,OUVERT,75,01,75114,Paris,Paris,Public,0750691U,Lycée polyvalent Raspail - Lycée des métiers des énergies et de l'environnement,649553.200039,6858512.00453
180,0750698B,Lycée général et technologique Claude Bernard,LYCEE GENERAL ET TECHNOLOGIQUE,CLAUDE BERNARD,Public,1 avenue DU PARC DES PRINCES, , ,75016,PARIS,Paris 16e  Arrondissement,Parfaite,Numéro de rue,300,OUVERT,75,01,75116,Paris,Paris,Public,0750698B,Lycée général et technologique Claude Bernard,645317.700043,6860472.40453
181,0750700D,Lycée général et technologique Jean-Baptiste Say,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN-BAPTISTE SAY,Public,11 bis rue D'AUTEUIL, , ,75016,PARIS,Paris 16e  Arrondissement,Parfaite,Numéro de rue,300,OUVERT,75,01,75116,Paris,Paris,Public,0750700D,Lycée général et technologique Jean-Baptiste Say,646234.900042,6861049.20453
182,0750703G,Lycée général Molière,LYCEE GENERAL,MOLIERE,Public,71 RUE DU RANELAGH, , ,75016,PARIS,Paris 16e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75116,Paris,Paris,Public,0750703G,Lycée général Molière,646591.300042,6861908.90453
183,0750708M,Lycée Polyvalent Jean Drouant - Lycée des métiers de l'hôtellerie et de la restauration,LPO LYCEE DES METIERS,JEAN DROUANT,Public,20 rue MEDERIC, , ,75017,PARIS,Paris 17e  Arrondissement,Parfaite,Numéro de rue,306,OUVERT,75,01,75117,Paris,Paris,Public,0750708M,Lycée Polyvalent Jean Drouant - Lycée des métiers de l'hôtellerie et de la restauration,648937.10004,6864750.60453
184,0750713T,Lycée général et technologique Jacquard,LYCEE GENERAL ET TECHNOLOGIQUE,JACQUARD,Public,2 bis rue BOURET, , ,75019,PARIS,Paris 19e  Arrondissement,Parfaite,Numéro de rue,300,OUVERT,75,01,75119,Paris,Paris,Public,0750713T,Lycée général et technologique Jacquard,654276.100036,6864683.90453
185,0750714U,Lycée général Hélène Boucher,LYCEE GENERAL,HELENE BOUCHER,Public,75 COURS DE VINCENNES, , ,75020,PARIS,Paris 20e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75120,Paris,Paris,Public,0750714U,Lycée général Hélène Boucher,656479.100034,6861027.30453
186,0750715V,Lycée général et technologique Maurice Ravel,LYCEE GENERAL ET TECHNOLOGIQUE,MAURICE RAVEL,Public,89 cours DE VINCENNES, , ,75020,PARIS,Paris 20e  Arrondissement,Parfaite,Numéro de rue,300,OUVERT,75,01,75120,Paris,Paris,Public,0750715V,Lycée général et technologique Maurice Ravel,656579.500034,6861010.20453
187,0750786X,Lycée polyvalent Lazare Ponticelli,LYCEE POLYVALENT,LAZARE PONTICELLI,Public,92 rue BARRAULT, , ,75013,PARIS,Paris 13e  Arrondissement,Parfaite,Numéro de rue,306,OUVERT,75,01,75113,Paris,Paris,Public,0750786X,Lycée polyvalent Lazare Ponticelli,652028.700038,6858345.00453
188,0751716H,Lycée professionnel Hôtelier Drouant,SECTION ENSEIGNT PROFESSIONNEL,LPO DROUANT,Public,20 rue MEDERIC, , ,75017,PARIS,Paris 17e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75117,Paris,Paris, ,0751716H,Lycée professionnel Hôtelier Drouant,648937.10004,6864750.60453
189,0930124E,Lycée général et technologique Marcelin Berthelot,LYCEE GENERAL ET TECHNOLOGIQUE,MARCELIN BERTHELOT,Public,110 avenue Jean Jaurès, , ,93500,PANTIN,Pantin,Parfaite,Numéro de rue,300,OUVERT,93,24,93055,Seine-Saint-Denis,Créteil,Public,0930124E,Lycée général et technologique Marcelin Berthelot,655633.700035,6867399.60453
190,0931193S,Lycée professionnel Hélène Boucher - Lycée des métiers du transport,LP LYCEE DES METIERS,HELENE BOUCHER,Public,70 avenue GILBERT BERGER, , ,93290,TREMBLAY EN FRANCE,Tremblay-en-France,Parfaite,Numéro de rue,320,OUVERT,93,24,93073,Seine-Saint-Denis,Créteil,Public,0931193S,Lycée professionnel Hélène Boucher - Lycée des métiers du transport,669197.900024,6872299.80453
191,0931272C,Lycée général et technologique Gustave Eiffel,LYCEE GENERAL ET TECHNOLOGIQUE,GUSTAVE EIFFEL,Public,16 CHEMIN DE LA RENARDIERE, , ,93220,GAGNY,Gagny,Parfaite,Numéro de rue,300,OUVERT,93,24,93032,Seine-Saint-Denis,Créteil,Public,0931272C,Lycée général et technologique Gustave Eiffel,666430.500026,6865567.00453
192,0931585T,Lycée général et technologique André Boulloche,LYCEE GENERAL ET TECHNOLOGIQUE,ANDRE BOULLOCHE,Public,18 boulevard GUTENBERG, , ,93190,LIVRY GARGAN,Livry-Gargan,Parfaite,Numéro de rue,300,OUVERT,93,24,93046,Seine-Saint-Denis,Créteil,Public,0931585T,Lycée général et technologique André Boulloche,664820.700028,6868215.10453
193,0941347D,Lycée général et technologique Pablo Picasso,LYCEE GENERAL ET TECHNOLOGIQUE,PABLO PICASSO,Public,2 avenue PABLO PICASSO, , ,94120,FONTENAY SOUS BOIS,Fontenay-sous-Bois,Parfaite,Numéro de rue,300,OUVERT,94,24,94033,Val-de-Marne,Créteil,Public,0941347D,Lycée général et technologique Pablo Picasso,662312.600029,6861868.20453
194,0752846L,Lycée Professionnel Erik Satie,LYCEE PROFESSIONNEL,ERIK SATIE,Public,2 rue PIERRE CASTAGNOU, , ,75014,PARIS,Paris 14e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75114,Paris,Paris,Public,0752846L,Lycée Professionnel Erik Satie,650552.400039,6859472.60453
195,0752961L,Lycée professionnel Gustave Eiffel,LYCEE PROFESSIONNEL,GUSTAVE EIFFEL,Public,1 RUE DU GENERAL CAMOU, , ,75007,PARIS,Paris  7e  Arrondissement,Parfaite,Numéro de rue,320,OUVERT,75,01,75107,Paris,Paris,Public,0752961L,Lycée professionnel Gustave Eiffel,648630.50004,6862322.60453
196,0754874R,Section d'enseignement professionnel du Lycée polyvalent Jacques Monod,SECTION ENSEIGNT PROFESSIONNEL,LPO JACQUES MONOD,Public,44 rue DES JEUNEURS, , ,75002,PARIS,Paris  2e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75102,Paris,Paris, ,0754874R,Section d'enseignement professionnel du Lycée polyvalent Jacques Monod,651845.100038,6863512.70453
197,0754877U,Section d'enseignement professionnel du Lycée polyvalent Edgar Quinet,SECTION ENSEIGNT PROFESSIONNEL,LPO EDGAR QUINET,Public,24 rue DUPERRE, , ,75009,PARIS,Paris  9e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75109,Paris,Paris, ,0754877U,Section d'enseignement professionnel du Lycée polyvalent Edgar Quinet,651250.500038,6864880.50453
198,0754979E,Section d'enseignement professionnel du Lycée polyvalent Paul Poiret,SECTION ENSEIGNT PROFESSIONNEL,LPO PAUL POIRET,Public,19 rue DES TAILLANDIERS, , ,75011,PARIS,Paris 11e  Arrondissement,Parfaite,Numéro de rue,334,OUVERT,75,01,75111,Paris,Paris, ,0754979E,Section d'enseignement professionnel du Lycée polyvalent Paul Poiret,654141.400036,6861794.80453
199,0930138V,Lycée professionnel Frédéric Bartholdi,LYCEE PROFESSIONNEL,FREDERIC BARTHOLDI,Public,12 rue de la Liberté, , ,93200,ST DENIS,Saint-Denis,Parfaite,Numéro de rue,320,OUVERT,93,24,93066,Seine-Saint-Denis,Créteil,Public,0930138V,Lycée professionnel Frédéric Bartholdi,653471.300036,6871695.20453
200,0932377D,Etablissement Expérimental Nouvelle Chance Auto-Ecole du Lycée Frédéric Bartholdi,ETABLISSEMENT EXPERIMENTAL,NOUVELLE CHANCE  AUTO-ÉCOLE,Public,12 rue de la Liberté, , ,93200,ST DENIS,Saint-Denis,Parfaite,Numéro de rue,315,OUVERT,93,24,93066,Seine-Saint-Denis,Créteil, ,0932377D,Etablissement Expérimental Nouvelle Chance Auto-Ecole du Lycée Frédéric Bartholdi,653501.600036,6871679.80453
201,0940880W,Lycée général privé Albert de Mun,LYCEE GENERAL PRIVE,ALBERT DE MUN,Privé,5 avenue GEORGES CLEMENCEAU, , ,94736,NOGENT SUR MARNE CEDEX,Nogent-sur-Marne,Correcte,Numéro de rue,302,OUVERT,94,24,94052,Val-de-Marne,Créteil,Privé sous contrat,0940880W,Lycée général privé Albert de Mun,661133.70003,6859718.90453
202,0950667J,"Lycée polyvalent Romain Rolland, lycée des métiers de l'industrie, du commerce et des services aux entreprises",LPO LYCEE DES METIERS,ROMAIN ROLLAND,Public,21 avenue DE MONTMORENCY, , ,95190,GOUSSAINVILLE,Goussainville,Parfaite,Numéro de rue,306,OUVERT,95,25,95280,Val-d'Oise,Versailles,Public,0950667J,"Lycée polyvalent Romain Rolland, lycée des métiers de l'industrie, du commerce et des services aux entreprises",660234.900031,6881204.60452
203,0951147F,Lycée général et technologique Fragonard,LYCEE GENERAL ET TECHNOLOGIQUE,FRAGONARD,Public,3  RUE FRAGONARD, , ,95290,L ISLE ADAM,L'Isle-Adam,Parfaite,Numéro de rue,300,OUVERT,95,25,95313,Val-d'Oise,Versailles,Public,0951147F,Lycée général et technologique Fragonard,643304.500044,6891019.10452
204,0951723G,Lycée général et technologique Montesquieu,LYCEE GENERAL ET TECHNOLOGIQUE,MONTESQUIEU,Public,165 rue Emile Zola, , ,95220,HERBLAY,Herblay,Parfaite,Numéro de rue,300,OUVERT,95,25,95306,Val-d'Oise,Versailles,Public,0951723G,Lycée général et technologique Montesquieu,637525.500049,6878057.30452
205,0951788C,Lycée polyvalent George Sand,LYCEE POLYVALENT,GEORGE SAND,Public,Avenue du Lycée, ,22,95331,DOMONT CEDEX,Domont,Parfaite,Numéro de rue,306,OUVERT,95,25,95199,Val-d'Oise,Versailles,Public,0951788C,Lycée polyvalent George Sand,651803.600038,6881364.20452
206,0951824S,Lycée polyvalent de L'Hautil,LYCEE POLYVALENT,DE L HAUTIL,Public,1 rue GABRIEL FAURE, , ,95280,JOUY LE MOUTIER,Jouy-le-Moutier,Parfaite,Numéro de rue,306,OUVERT,95,25,95323,Val-d'Oise,Versailles,Public,0951824S,Lycée polyvalent de L'Hautil,628641.800056,6879282.70452
207,0940116R,Lycée général et technologique Eugène Delacroix,LYCEE GENERAL ET TECHNOLOGIQUE,EUGENE DELACROIX,Public,5 rue PIERRE CURIE, , ,94704,MAISONS ALFORT CEDEX,Maisons-Alfort,Correcte,Numéro de rue,300,OUVERT,94,24,94046,Val-de-Marne,Créteil,Public,0940116R,Lycée général et technologique Eugène Delacroix,657840.300033,6856899.70454
208,0940126B,Lycée polyvalent Maximilien Perret - Lycée des métiers de l'énergie et du génie climatique,LPO LYCEE DES METIERS,MAXIMILIEN PERRET,Public,Place SAN BENEDETTO DEL TRONTO, ,56,94141,ALFORTVILLE CEDEX,Alfortville,MANUEL,BATIMENT,306,OUVERT,94,24,94002,Val-de-Marne,Créteil,Public,0940126B,Lycée polyvalent Maximilien Perret - Lycée des métiers de l'énergie et du génie climatique,657663.000033,6854216.00454
209,0940138P,"Lycée professionnel Armand Guillaumin - Lycée des métiers de la coiffure, de l'esthétique et des soins de la personne",LP LYCEE DES METIERS,ARMAND GUILLAUMIN,Public,Rue PIERRE CORNEILLE, , ,94310,ORLY,Orly,Parfaite,Numéro de rue,320,OUVERT,94,24,94054,Val-de-Marne,Créteil,Public,0940138P,"Lycée professionnel Armand Guillaumin - Lycée des métiers de la coiffure, de l'esthétique et des soins de la personne",656124.500034,6850063.00454
210,0770920G,"Lycée polyvalent La Fayette - Lycée des métiers de l'énergie, du numérique et des industries de production - Lycée des métiers du commerce",LPO LYCEE DES METIERS,LA FAYETTE,Public,Place DES CELESTINS, ,7,77430,CHAMPAGNE SUR SEINE,Champagne-sur-Seine,MANUEL,BATIMENT,306,OUVERT,77,24,77079,Seine-et-Marne,Créteil,Public,0770920G,"Lycée polyvalent La Fayette - Lycée des métiers de l'énergie, du numérique et des industries de production - Lycée des métiers du commerce",685024.000012,6811465.00456
211,0930136T,Lycée professionnel Claude-Nicolas Ledoux - Lycée des métiers de l'éco-construction et de la décoration,LP LYCEE DES METIERS,CLAUDE-NICOLAS LEDOUX,Public,1 boulevard de Paris, , ,93320,LES PAVILLONS SOUS BOIS,Les Pavillons-sous-Bois,Parfaite,Numéro de rue,320,OUVERT,93,24,93057,Seine-Saint-Denis,Créteil,Public,0930136T,Lycée professionnel Claude-Nicolas Ledoux - Lycée des métiers de l'éco-construction et de la décoration,662798.300029,6868195.30453
212,0941604H,Lycée professionnel Samuel de Champlain - Lycée des métiers de la construction et de la gestion immobilière,LP LYCEE DES METIERS,SAMUEL DE CHAMPLAIN,Public,61 rue DES BORDES, , ,94430,CHENNEVIERES SUR MARNE,Chennevières-sur-Marne,Parfaite,Numéro de rue,320,OUVERT,94,24,94019,Val-de-Marne,Créteil,Public,0941604H,Lycée professionnel Samuel de Champlain - Lycée des métiers de la construction et de la gestion immobilière,667418.600025,6855507.70454
213,0932030B,Lycée polyvalent Maurice Utrillo,LYCEE POLYVALENT,MAURICE UTRILLO,Public,152 rue JEAN DURAND, , ,93240,STAINS,Stains,Parfaite,Numéro de rue,306,OUVERT,93,24,93072,Seine-Saint-Denis,Créteil,Public,0932030B,Lycée polyvalent Maurice Utrillo,653883.900036,6872793.10453
214,0932260B,"Lycée polyvalent Georges Brassens - Lycée des métiers du management, de la gestion, de l'administration et de la communication",LPO LYCEE DES METIERS,GEORGES BRASSENS,Public,Rue DES BANCS PUBLICS, , ,93420,VILLEPINTE,Villepinte,Parfaite,Numéro de rue,306,OUVERT,93,24,93078,Seine-Saint-Denis,Créteil,Public,0932260B,"Lycée polyvalent Georges Brassens - Lycée des métiers du management, de la gestion, de l'administration et de la communication",665811.300027,6873021.30453
215,0940124Z,Lycée général et technologique Hector Berlioz,LYCEE GENERAL ET TECHNOLOGIQUE,HECTOR BERLIOZ,Public,106 avenue de Paris, , ,94307,VINCENNES CEDEX,Vincennes,Correcte,Numéro de rue,300,OUVERT,94,24,94080,Val-de-Marne,Créteil,Public,0940124Z,Lycée général et technologique Hector Berlioz,657950.500033,6860787.90453
216,0771336J,Lycée polyvalent les Pannevelles - Lycée des métiers du bâtiment et des travaux publics,LPO LYCEE DES METIERS,LES PANNEVELLES,Public,Route DE CHALAUTRE LA PETITE, ,209,77481,PROVINS CEDEX,Provins,Parfaite,Numéro de rue,306,OUVERT,77,24,77379,Seine-et-Marne,Créteil,Public,0771336J,Lycée polyvalent les Pannevelles - Lycée des métiers du bâtiment et des travaux publics,722406.199983,6827584.50455
217,0771658J,Lycée polyvalent du Gué à Tresmes - Lycée des métiers de l'hôtellerie et restauration / des arts et design / de l'aménagement et finition du bâtiment,LPO LYCEE DES METIERS,DU GUE A TRESMES,Public,DOMAINE DU GUE A TRESMES, ,03,77440,CONGIS SUR THEROUANNE,Congis-sur-Thérouanne,MANUEL,BATIMENT,306,OUVERT,77,24,77126,Seine-et-Marne,Créteil,Public,0771658J,Lycée polyvalent du Gué à Tresmes - Lycée des métiers de l'hôtellerie et restauration / des arts et design / de l'aménagement et finition du b,697495.000002,6880066.00452
218,0751883P,Lycée technologique privé Institut clorivière,LYCEE TECHNOLOGIQUE PRIVE,INSTITUT PRIVE CLORIVIERE,Privé,119 boulevard DIDEROT, , ,75012,PARIS,Paris 12e  Arrondissement,Parfaite,Numéro de rue,301,OUVERT,75,01,75112,Paris,Paris,Privé sous contrat,0751883P,Lycée technologique privé Institut clorivière,655276.800035,6861039.10453
