objectid,commune_code,postal_code,x_coord,y_coord,adresse_ua,appellatio,denominati,etat_eta_1,libelle_de,numero_uai,secteur_pu
232,75109,75009,651010.700038,6864202.40453,68 RUE DE LA CHAUSSEE D'ANTIN,Lycée privé pour handicapés Morvan,LYCEE PRIVE POUR HANDICAPES,OUVERT,Paris,0753825A,Privé
233,75115,75015,647962.100041,6861090.00453,70 rue DU THEATRE,Ecole Active Jeannine Manuel (Lycée général privé),LYCEE GENERAL PRIVE,OUVERT,Paris,0753874D,Privé
234,75109,75009,651583.600038,6864563.70453,37 RUE DES MARTYRS,Cours Paul Verlaine (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0753878H,Privé
235,75110,75010,652173.100037,6863629.80453,2 RUE DU FAUBOURG POISSONNIERE,Lycée général privé Edgar Poe,LYCEE GENERAL PRIVE,OUVERT,Paris,0753883N,Privé
236,75110,75010,653290.600037,6863566.60453,17 RUE YVES TOUDIC,Lycée privé Bossuet-Notre-Dame,LYCEE GENERAL PRIVE,OUVERT,Paris,0753887T,Privé
237,75115,75015,647442.200041,6861035.30453,24 rue INGENIEUR ROBERT KELLER,L'Ecole (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0753911U,Privé
238,75116,75016,646813.000042,6862542.00453,31 RUE DE LA POMPE,Lycée privé Gerson,LYCEE GENERAL PRIVE,OUVERT,Paris,0753941B,Privé
239,75116,75016,645911.800042,6860995.10453,12 RUE MICHEL ANGE,Etablissement privé Notre-Dame des Oiseaux (Ecole secondaire privée),LYCEE GENERAL PRIVE,OUVERT,Paris,0753946G,Privé
240,75113,75013,652315.100037,6859094.40453,44 BOULEVARD AUGUSTE BLANQUI,Lycée polyvalent privé Le Rebours - Lycée des métiers du management et des services,LYC POLYVAL PRIVE DES METIERS,OUVERT,Paris,0754042L,Privé
241,75117,75017,648643.20004,6865070.30453,98 RUE PIERRE DEMOURS,Cours Carnot (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0754083F,Privé
242,75118,75018,653161.000037,6866033.10453,5 RUE DE LA MADONE,Lycée général et technologique privé Charles de Foucauld,LYC GEN TECH PRIVE,OUVERT,Paris,0754086J,Privé
243,75106,75006,650489.100039,6861050.20453,28 rue DE L'ABBE GREGOIRE,"Ecole privée Ferrandi, l'Ecole Française de Gastromie - Ecole de la CCI de la Région Paris-Ile de France",ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0754129F,Privé
244,75110,75010,653307.700037,6864749.10453,203 RUE LAFAYETTE,Ecole active de Coiffure (Ecole secondaire professionnelle privée),ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0754169Z,Privé
245,75106,75006,650743.500039,6860800.40453,121 boulevard Raspail,Section d'enseignement professionnel du Lycée polyvalent privé Carcado Saisseval,SECTION ENSEIGT PROFES.PRIVEE,OUVERT,Paris,0754916L,Privé
246,75113,75013,652494.900037,6858884.40453,49 rue BOBILLOT,Lycée Polyvalent Privé Notre-Dame - Saint Vincent de Paul - Lycée des Métiers de la Santé et du social,LYC POLYVAL PRIVE DES METIERS,OUVERT,Paris,0754924V,Privé
247,75117,75017,650317.000039,6866753.90453,2-6 RUE EMILE BOREL,Lycée Privé RACHI,LYCEE GEN. ET TECHNOL.PRIVE,OUVERT,Paris,0755537L,Privé
248,75118,75018,651146.300038,6865561.00453,31 rue CAULAINCOURT,Section d'enseignement professionnel privé Saint-Jean de Montmartre,SEP DU LYCEE POLYVALENT PRIVE,OUVERT,Paris,0755843U,Privé
249,75116,75016,647322.600041,6862437.60453,46 rue DE LA TOUR,Lycée Sup Santé,LYCEE,OUVERT,Paris,0755883M,Privé
262,75118,75018,653515.500036,6866240.70453,2 RUE TRISTAN TZARA,Lycée général privé Sinaï,LYCEE GENERAL PRIVE,OUVERT,Paris,0753231E,Privé
263,75107,75007,650082.200039,6862097.90453,118 rue DE GRENELLE,Lycée général privé Paul Claudel,LYCEE GENERAL PRIVE,OUVERT,Paris,0753809H,Privé
264,75119,75019,654798.900035,6864421.00453,28 RUE DU PLATEAU,Lycée général et technologique privé Les Petits Champs,LYCEE GEN.ET TECHNOL.PRIVE,OUVERT,Paris,0753815P,Privé
265,75106,75006,650895.300038,6860626.20453,61 rue NOTRE DAME DES CHAMPS,Lycée général et technologique privé Notre-Dame de Sion,LYCEE GEN.ET TECHNOL.PRIVE,OUVERT,Paris,0753842U,Privé
266,75108,75008,649973.000039,6864491.40453,47 rue de Naples,Lycée privé Fénelon Sainte-Marie La Plaine Monceau,LYCEE GENERAL PRIVE,OUVERT,Paris,0753873C,Privé
267,75113,75013,651651.900038,6859424.00453,63 RUE DE LA SANTE,Lycée général privé Notre-Dame de France,LYCEE GENERAL PRIVE,OUVERT,Paris,0753902J,Privé
268,75116,75016,646611.400042,6863248.20453,33 BOULEVARD LANNES,Lycée privé Pascal,LYCEE GENERAL PRIVE,OUVERT,Paris,0753919C,Privé
269,75116,75016,647091.000041,6862634.20453,86 RUE DE LA TOUR,Institut La Tour (Ecole secondaire privée),LYCEE GENERAL PRIVE,OUVERT,Paris,0753943D,Privé
270,75108,75008,649832.100039,6864780.10453,9 BOULEVARD DE COURCELLES,Lycée technologique privé La Plaine Monceau,LYCEE TECHNOLOGIQUE PRIVE,OUVERT,Paris,0754037F,Privé
271,75109,75009,651993.000038,6864047.60453,28 rue DE TREVISE,Institut européen de Coiffure,ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0754163T,Privé
272,75108,75008,649533.100039,6863918.50453,64 RUE DE LA BOÉTIE,Ecole privée Marbeuf Esthétique Elysées,ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0754242D,Privé
273,75110,75010,652579.600037,6864517.90453,105 boulevard DE MAGENTA,Ecole professionnelle privée Coiffure Formul'ABC-Paris,ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0754465W,Privé
274,75107,75007,650043.400039,6861436.40453,52 RUE VANEAU,Cours Thérèse Chappuis (Ecole secondaire privée),LYCEE GENERAL PRIVE,OUVERT,Paris,0754860A,Privé
275,75113,75013,652315.100037,6859094.40453,44 BOULEVARD AUGUSTE BLANQUI,Section d'enseignement professionnel du Lycée polyvalent privé Le Rebours,SECTION ENSEIGT PROFES.PRIVEE,OUVERT,Paris,0754919P,Privé
320,75104,75004,653354.300036,6861610.80453,25 rue du Petit Musc,Ecole générale et technologique privée Cours Legendre,ECOLE GEN.ET TECHNOL.PRIVEE,OUVERT,Paris,0755261L,Privé
364,75118,75018,650717.900039,6865388.60453,14 rue Cavallotti,Cours privé Saint-John Perse (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0753109X,Privé
413,75115,75015,647950.400041,6860468.00453,17 avenue Félix Faure,L'Enseignement par petits groupes (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0750026W,Privé
414,75113,75013,653854.300036,6859169.40453,24 RUE CHARCOT,Geoffroy Saint-Hilaire (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0752456M,Privé
415,75102,75002,652202.500037,6863183.50453,81 RUE REAUMUR,Cours René Réaumur (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0753818T,Privé
416,75115,75015,649233.50004,6859439.70453,50 rue CASTAGNARY,ECOLE 2D DEGRE GENERAL PRIVEE GEORGES GUSDORF,ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0755589T,Privé
417,75113,75013,654069.000036,6857894.80453,8 rue André Voguet,Lycée Méo High School,ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0755855G,Privé
418,75113,75013,653953.300036,6859078.90453,17 rue de Domrémy,Lycée privé Merkaz Beth Myriam,LYCEE,OUVERT,Paris,0755892X,Privé
419,75116,75016,645612.900043,6860669.50453,83 boulevard Exelmans,Lycée privé MCCAXES,LYCEE PRIVE,OUVERT,Paris,0755896B,Privé
424,75118,75018,653705.600036,6866839.20453,6 rue CHARLES HERMITE,Lycée professionnel Mécanique automobile Camille Jenatzy,LYCEE PROFESSIONNEL,OUVERT,Paris,0750419Y,Public
425,75105,75005,651726.300038,6861041.10453,12 rue VICTOR COUSIN,Lycée polyvalent Jacques MONOD - Lycée des métiers des carrières sanitaires et sociales,LPO LYCEE DES METIERS,OUVERT,Paris,0750428H,Public
426,75112,75012,655344.400035,6860917.50453,9 rue PIERRE BOURDAN,Section d'enseignement professionnelle du lycee polyvalent Boulle,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0750523L,Public
427,75111,75011,654141.400036,6861794.80453,19 rue DES TAILLANDIERS,Lycée polyvalent Paul Poiret,LYCEE POLYVALENT,OUVERT,Paris,0750558Z,Public
428,75104,75004,652907.000037,6861838.20453,9 rue DE JOUY,Lycée général et technologique Sophie Germain,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750653C,Public
429,75109,75009,652260.700037,6864457.70453,121 RUE DU FG POISSONNIERE,Lycée général Lamartine,LYCEE GENERAL,OUVERT,Paris,0750670W,Public
430,75112,75012,655551.500035,6861046.70453,4 place DE LA NATION,Lycée général et technologique Arago,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750680G,Public
431,75114,75014,650738.500039,6860297.30453,7 rue HUYGHENS,Lycée général Paul Bert,LYCEE GENERAL,OUVERT,Paris,0750689S,Public
432,75114,75014,651320.200038,6859284.30453,14 RUE EMILE DUBOIS,Lycée général et technologique Emile Dubois,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750692V,Public
433,75115,75015,649485.60004,6860599.10453,16 boulevard Pasteur,Lycée général Buffon,LYCEE GENERAL,OUVERT,Paris,0750693W,Public
434,75115,75015,649558.900039,6860584.00453,31 boulevard Pasteur,Lycée polyvalent Fresnel - Lycée des métiers de l'optique,LPO LYCEE DES METIERS,OUVERT,Paris,0750695Y,Public
435,75119,75019,647998.000041,6859979.20453,7 rue Clavel,Lycée Technologique Bâtiment-Saint Lambert,LYCEE TECHNOLOGIQUE,OUVERT,Paris,0750697A,Public
436,75117,75017,650168.800039,6866553.20453,70 boulevard BESSIERES,Lycée technologique Ecole Nationale de Commerce,LYCEE TECHNOLOGIQUE,OUVERT,Paris,0750707L,Public
437,75118,75018,650732.100039,6865417.30453,24 rue GANNERON,Lycée technologique Auguste Renoir - Lycée des métiers de la photographie et de l'image,LT LYCEE DES METIERS,OUVERT,Paris,0750710P,Public
438,75119,75019,655694.800035,6864779.90453,61 rue DAVID D'ANGERS,Lycée polyvalent Diderot,LYCEE POLYVALENT,OUVERT,Paris,0750712S,Public
439,75110,75010,653324.500037,6864029.10453,114 QUAI DE JEMMAPES,Lycée professionnel Marie Laurencin - Lycée des métiers de la mode,LP LYCEE DES METIERS,OUVERT,Paris,0750776L,Public
440,75113,75013,654125.600036,6858543.60453,28 RUE DE PATAY,Lycée professionnel Galilée,LYCEE PROFESSIONNEL,OUVERT,Paris,0750785W,Public
441,75113,75013,652201.900037,6859122.20453,61 rue CORVISART,Lycée professionnel Corvisart-Arts Graphiques,LYCEE PROFESSIONNEL,OUVERT,Paris,0750787Y,Public
442,75115,75015,648504.90004,6860686.00453,8 rue QUINAULT,Lycée professionnel Brassai - Lycée des métiers de la photographie et de l'image,LP LYCEE DES METIERS,OUVERT,Paris,0750794F,Public
443,75118,75018,653259.400037,6866037.60453,15 RUE DE L'EVANGILE,Lycée professionnel Edmond Rostand,LYCEE PROFESSIONNEL,OUVERT,Paris,0750800M,Public
444,75119,75019,653993.800036,6865998.30453,19 RUE CURIAL,"Lycée professionnel Hector Guimard - Lycée des métiers du batiment, de l'artisanat et du patrimoine bâti",LP LYCEE DES METIERS,OUVERT,Paris,0750802P,Public
445,75117,75017,650694.600039,6866299.20453,19 RUE MARIA DERAISMES,Lycée professionnel Maria Deraismes,LYCEE PROFESSIONNEL,OUVERT,Paris,0753350J,Public
446,75115,75015,648780.80004,6860040.80453,20 rue BOURSEUL,Lycée polyvalent Léonard de Vinci - Lycée des métiers du bois,LPO LYCEE DES METIERS,OUVERT,Paris,0754475G,Public
447,75114,75014,650887.200038,6860059.70453,237 boulevard Raspail,Lycée polyvalent Guillaume Tirel - Lycée des métiers de l' hotellerie,LPO LYCEE DES METIERS,OUVERT,Paris,0754476H,Public
448,75105,75005,651776.200038,6860365.50453,4 rue DES FEUILLANTINES,Section d'enseignement professionnel du Lycée polyvalent Lucas de Nehou,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754875S,Public
449,75111,75011,655408.700035,6861758.00453,74 avenue PHILIPPE AUGUSTE,Section d'enseignement professionnel du Lycée polyvalent Dorian,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754878V,Public
450,75113,75013,652529.000037,6859550.70453,48 avenue DES GOBELINS,Lycée expérimental La Ville Pour Ecole,LYCÉE EXPERIMENTAL,OUVERT,Paris,0755182A,Public
567,75109,75009,651252.600038,6864201.50453,64 BIS RUE TAITBOUT,Cours privé Clapeyron,ECOLE GEN.ET TECHNOL.PRIVEE,OUVERT,Paris,0752382G,Privé
568,75106,75006,650456.000039,6861352.40453,1 RUE DUPIN,Cours Montaigne (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0753845X,Privé
569,75107,75007,648851.10004,6862005.10453,87 AVENUE DE LA BOURDONNAIS,Ecole du Champ de Mars (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0753857K,Privé
570,75105,75005,651441.500038,6860366.60453,21 RUE DU VAL DE GRACE,ECOLE 2D DEGRE GENERAL PRIVEE COURS DIAGONALE,ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0755367B,Privé
571,75119,75019,654640.200035,6865432.50453,6 rue Léon Giraud,Lycée privé Ecole Démocratique de Paris,LYCEE,OUVERT,Paris,0755880J,Privé
573,75105,75005,652012.600038,6860747.80453,16 bis rue DE L'ESTRAPADE,Prépasup (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0753146M,Privé
609,75120,75020,656418.200034,6864124.30453,247 avenue Gambetta,Ecole technologique privée CCIP Centre des Formations Industrielles,ECOLE TECHNOLOGIQUE PRIVEE,OUVERT,Paris,0750106H,Privé
610,75113,75013,653983.600036,6858850.50453,95 rue du Dessous des Berges,Lycée technologique privé Ecole Technique Supérieure du Laboratoire,LYCEE TECHNOLOGIQUE PRIVE,OUVERT,Paris,0750330B,Privé
611,75103,75003,652948.400037,6863092.00453,69 rue de Turbigo,Lycée général et technologique Turgot,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750647W,Public
612,75107,75007,649058.30004,6862375.20453,90 bis rue Saint Dominique,Lycée général privé La Rochefoucauld,LYCEE GENERAL PRIVE,OUVERT,Paris,0753851D,Privé
613,75107,75007,648369.30004,6862443.40453,10 AVENUE DE LA BOURDONNAIS,Cours Fidès (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0753859M,Privé
614,75108,75008,650530.100039,6864476.00453,52 rue DE LONDRES,Lycée général privé Cours Hattemer,LYCEE GENERAL PRIVEE,OUVERT,Paris,0753870Z,Privé
615,75109,75009,651333.600038,6863739.50453,64 bis rue TAITBOUT,Cours Socrate (Ecole secondaire privée),ECOLE GEN.ET TECHNOL. PRIVEE,OUVERT,Paris,0753894A,Privé
650,75116,75016,645977.100042,6860455.40453,70 RUE CHARDON LAGACHE,ECOLE 2D DEGRE GENERAL PRIVEE ECOLE PRIVEE AKIBA,ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0755278E,Privé
651,75109,75009,652256.400037,6864391.10453,113 rue DU FG POISSONNIERE,ECOLE 2D DEGRE PROF.PRIVEE SAINT-LOUIS UNION ACADEMIE,ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0751593Z,Privé
690,75104,75004,653463.000036,6861687.40453,21 RUE SAINT ANTOINE,Lycée général et technologique privé Les Francs Bourgeois,LYCEE GEN.ET TECHNOL.PRIVE,OUVERT,Paris,0753820V,Privé
691,75105,75005,652750.500037,6860276.30453,32 RUE GEOFFROY SAINT HILAIRE,Lycée général privé Louise de Marillac,LYCEE GENERAL PRIVE,OUVERT,Paris,0753827C,Privé
692,75107,75007,649705.400039,6861033.60453,8 RUE MAURICE DE LA SIZERANNE,Lycée général et technologique privé Sainte Jeanne Elisabeth,LYCEE GEN.ET TECHNOL.PRIVE,OUVERT,Paris,0753852E,Privé
693,75112,75012,654196.400036,6861256.00453,13 RUE DE PRAGUE,Ensemble scolaire Eugène Napoléon - Saint Pierre Fourier,LYCEE GENERAL PRIVE,OUVERT,Paris,0753898E,Privé
694,75112,75012,656909.400034,6860430.10453,30 boulevard Carnot,Lycée général privé Georges Leven,LYCEE GENERAL PRIVE,OUVERT,Paris,0753935V,Privé
695,75116,75016,648231.000041,6863214.70453,6 RUE DE LUBECK,Institut de l'Assomption (Ecole secondaire privée),LYCEE GENERAL PRIVE,OUVERT,Paris,0753948J,Privé
696,75107,75007,650078.500039,6861290.50453,2 RUE D'OLIVET,Lycée polyvalent privé Albert de Mun,LYCEE POLYVALENT PRIVE,OUVERT,Paris,0754030Y,Privé
697,75114,75014,650570.200039,6859541.20453,29 RUE GASSENDI,Lycée polyvalent privé Catherine Labouré,LYCEE POLYVALENT PRIVE,OUVERT,Paris,0754045P,Privé
698,75111,75011,654861.000035,6862551.30453,29 rue MERLIN,Lycée privé pour handicapés Votre Ecole chez vous,LYCEE PRIVE POUR HANDICAPES,OUVERT,Paris,0754089M,Privé
699,75111,75011,655103.800035,6861336.00453,45 RUE DE MONTREUIL,Ecole privée internationale de Coiffure,ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0754108H,Privé
700,75118,75018,653189.800037,6866670.00453,27 boulevard NEY,Centre Marcel Lamy Coiffure-Esthétique (Ecole secondaire professionnelle privée),ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0754168Y,Privé
701,75113,75013,652494.900037,6858884.40453,49 rue Bobillot,Section d'enseignement professionnel privé Notre-Dame Saint Vincent de Paul,SEP DU LYCEE POLYVALENT PRIVE,OUVERT,Paris,0754191Y,Privé
702,75119,75019,654929.400035,6865223.90453,49 RUE PETIT,Lycée général privé Beth Hanna,LYCEE GENERAL PRIVE,OUVERT,Paris,0754325U,Privé
703,75111,75011,654373.900036,6863534.10453,34 RUE DU MOULIN JOLY,Lycée général privé Ozar Hatorah,LYCEE GENERAL PRIVE,OUVERT,Paris,0754479L,Privé
704,75119,75019,653976.700036,6864256.80453,3 RUE HENRI TUROT,Ecole Yéchiva Chaaré Thora (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0754676A,Privé
705,75115,75015,648848.90004,6859921.50453,44 rue LA QUINTINIE,Ecole Professionnelle privée Pigier Creation,ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0755544U,Privé
706,75108,75008,650530.100039,6864476.00453,52 RUE DE LONDRES,Lycée technologique privé Cours Hattemer,LYCEE TECHNOLOGIQUE PRIVEE,OUVERT,Paris,0755690C,Privé
733,75111,75011,648186.700041,6865222.20453,2 bis rue Mercoeur,Institut des Relations Internationales et Stratégiques Superieur,ECOLE PRIVE D'ENS TECHNIQUE,OUVERT,Paris,0755748R,Privé
734,75114,75014,651140.000038,6858663.40453,36 rue DES ARTISTES,Ecole Dynamique (Lycée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0755838N,Privé
765,75119,75019,654556.000036,6866416.70453,11 rue DE CAMBRAI,Ecole privée pigier,ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0751698N,Privé
766,75108,75008,648490.70004,6863784.30453,27 rue VERNET,Ecole privée Françoise Morice Esthétique-Cosmétique,ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0752124B,Privé
767,75119,75019,654111.900036,6864966.40453,14 rue LALLY TOLLENDAL,Ecole technologique privée Métiers de la création-La Ruche,ECOLE TECHNOLOGIQUE PRIVEE,OUVERT,Paris,0752877V,Privé
768,75117,75017,647924.100041,6864346.80453,9 RUE VILLARET DE JOYEUSE,Ecole Internationale Bilingue section étoile,LYCEE GENERAL PRIVE,OUVERT,Paris,0752937K,Privé
769,75117,75017,648735.20004,6865246.90453,63 rue Ampère,Ecole des Techniciens Supérieurs (Ecole secondaire professionnelle privée),LYCEE PROFESSIONNEL PRIVE,OUVERT,Paris,0753082T,Privé
770,75120,75020,655712.000035,6861953.90453,56 RUE PLANCHAT,Ecole Supérieure Technique de Biologie Appliquée,LYCEE TECHNOLOGIQUE PRIVE,OUVERT,Paris,0753537M,Privé
771,75106,75006,650661.000039,6860839.50453,22 RUE NOTRE DAME DES CHAMPS,Enseignement privé Stanislas (Ecole secondaire privée),LYCEE GENERAL PRIVE,OUVERT,Paris,0753840S,Privé
772,75112,75012,655708.000035,6860421.00453,53 RUE DE LA GARE DE REUILLY,Lycée général privé Saint Michel de Picpus,LYCEE GENERAL PRIVE,OUVERT,Paris,0753897D,Privé
773,75115,75015,647609.100041,6860550.20453,112 rue DE LOURMEL,Lycée général privé Sainte Elisabeth,LYCEE GENERAL PRIVE,OUVERT,Paris,0753916Z,Privé
774,75117,75017,650598.000039,6865729.20453,35 AVENUE DE SAINT OUEN,Lycée privé Saint Michel des Batignolles,LYCEE GENERAL PRIVE,OUVERT,Paris,0753959W,Privé
775,75119,75019,654134.100036,6864788.60453,24 RUE BOURET,Lycée polyvalent privé L'Initiative,LYCEE POLYVALENT PRIVE,OUVERT,Paris,0754016H,Privé
776,75106,75006,650743.500039,6860800.40453,121 boulevard Raspail,"Lycée polyvalent privé Carcado Saisseval - Lycée des métiers du management du commerce, des services et soins à la personne",LYC POLYVAL PRIVE DES METIERS,OUVERT,Paris,0754029X,Privé
777,75102,75002,651852.500038,6863098.90453,58 rue DU LOUVRE,Ecole privée de Bijouterie-Joaillerie,ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0754112M,Privé
778,75120,75020,655568.000035,6863603.30453,3 rue DE L'EST,Ecole dentaire française (Ecole secondaire professionnelle privée),ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0754114P,Privé
779,75118,75018,651146.300038,6865561.00453,31 rue CAULAINCOURT,Lycée polyvalent privé Saint Jean de Montmartre - Lycée des métiers privé de la vente et du commerce,LYC POLYVAL PRIVE DES METIERS,OUVERT,Paris,0754239A,Privé
780,75102,75002,650862.000038,6863506.70453,9 rue VOLNEY,Centre d'Enseignement de Soins Esthétiques (Ecole secondaire professionnelle privée),ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0754338H,Privé
828,75114,75014,650570.200039,6859541.20453,29 RUE GASSENDI,Section d'enseignement professionnel du Lycée polyvalent privé Catherine Labouré,SECTION ENSEIGT PROFES.PRIVEE,OUVERT,Paris,0754920R,Privé
829,75116,75016,646798.400042,6861656.10453,40 RUE LA FONTAINE,Section d'enseignement professionnel du Lycée polyvalent privé Sainte Thérèse,SECTION ENSEIGT PROFES.PRIVEE,OUVERT,Paris,0754921S,Privé
830,75119,75019,654134.100036,6864788.60453,24 RUE BOURET,Section d'enseignement professionnel du Lycée polyvalent privé L'Initiative,SECTION ENSEIGT PROFES.PRIVEE,OUVERT,Paris,0754923U,Privé
831,75119,75019,654281.600036,6864584.90453,70 AVENUE SECRETAN,Lycée général et technologique privé Lucien de Hirsh,LYCEE GEN.ET TECHNOL.PRIVE,OUVERT,Paris,0754965P,Privé
832,75114,75014,649382.00004,6859321.40453,167 rue VERCINGETORIX,Institut Point com,ECOLE PRIVE D'ENS TECHNIQUE,OUVERT,Paris,0755084U,Privé
833,75119,75019,653976.700036,6864256.80453,3 RUE HENRI TUROT,lycée general privé N'R Hatorah,LYCEE GENERAL PRIVE,OUVERT,Paris,0755352K,Privé
834,75114,75014,651365.900038,6859253.00453,5 rue EMILE DUBOIS,Cours privé Alfred de Musset,ECOLE TECHNOLOGIQUE PRIVEE,OUVERT,Paris,0755491L,Privé
835,75115,75015,648393.20004,6861248.30453,116 boulevard DE GRENELLE,Cours Technique Privee Akiba,ECOLE TECHNOLOGIQUE PRIVEE,OUVERT,Paris,0755602G,Privé
876,75116,75016,647705.900041,6862304.60453,6 RUE BEETHOVEN,International School of Paris (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0752803P,Privé
