adresse_complete,latitude,longitude,coordinates,categorie_de_l_etablissement,complement_adresse,cp_ville,num_cat,num_fax,num_tel,participant_service_public_hospitalier,raison_sociale,raison_sociale_entite_juridique,type_etablissement
8 R JEAN-DOLLFUS,48.8966443,2.3334914,"48.8966443,2.3334914",Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.),,75018 PARIS,425,142281618,142288363,Etablissement public de santé,CMP ADULTES JEAN-DOLLFUS,CENTRE MEDICO-PSYCHOLOGIQUE MAISON BLANCHE 75 G 22,Autres Etablissements de Lutte contre les Maladies Mentales
26 R D'ULM,48.8435418,2.3447836,"48.8435418,2.3447836",Centre de Lutte Contre Cancer,,75005 PARIS,131,143290203,144324000,Etablissement de santé privé d’intérêt collectif,INSTITUT CURIE,SECTION MEDICALE ET HOSPITALIERE DE L'INSTITUT CURIE,Centres de Lutte contre le Cancer
1 AV CLAUDE VELLEFAUX,48.872706,2.3696898,"48.872706,2.3696898",Centre Hospitalier Régional (C.H.R.),,75475 PARIS CEDEX 10,101,142499954,142494949,Etablissement public de santé,HOPITAL SAINT-LOUIS (AP-HP),HOPITAL SAINT-LOUIS (A.P.- H.P.),Centres Hospitaliers Régionaux
15 R EUGENE MILLON,48.8377714,2.2928287,"48.8377714,2.2928287",Etablissement Réadaptation Fonctionnelle,,75015 PARIS,135,140447873,145308500,Etablissement de santé privé d’intérêt collectif,HOPITAL PRIVE COGNACQ-JAY,HOPITAL PRIVE COGNACQ-JAY,Etablissements de Soins de Suite et de Réadaptation
40 VOI ORDONER,48.89215,2.3444472,"48.89215,2.3444472",Centre Médico-Psychologique (C.M.P.),,75018 PARIS,156,142555686,142598340,Etablissement public de santé,CMP CATTP ORDENER,,Autres Etablissements de Lutte contre les Maladies Mentales
5 R SAINT DENIS,48.8587662,2.3474434,"48.8587662,2.3474434",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75001 PARIS,292,,,Etablissement public de santé,CENTRE CHATELET,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
14 R BRANTOME,48.862438,2.353097,"48.862438,2.353097",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75003 PARIS,292,140290114,142771580,Etablissement public de santé,CENTRE DE L'HORLOGE,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
4 R CHARLES LAUTH,48.8989806,2.3683833,"48.8989806,2.3683833",Centre Hospitalier Spécialisé lutte Maladies Mentales,LA POMME,75018 PARIS,292,140372986,140375099,Etablissement public de santé,UHME LA POMME,CENTRE PEDO-PSYCHIATRIQUE EPS MAISON BLANCHE SECTEUR 3 ET 11,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
184 R DU FAUBOURG SAINT ANTOINE,48.850251,2.3829799,"48.850251,2.3829799",Centre Hospitalier Régional (C.H.R.),,75571 PARIS CEDEX 12,101,149282084,149282000,Etablissement public de santé,HOPITAL SAINT-ANTOINE (AP-HP),HOPITAL SAINT-ANTOINE (AP-HP),Centres Hospitaliers Régionaux
6 R JACQUEMONT,48.8883323,2.3232148,"48.8883323,2.3232148",Etablissement de Soins Chirurgicaux,,75017 PARIS,128,142633425,153061818,Non concerné,CLINIQUE CHIRURGICALE DAUTANCOURT,CLINIQUE CHIRURGICALE DAUTANCOURT,Etablissements de Soins de Courte Durée
