adresse_complete,latitude,longitude,coordinates,categorie_de_l_etablissement,complement_adresse,cp_ville,num_cat,num_fax,num_tel,participant_service_public_hospitalier,raison_sociale,raison_sociale_entite_juridique,type_etablissement
12 R HOSPITALIÈRES ST-GERVAIS,48.8580864,2.3590526,"48.8580864,2.3590526",Atelier Thérapeutique,,75004 PARIS,366,148873996,148870422,Etablissement public de santé,ATELIER THERAPEUTIQUE HUBERT MIGNOT,ATELIER THERAPEUTIQUE HUBERT MIGNOT - CHS MAISON BLANCHE,Autres Etablissements de Lutte contre les Maladies Mentales
30 R DE MOGADOR,48.8756527,2.331333,"48.8756527,2.331333",Maison de Santé pour Maladies Mentales,,75009 PARIS,161,142819014,142851370,Etablissement de santé privé d’intérêt collectif,CENTRE MOGADOR,HOPITAL DE JOUR CENTRE MOGADOR,Autres Etablissements de Lutte contre les Maladies Mentales
36 R DE TURBIGO,48.864668,2.3530148,"48.864668,2.3530148",Centre Médico-Psychologique (C.M.P.),,75003 PARIS,156,140270379,142723910,Etablissement public de santé,CMP ADULTES TURBIGO,CENTRE MEDICO-PSYCHOLOGIQUE - MAISON BLANCHE SECTEUR 2 ET 24,Autres Etablissements de Lutte contre les Maladies Mentales
35 BD SAINT-MARCEL,48.83871,2.3578001,"48.83871,2.3578001",Etablissement Réadaptation Fonctionnelle,,75013 PARIS,135,143360967,144080844,Etablissement de santé privé d’intérêt collectif,HOPITAL DES GARDIENS DE LA PAIX,,Etablissements de Soins de Suite et de Réadaptation
16 R EUGENIE EBOUE,48.8457171,2.3866238,"48.8457171,2.3866238",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75012 PARIS,292,144755181,143465036,Etablissement public de santé,CENTRE ADULTE EUGENIE EBOUE,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
5 R SANTERRE,48.8434977,2.4013272,"48.8434977,2.4013272",Centre Hospitalier Régional (C.H.R.),,75006 PARIS,101,,143259323,Etablissement public de santé,CLINIQUE DENTAIRE GARANCIERE (AP-HP),CLINIQUE DENTAIRE GARANCIERE A.P.-H.P.,Centres Hospitaliers Régionaux
26 AV DU DR ARNOLD NETTER,48.8408083,2.3881833,"48.8408083,2.3881833",Centre Hospitalier Régional (C.H.R.),,75571 PARIS CEDEX 12,101,144736238,144737475,Etablissement public de santé,GPE HOSP ARMAND TROUSSEAU-ROCHE GUYON,GPE HOSP ARMAND TROUSSEAU-ROCHE GUYON-GPT HOSP UNIVERSIT.EST,Centres Hospitaliers Régionaux
26 BD BRUNE,48.8270097,2.3077751,"48.8270097,2.3077751",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75014 PARIS,292,,,Etablissement public de santé,HOPITAL DE JOUR - BRUNE,HOPITAL DE JOUR PSYCHIATRIE INFANTO-JUVENILE SITE BRUNE,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
149 R DE SEVRES,48.8463516,2.3154638,"48.8463516,2.3154638",Centre Hospitalier Régional (C.H.R.),,75743 PARIS CEDEX 15,101,144494115,144494000,Etablissement public de santé,HOPITAL NECKER ENFANTS MALADES (AP-HP),GROUPE HOSP. NECKER-ENFANTS MALADES-LAENNEC-VAUGIRARD AP-HP,Centres Hospitaliers Régionaux
10 R DU GENERAL LASSALLE,48.88235,2.3818222,"48.88235,2.3818222",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75019 PARIS,292,,,Etablissement public de santé,UNITE HOSP LASALLE MAISON BLANCHE,UNITE HOSPITALISATION LASALLE MAISON BLANCHE,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
10 R WURTZ,48.8273142,2.3450518,"48.8273142,2.3450518",Maison de Santé pour Maladies Mentales,,75013 PARIS,161,153622479,153622500,Etablissement de santé privé d’intérêt collectif,POLYCLINIQUE PSYCHIATRIQUE WÜRTZ,,Autres Etablissements de Lutte contre les Maladies Mentales
21 R DE REMUSAT,48.8479117,2.2714179,"48.8479117,2.2714179",Etablissement de Soins Chirurgicaux,,75016 PARIS,128,140508829,144141111,Non concerné,CLINIQUE REMUSAT,,Etablissements de Soins de Courte Durée
115 R DE LA SANTE,48.8288102,2.3415387,"48.8288102,2.3415387",Maison de Santé pour Maladies Mentales,,75013 PARIS,161,140788085,140788080,Non concerné,CLINIQUE VILLA MONTSOURIS,,Autres Etablissements de Lutte contre les Maladies Mentales
7 R DU FER A MOULIN,48.8392397,2.3554403,"48.8392397,2.3554403",Centre Hospitalier Régional (C.H.R.),,75005 PARIS,101,146691519,146691313,Etablissement public de santé,AGEPS (AP-HP),AGENCE CENTRALE DES EQUIPEMENTS ET DES PRODUITS DE SANTE,Centres Hospitaliers Régionaux
20 R BELLIER-DEDOUVRE,48.824971,2.3506495,"48.824971,2.3506495",Maison de Santé pour Maladies Mentales,,75013 PARIS,161,140794991,140794990,Etablissement de santé privé d’intérêt collectif,CTRE FAM ACTION THERAP 75I05,,Autres Etablissements de Lutte contre les Maladies Mentales
14 R DE THIONVILLE,48.8885843,2.3822703,"48.8885843,2.3822703",Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.),,75019 PARIS,425,,142000453,Etablissement public de santé,CATTP LA COMETE,CATTP LA COMETE,Autres Etablissements de Lutte contre les Maladies Mentales
3 R OMER TALON,48.8613915,2.3834354,"48.8613915,2.3834354",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75011 PARIS,292,147008905,143381615,Etablissement public de santé,CENTRE OMER TALON,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
27 R DU FAUBOURG SAINT JACQUES,48.8387561,2.339631,"48.8387561,2.339631",Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.),,75014 PARIS,425,,158412424,,CATTP LA MAISON DES ADOLESCENTS,,Autres Etablissements de Lutte contre les Maladies Mentales
74 R PETIT,48.8857267,2.3879473,"48.8857267,2.3879473",Etablissement de Convalescence et de Repos,,75019 PARIS,108,155560102,155560102,Non concerné,KORIAN CANAL DE L'OURCQ,,Etablissements de Soins de Suite et de Réadaptation
9 R DU TELEGRAPHE,48.8717488,2.3998439,"48.8717488,2.3998439",Centre Médico-Psychologique (C.M.P.),,75020 PARIS,156,140304061,140305519,Etablissement public de santé,CMP ADULTES TELEGRAPHE,CENTRE MEDICO-PSYCHOLOGIQUE - EPS MAISON BLANCHE SECTEUR 28,Autres Etablissements de Lutte contre les Maladies Mentales
31B R DE LIEGE,48.8794624,2.3260074,"48.8794624,2.3260074",Maison de Santé pour Maladies Mentales,,75008 PARIS,161,,143876051,Etablissement de santé privé d’intérêt collectif,UNITE ACCUEIL ET PSYCHOTHERAPIE FAMIL,UNITE D'ACCUEIL ET DE PSYCHOTHERAPIE FAMILIALE,Autres Etablissements de Lutte contre les Maladies Mentales
47 BD DE L'HOPITAL,48.8386062,2.3608109,"48.8386062,2.3608109",Centre Hospitalier Régional (C.H.R.),,75013 PARIS,101,142176006,142160000,Etablissement public de santé,HOPITAL LA PITIE SALPETRIERE,GROUPE HOSPITALIER LA PITIE-SALPETRIERE CHARLES FOIX,Centres Hospitaliers Régionaux
6 R DE L'ASILE POPINCOURT,48.8596911,2.3741563,"48.8596911,2.3741563",Centre Médico-Psychologique (C.M.P.),,75011 PARIS,156,142783244,142781987,Etablissement de santé privé d’intérêt collectif,CENTRE POPINCOURT,CENTRE MÉDICO PSYCHOLOGIQUE ADULTES RECHERCHE ET RENCONTRES,Autres Etablissements de Lutte contre les Maladies Mentales
11 R TISSERAND,48.8406532,2.2842274,"48.8406532,2.2842274",Centre Médico-Psychologique (C.M.P.),,75015 PARIS,156,145584241,144250501,Etablissement public de santé,CENTRE TISSERAND,,Autres Etablissements de Lutte contre les Maladies Mentales
45 R LA TOUR D'AUVERGNE,48.8797379,2.3409384,"48.8797379,2.3409384",Centre Hospitalier Régional (C.H.R.),,75009 PARIS,101,,142347925,Etablissement public de santé,CLINIQUE DENTAIRE J.DELIBERO (AP-HP),CLINIQUE DENTAIRE JEAN DELIBERO,Centres Hospitaliers Régionaux
25 R SERVAN,48.8603525,2.3833278,"48.8603525,2.3833278",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75011 PARIS,292,143797418,143798144,Etablissement public de santé,CENTRE LOUIS LE GUILLANT,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
44 QUA DE LA LOIRE,48.8853883,2.3751111,"48.8853883,2.3751111",Maison de Santé pour Maladies Mentales,,75019 PARIS,161,142028747,142021919,"Etab de santé privé non lucratif, non déclar intérêt collect",HOPITAL DE JOUR GEORGES VACOLA,HOPITAL DE JOUR GEORGES VACOLA - ANPEDA,Autres Etablissements de Lutte contre les Maladies Mentales
20 R LEBLANC,48.839737,2.2728302,"48.839737,2.2728302",Centre Hospitalier Régional (C.H.R.),,75908 PARIS CEDEX 15,101,156092118,156092000,Etablissement public de santé,HOP EUROPEEN GEORGES POMPIDOU HEGP,GPE HOSP BROUSSAIS-HEGP-GH UNIVERSITAIRE PARIS OUEST,Centres Hospitaliers Régionaux
152 AV DE WAGRAM,48.8865064,2.304545,"48.8865064,2.304545",Maison de Santé pour Maladies Mentales,,75017 PARIS,161,140539685,143187300,Etablissement de santé privé d’intérêt collectif,HOPITAL DE JOUR MGEN-WAGRAM,HOPITAL DE JOUR DE LA MUTUELLE GENERALE EDUCATION NATIONALE,Autres Etablissements de Lutte contre les Maladies Mentales
14 R DES TOURELLES,48.874762,2.4047613,"48.874762,2.4047613",Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.),,75020 PARIS,425,143614734,140300298,Etablissement public de santé,CATTP ADULTES GAMBETTA,CENTRE D'ACCUEIL THÉRAPEUTIQUE À TEMPS PARTIEL,Autres Etablissements de Lutte contre les Maladies Mentales
19 R OUDINOT,48.8500847,2.317552,"48.8500847,2.317552",Etablissement de Soins Chirurgicaux,,75007 PARIS,128,140611126,140611100,"Etab de santé privé non lucratif, non déclar intérêt collect",CLINIQUE OUDINOT-FOND ST JEAN DE DIEU,CLINIQUE OUDINOT - FONDATION SAINT JEAN DE DIEU,Etablissements de Soins de Courte Durée
12 VLA COMPOINT,48.8918435,2.3242908,"48.8918435,2.3242908",Centre Médico-Psychologique (C.M.P.),,75017 PARIS,156,142634400,153063043,"Etab de santé privé non lucratif, non déclar intérêt collect",CMP ADULTES DE L'UNAFAM,CENTRE MEDICO PSYCHOLOGIQUE DE L'UNAFAM (75/G/26),Autres Etablissements de Lutte contre les Maladies Mentales
46 R NICOLO,48.8603562,2.2777603,"48.8603562,2.2777603",Etablissement de Soins Pluridisciplinaire,,75116 PARIS,365,140726550,140723333,Non concerné,CLINIQUE DE LA MUETTE,,Etablissements de Soins de Courte Durée
23 R TIPHAINE,48.8488179,2.2964935,"48.8488179,2.2964935",Centre Médico-Psychologique (C.M.P.),,75015 PARIS,156,,145754702,Etablissement public de santé,CMP ENFANTS TIPHAINE (NECKER),CENTRE MEDICO PSYCHOLOGIQUE TIPHAINE - NECKER 75/I/07,Autres Etablissements de Lutte contre les Maladies Mentales
8 R LANNEAU,48.8483432,2.3466214,"48.8483432,2.3466214",Maison de Santé pour Maladies Mentales,,75005 PARIS,161,144411939,144411930,"Etab de santé privé non lucratif, non déclar intérêt collect",CENTRE RENE CAPITANT,,Autres Etablissements de Lutte contre les Maladies Mentales
56 R DU FBG POISSONNIÈRE,48.8749754,2.3481136,"48.8749754,2.3481136",Maison de Santé pour Maladies Mentales,,75010 PARIS,161,145230492,142460860,"Etab de santé privé non lucratif, non déclar intérêt collect",HOPITAL DE JOUR BOULLOCHE CEREP,HJ DU CENTRE DE READAPTATION PSYCHOTHERAPIQUE,Autres Etablissements de Lutte contre les Maladies Mentales
63 R DE LA ROQUETTE,48.8558373,2.3752069,"48.8558373,2.3752069",Centre Crise Accueil Permanent,,75011 PARIS,444,,,Etablissement public de santé,CENTRE DE CRISE ROQUETTE,,Autres Etablissements de Lutte contre les Maladies Mentales
29 R VIALA,48.8500712,2.289451,"48.8500712,2.289451",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75015 PARIS,292,145771047,145771051,Etablissement public de santé,HOPITAL DE JOUR VIALA,HOPITAL DE JOUR VIALA DU CHS SAINTE ANNE SECTEUR 15,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
6 SQ JOUVENET,48.8422877,2.2661735,"48.8422877,2.2661735",Etablissement de Soins Chirurgicaux,,75016 PARIS,128,142154015,142154215,Non concerné,CLINIQUE JOUVENET,CLINIQUE JOUVENET,Etablissements de Soins de Courte Durée
18 R GOUBET,48.8858515,2.3901062,"48.8858515,2.3901062",Centre Médico-Psychologique (C.M.P.),,75019 PARIS,156,142457640,142003026,Etablissement public de santé,CMP GOUBET INFANTO-JUVENIL,CENTRE MEDICO-PSYCHOLOGIQUE GOUBET MAISON BLANCHE SECTEUR 11,Autres Etablissements de Lutte contre les Maladies Mentales
10 R DE LA SOLIDARITE,48.8837441,2.3914379,"48.8837441,2.3914379",Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.),,75019 PARIS,425,,148032865,Etablissement public de santé,"GROUPES THERAP. ""CLUB SOLO""",CENTRE D'ACCUEIL THÉRAPEUTIQUE À TEMPS PARTIEL,Autres Etablissements de Lutte contre les Maladies Mentales
1 R CABANIS,48.8302646,2.3412612,"48.8302646,2.3412612",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75674 PARIS CEDEX 14,292,145658362,145658000,Etablissement public de santé,CENTRE HOSPITALIER STE-ANNE,CENTRE HOSPITALIER SAINTE-ANNE DE PARIS,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
4 BD AUGUSTE BLANQUI,48.8311205,2.35407,"48.8311205,2.35407",Maison de Santé pour Maladies Mentales,,75013 PARIS,161,155431539,155431530,"Etab de santé privé non lucratif, non déclar intérêt collect","HÔPITAL DE JOUR ""CENTRE SERGE LEBOVICI",HOPITAL DE JOUR CENTRE LEBOVOCI FONDATION ROTHSCHILD,Autres Etablissements de Lutte contre les Maladies Mentales
197 R OBERKAMPF,48.8670173,2.3828579,"48.8670173,2.3828579",Centre Médico-Psychologique (C.M.P.),,75011 PARIS,156,147008905,143380808,Etablissement public de santé,CMP ENFANTS OBERKAMPF,CENTRE MEDICO PSYCHOLOGIQUE OBERKAMPF - ESQUIROL 75I05,Autres Etablissements de Lutte contre les Maladies Mentales
21 R DE CHAZELLES,48.8799408,2.3042696,"48.8799408,2.3042696",Etablissement de Soins Pluridisciplinaire,,75017 PARIS,365,148882588,148882525,Non concerné,CLINIQUE INTERNATIONALE PARC MONCEAU,CLINIQUE INTERNATIONALE DU PARC MONCEAU,Etablissements de Soins de Courte Durée
6 R DU CONVENTIONNEL CHIAPPE,48.8188166,2.3631339,"48.8188166,2.3631339",Maison de Santé pour Maladies Mentales,,75013 PARIS,161,,,Etablissement de santé privé d’intérêt collectif,HOPITAL DE JOUR CENTRE CLEMENT MICHEL,HOPITAL DE JOUR CENTRE CLEMENT MICHEL,Autres Etablissements de Lutte contre les Maladies Mentales
155 BD VINCENT AURIOL,48.8324153,2.3614805,"48.8324153,2.3614805",Maison de Santé pour Maladies Mentales,,75013 PARIS,161,,145843901,Etablissement de santé privé d’intérêt collectif,HOPITAL DE JOUR GERONTOPSYCHIATRIQUE,HOPITAL DE JOUR GERONTOPSYCHIATRIQUE,Autres Etablissements de Lutte contre les Maladies Mentales
137 R DE LA CONVENTION,48.8398738,2.2906453,"48.8398738,2.2906453",Maison de Santé pour Maladies Mentales,,75015 PARIS,161,145336748,148281785,"Etab de santé privé non lucratif, non déclar intérêt collect",CENTRE PSYCHOTHÉRAPIQUE DUTOT AURORE,,Autres Etablissements de Lutte contre les Maladies Mentales
23 R GEORGES BIZET,48.8676646,2.2968021,"48.8676646,2.2968021",Etablissement de Soins Pluridisciplinaire,,75016 PARIS,365,147236954,140693434,Non concerné,CLINIQUE BIZET,,Etablissements de Soins de Courte Durée
14 R MATHURIN REGNIER,48.8404815,2.30717,"48.8404815,2.30717",Centre Médico-Psychologique (C.M.P.),,75015 PARIS,156,144385279,144385270,Etablissement public de santé,CENTRE MATHURIN REGNIER,CENTRE MEDICO-PSYCHOLOGIQUE - CHS SAINTE ANNE SECTEUR 14,Autres Etablissements de Lutte contre les Maladies Mentales
164 R DE GRENELLE,48.8580522,2.3089662,"48.8580522,2.3089662",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75007 PARIS,292,140629007,145518687,Etablissement public de santé,HOPITAL DE JOUR GRENELLE,HOPITAL DE JOUR GRENELLE ENFANTS PERRAY VAUCLUSE 75 I 09,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
37 R SAINT LAMBERT,48.8367925,2.2929899,"48.8367925,2.2929899",Etablissement Soins Obstétriques Chirurgico-Gynécologiques,,75015 PARIS,122,153685859,153685858,"Etab de santé privé non lucratif, non déclar intérêt collect",MATERNITE SAINTE FELICITE,MATERNITE SAINTE FELICITE,Etablissements de Soins de Courte Durée
185 R RAYMOND LOSSERAND,48.836198,2.3220607,"48.836198,2.3220607",Etablissement de Soins Pluridisciplinaire,,75674 PARIS CEDEX 14,365,144123332,144123333,Etablissement de santé privé d’intérêt collectif,GPE HOSP SAINT-JOSEPH,GROUPE HOSPITALIER SAINT-JOSEPH,Etablissements de Soins de Courte Durée
89 R D'ASSAS,48.8418464,2.3354499,"48.8418464,2.3354499",Centre Hospitalier Régional (C.H.R.),,75006 PARIS,101,,158411811,Etablissement public de santé,HOPITAL COCHIN-TARNIER (AP-HP),,Centres Hospitaliers Régionaux
6 R DU CONVENTIONNEL CHIAPPE,48.8188166,2.3631339,"48.8188166,2.3631339",Maison de Santé pour Maladies Mentales,,75013 PARIS,161,144067229,144067230,"Etab de santé privé non lucratif, non déclar intérêt collect",HÔPITAL DE JOUR RENE DIATKINE,UNITE RENE DIATKINE DE LA FONDATION MARTINE LYON,Autres Etablissements de Lutte contre les Maladies Mentales
28 R DE CHARENTON,48.8512676,2.372193,"48.8512676,2.372193",Centre Hospitalier (C.H.),,75571 PARIS CEDEX 12,355,146286066,140021520,Etablissement public de santé,CHNO DES QUINZE-VINGT PARIS,CENTRE NATIONAL D'OPHTALMOLOGIE DES QUINZE-VINGT DE PARIS,Centres Hospitaliers
39 AV REPUBLIQUE,48.8653523,2.3743709,"48.8653523,2.3743709",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75011 PARIS,292,143571033,143575264,,CHS ADULTE REPUBLIQUE,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
114 AV DE FLANDRE,48.8919202,2.3786238,"48.8919202,2.3786238",Centre Médico-Psychologique (C.M.P.),,75019 PARIS,156,146076160,140371350,Etablissement public de santé,CMP ENFANTS RIQUET,CENTRE MEDICO-PSYCHOLOGIQUE - EPS MAISON BLANCHE SECTEUR 11,Autres Etablissements de Lutte contre les Maladies Mentales
42 BD JOURDAN,48.8218125,2.3325274,"48.8218125,2.3325274",Etablissement de Soins Pluridisciplinaire,,75674 PARIS CEDEX 14,365,145806041,156616263,Etablissement de santé privé d’intérêt collectif,INSTITUT MUTUALISTE MONTSOURIS,INSTITUT MUTUALISTE MONTSOURIS,Etablissements de Soins de Courte Durée
4 AV DE LA PORTE DE SAINT OUEN,48.8978746,2.329088,"48.8978746,2.329088",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75018 PARIS,292,,155253550,Etablissement public de santé,UNITE HOSP BICHAT MAISON BLANCHE,UNITE HOSPITALISATION BICHAT MAISON BLANCHE,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
197 R MARCADET,48.8917555,2.3340947,"48.8917555,2.3340947",Etablissement de Soins Chirurgicaux,,75018 PARIS,128,144924096,144924000,Non concerné,CLINIQUE PARIS MONTMARTRE,,Etablissements de Soins de Courte Durée
17 R GARANCIERE,48.8495308,2.3359801,"48.8495308,2.3359801",Centre Crise Accueil Permanent,,75006 PARIS,444,144070356,143290530,Etablissement public de santé,C.A.C. ADULTE GARANCIÈRE,CENTRE D'ACCUEIL ET DE CRISE ADULTES CHS STE ANNE SECTEUR3,Autres Etablissements de Lutte contre les Maladies Mentales
17 R DES PRETRES SAINT GERMAIN,48.8592238,2.3411803,"48.8592238,2.3411803",Etablissement de Soins Chirurgicaux,L'AUXERROIS,75001 PARIS,128,153406063,153406000,Non concerné,CLINIQUE MEDICO-CHIRURGICALE DU LOUVRE,SA CLINIQUE DU LOUVRE,Etablissements de Soins de Courte Durée
13 R ALBERT BAYET,48.8306506,2.358756,"48.8306506,2.358756",Maison de Santé pour Maladies Mentales,,75013 PARIS,161,145832877,140774300,Etablissement de santé privé d’intérêt collectif,HOPITAL DE JOUR POUR AD0LESCENT,HOPITAL DE JOUR POUR ADOLESCENT,Autres Etablissements de Lutte contre les Maladies Mentales
40 BD DU MONTPARNASSE,48.8448607,2.3203717,"48.8448607,2.3203717",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75015 PARIS,292,,142221800,Etablissement public de santé,HOPITAL DE JOUR MONTPARNASSE,HOPITAL DE JOUR MONTPARNASSE DE SAINTE-ANNE SECTEUR 3,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
213 R DE BELLEVILLE,48.8752699,2.395214,"48.8752699,2.395214",Centre Médico-Psychologique (C.M.P.),,75019 PARIS,156,142084208,142085792,Etablissement public de santé,CMP ADULTES BELLEVILLE,CENTRE MEDICO-PSYCHOLOGIQUE - EPS MAISON BLANCHE SECTEUR 26,Autres Etablissements de Lutte contre les Maladies Mentales
95 BD ARAGO,48.8344938,2.3347228,"48.8344938,2.3347228",Etablissement de Soins Chirurgicaux,,75014 PARIS,128,144080403,144080400,Non concerné,CLINIQUE ARAGO,CLINIQUE ARAGO CHIRURGIE OSTEO-ARTICULAIRE & VERTEBRALE ARTH,Etablissements de Soins de Courte Durée
13 R PASTEUR,48.8623164,2.3756075,"48.8623164,2.3756075",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75011 PARIS,292,147003894,147003602,,CENTRE PASTEUR,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
55 R DE LA FOLIE-REGNAULT,48.8607763,2.3859547,"48.8607763,2.3859547",Maison de Santé pour Maladies Mentales,,75011 PARIS,161,140242298,144932200,Etablissement de santé privé d’intérêt collectif,INSTITUT PAUL SIVADON (FOLIE REGNAULT),ANNEXE DE L'INSTITUT PAUL SIVADON,Autres Etablissements de Lutte contre les Maladies Mentales
3 R DE LISBONNE,48.8777165,2.3175378,"48.8777165,2.3175378",Centre Médico-Psychologique (C.M.P.),,75008 PARIS,156,140080376,144907685,Etablissement public de santé,CMP ENFANTS ADULTES LISBONNE,CENTRE MEDICO-PSYCHOLOGIQUE PERRAY VAUCLUSE 75G05 & 75I09,Autres Etablissements de Lutte contre les Maladies Mentales
97 R DE CRIMÉE,48.8842436,2.3840322,"48.8842436,2.3840322",Centre Médico-Psychologique (C.M.P.),,75019 PARIS,156,142066684,142492150,Etablissement public de santé,CMP ADULTES CRIMÉE,CENTRE MEDICO-PSYCHOLOGIQUE - EPS MAISON BLANCHE SECTEUR 25,Autres Etablissements de Lutte contre les Maladies Mentales
9 R DE TURIN,48.8801161,2.3250706,"48.8801161,2.3250706",Etablissement de Soins Pluridisciplinaire,,75008 PARIS,365,140088989,140088996,Non concerné,MAISON DE CHIRURGIE CLINIQUE TURIN,,Etablissements de Soins de Courte Durée
129 R D'AVRON,48.8532632,2.4091872,"48.8532632,2.4091872",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75020 PARIS,292,,146590524,Etablissement public de santé,UNITE D'HOSPIT AVRON M. BLANCHE,UNITE D'ACCUEIL DE L'HOSPITALISATION MAISON BLANCHE AVRON,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
1719 R D'ARMAILLÉ,48.878101,2.2915469,"48.878101,2.2915469",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75017 PARIS,292,156687038,145740004,Etablissement public de santé,CENTRE ARMAILLE,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
258 R MARCADET,48.8926259,2.3296582,"48.8926259,2.3296582",Centre Médico-Psychologique (C.M.P.),,75018 PARIS,156,146270015,146272032,Etablissement public de santé,CMP MARCADET,,Autres Etablissements de Lutte contre les Maladies Mentales
9 R GUSTAVE DORE,48.886526,2.3024255,"48.886526,2.3024255",Etablissement de Soins Pluridisciplinaire,,75017 PARIS,365,144010079,144010050,Non concerné,CLINIQUE STE-THERESE,CLINIQUE SAINTE-THERESE DE L'ENFANT JESUS,Etablissements de Soins de Courte Durée
8 R LANNEAU,48.8483432,2.3466214,"48.8483432,2.3466214",Centre Médico-Psychologique (C.M.P.),,75005 PARIS,156,,144411930,"Etab de santé privé non lucratif, non déclar intérêt collect",CMP ADULTES RENE CAPITANT,CENTRE MEDICO-PSYCHOLOGIQUE PERRAY VAUCLUSE 75/G/04,Autres Etablissements de Lutte contre les Maladies Mentales
20 R CHAMPIONNET,48.8951518,2.3515583,"48.8951518,2.3515583",Centre Médico-Psychologique (C.M.P.),,75018 PARIS,156,146273096,146279127,"Etab de santé privé non lucratif, non déclar intérêt collect",CMP ENFANTS SOCIETE PHILANTHROPIQUE,CENTRE MEDICO-PSYCHOLOGIQUE SOCIETE PHILANTHROPIQUE(75/I/12),Autres Etablissements de Lutte contre les Maladies Mentales
200 R FAUBOURG SAINT-DENIS,48.8817067,2.3584552,"48.8817067,2.3584552",Centre Hospitalier Régional (C.H.R.),,75010 PARIS,101,140054133,140054545,Etablissement public de santé,GPE HOSP LARIBOISIERE-FERNAND WIDAL,GPE HOSP LARIBOISIERE-FERNAND WIDAL-GPT HOSP UNIVERSIT. NORD,Centres Hospitaliers Régionaux
33 R DU FER A MOULIN,48.8386888,2.3523275,"48.8386888,2.3523275",Etablissement de Soins Longue Durée,,75005 PARIS,362,,142348495,Etablissement public de santé,UNITE GERONTIQUE LA COLLEGIALE (AP-HP),,Etablissements de Soins de Longue Durée
13 R DU BANQUIER,48.8358109,2.3568493,"48.8358109,2.3568493",Centre Postcure Malades Mentaux,,75013 PARIS,430,155433759,155433740,Etablissement de santé privé d’intérêt collectif,FOYER DE POST-CURE ILOT WATTEAU,FOYER DE POST-CURE ILOT WATTEAU,Autres Etablissements de Lutte contre les Maladies Mentales
114 AV DE FLANDRE,48.8919202,2.3786238,"48.8919202,2.3786238",Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.),,75019 PARIS,425,146076160,142451783,Etablissement public de santé,CATTP JARDIN D'ENFANTS THERAPEUTIQUE,CATTP JARDIN D'ENFANTS THERAPEUTIQUE,Autres Etablissements de Lutte contre les Maladies Mentales
31 R DE LIÈGE,48.8794624,2.3260074,"48.8794624,2.3260074",Maison de Santé pour Maladies Mentales,,75008 PARIS,161,142949135,143876051,Etablissement de santé privé d’intérêt collectif,CENTRE DE TRAITEMENT ET DE RÉADAPTATIO,,Autres Etablissements de Lutte contre les Maladies Mentales
23 R DE LA ROCHEFOUCAULD,48.8786677,2.3345199,"48.8786677,2.3345199",Maison de Santé pour Maladies Mentales,,75009 PARIS,161,142811117,149708888,Etablissement de santé privé d’intérêt collectif,INSTITUT PAUL SIVADON - ELAN RETROUVÉ,INSTITUT PAUL SIVADON,Autres Etablissements de Lutte contre les Maladies Mentales
67 R DE ROMAINVILLE,48.8770417,2.4045038,"48.8770417,2.4045038",Etablissement de Soins Chirurgicaux,,75019 PARIS,128,140031200,140031212,Non concerné,CLINIQUE MAUSSINS-NALLET,,Etablissements de Soins de Courte Durée
48 R DE LA CONVENTION,48.8438776,2.2815949,"48.8438776,2.2815949",Etablissement Réadaptation Fonctionnelle,,75015 PARIS,135,145753662,145782561,Etablissement de santé privé d’intérêt collectif,CRF LA CHATAIGNERAIE,CENTRE DE REEDUCATION ET DE READAPTATION FONCT.LA CHATAIGNER,Etablissements de Soins de Suite et de Réadaptation
