commune_name,postal_code,adresse,latitude,longitude,coordinates,accessibilite_de_l_installation_en_faveur_des_personnes_en_situation_de_handicap,accessibilite_de_l_installation_en_transport_en_commun_des_differents_mode,activites,departement_code,nom_de_l_equipement_sportif,nom_de_l_installation_sportive,types_d_amenagements_de_confort
Paris 18e Arrondissement,75018,55 RUE MARX DORMOY,48.8888,2.35977,"48.8888, 2.35977",False,,Basket-Ball,75,TERRAIN DE BASKET BALL,COLLEGE MARX DORMOY,
Paris 15e Arrondissement,75015,45 RUE MADEMOISELLE,48.8436,2.29799,"48.8436, 2.29799",False,,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,75,TERRAIN DE VOLLEY BALL 3,COLLEGE - LYCEE CAMILLE SEE (ANNEXE),
Paris 20e Arrondissement,75020,89 COURS DE VINCENNES,48.8476,2.40824,"48.8476, 2.40824",False,"Bus,Métro","Basket-Ball,Handball / Mini hand / Handball de plage,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley",75,GRANDE COUR NIESSEL,CITE SCOLAIRE MAURICE RAVEL,
Paris 18e Arrondissement,75018,2 PLACE HEBERT,48.8932,2.36379,"48.8932, 2.36379",True,,,75,SALLE D'EPS,COLLEGE DANIEL MAYER,
Paris 14e Arrondissement,75014,17 boulevard jourdan,48.81912,2.33498,"48.81912, 2.33498",True,,Tennis,75,COURT DE TENNIS N°1,CITE INTERNATIONALE UNIVERSITAIRE DE PARIS,
Paris 14e Arrondissement,75014,17 boulevard jourdan,48.820103,2.338629,"48.820103, 2.338629",True,,"Football / Football en salle (Futsal),Rugby à 15 / Rugby à 7",75,Terrain de rugby,CITE INTERNATIONALE UNIVERSITAIRE DE PARIS,
Paris 14e Arrondissement,75014,1 PLACE DE LA GARENNE,48.834032,2.319682,"48.834032, 2.319682",True,"Métro,Bus",Handball / Mini hand / Handball de plage,75,Terrain de hand,SQUARE DE LA ZAC DIDOT,
Paris 16e Arrondissement,75016,12 RUE BENJAMIN FRANKLIN,48.859297,2.285792,"48.859297, 2.285792",False,,"Basket-Ball,Handball / Mini hand / Handball de plage,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley",75,TERRAIN DE MULTISPORTS 1,ETABLISSEMENT SAINT-LOUIS DE GONZAGUE,
Paris 10e Arrondissement,75010,17 RUE BOY ZELENSKI,48.87745,2.36762,"48.87745, 2.36762",True,"Métro,Bus","Football / Football en salle (Futsal),Handball / Mini hand / Handball de plage,Tennis",75,TERRAIN MULTISPORTS,CENTRE SPORTIF DE LA GRANGE AUX BELLES,
Paris 5e Arrondissement,75005,22 BIS BOULEVARD SAINT MARCEL,48.83952,2.35965,"48.83952, 2.35965",True,"Métro,Bus,Train",Musculation,75,PETITE SALLE DE CARDIOTRAINING,NEONESS PARIS AUSTERLITZ,
Paris 11e Arrondissement,75011,108 BIS AVENUE PHILIPPE AUGUSTE PARIS,48.85701,2.39163,"48.85701, 2.39163",True,"Métro,Bus","Football / Football en salle (Futsal),Handball / Mini hand / Handball de plage,Tennis",75,GRAND PLATEAU,TEP PHILIPPE AUGUSTE,
Paris 12e Arrondissement,75012,8 BOULEVARD DE BERCY,48.8391,2.37949,"48.8391, 2.37949",True,"Bus,Métro","Ballet sur glace / Danse sur glace / Patinage artistique,Basket-Ball,Boxe Anglaise,Hockey en salle / Hockey sur gazon,Judo / Jujitsu / Taïso,Tennis,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley",75,GRANDE SALLE,ACCORHOTELS ARENA,
Paris 16e Arrondissement,75016,74 BIS RUE LAURISTON,48.86837,2.28889,"48.86837, 2.28889",True,"Métro,Bus",Musculation,75,ESPACE CARDIO-TRAINING,KEEP COOL PARIS 16,Sauna
Paris 16e Arrondissement,75016,1 RUE DU GENERAL MALLETERRE,48.83686,2.26357,"48.83686, 2.26357",False,"Métro,Bus","Activités de forme et de santé,Autres Danses,Expression gymnique",75,SALLE DE DANSE 2,CENTRE PARIS ANIM' POINT DU JOUR,
Paris 17e Arrondissement,75017,229 RUE DE COURCELLES,48.889129,2.291315,"48.889129, 2.291315",False,"Métro,Bus",Tennis,75,COURT DE TENNIS N°1,CENTRE SPORTIF COURCELLES,
Paris 18e Arrondissement,75018,16 RUE CAPRON,48.88535,2.32821,"48.88535, 2.32821",True,,Boxe Anglaise,75,SALLE MMA/BOXE,FITNESS PARK PLACE DE CLICHY,
Paris 18e Arrondissement,75018,127 RUE DU MONT CENIS,48.89651,2.34643,"48.89651, 2.34643",True,"Métro,Bus","Boxe thaïlandaise Muay Thaï,Gymnastique Rythmique,Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...",75,SALLE DE FITNESS,LES CERCLES DE LA FORME ORNANO,Bain(s) de vapeur / hammam;Sauna
Paris 19e Arrondissement,75019,176 BOULEVARD MACDONALD,48.89956,2.37519,"48.89956, 2.37519",False,,Handball / Mini hand / Handball de plage,75,TERRAIN DE HANDBALL,SQUARE CLAUDE BERNARD,
Paris 20e Arrondissement,75020,4-12 RUE DENOYEZ,48.8713949919,2.37903356552,"48.8713949919, 2.37903356552",False,"Métro,Bus",Autres Danses,75,SALLE DE DANSE,COMPLEXE SPORTIF ALFRED NAKACHE,
Paris 20e Arrondissement,75020,46 RUE LOUIS LUMIERE,48.86042,2.41154,"48.86042, 2.41154",False,"Métro,Bus,Tramway","Activités de forme et de santé,Autres Danses,Gymnastique Rythmique",75,SALLE DUPLEIX,CENTRE PARIS ANIM' LOUIS LUMIERE,
Paris 11e Arrondissement,75011,18 PASSAGE DE LA MAIN D'OR PARIS,48.852682,2.37852,"48.852682, 2.37852",False,"Métro,Bus",Activités de forme et de santé,75,SALLE DE STRETCHING,DANSE PILATES,
Paris 13e Arrondissement,75013,13 AVENUE DE LA PORTE DE CHOISY,48.81806,2.36414,"48.81806, 2.36414",False,"Métro,Bus,Tramway",Tir à l'arc,75,AIRE DE TIR A L'ARC,COMPLEXE SPORTIF DE CHOISY,
Paris 14e Arrondissement,75014,75 RUE D'ALESIA,48.82727,2.32799,"48.82727, 2.32799",True,,"Activités de forme et de santé,Expression gymnique,Tennis de table",75,GYMNASE - PREAU,COLLEGE JEAN MOULIN,
Paris 16e Arrondissement,75016,ROUTE DES MOULINS BOIS DE BOULOGNE,48.8672659547,2.23343510625,"48.8672659547, 2.23343510625",False,Bus,Tennis,75,COURT DE TENNIS N°8,POLO DE PARIS,Sauna
Paris 15e Arrondissement,75015,4 RUE LOUIS ARMAND,48.831789,2.276049,"48.831789, 2.276049",True,"Métro,Bus,Tramway","Activités de forme et de santé,Autres Danses",75,SALLE SAINT BARTH,FOREST HILL AQUABOULEVARD,Bain(s) de vapeur / hammam;Bain(s) bouillonnant(s);Sauna;Solarium
Paris 16e Arrondissement,75016,50 route de l'etoile,48.87192,2.25963,"48.87192, 2.25963",True,"Métro,Bus",Tennis,75,COURT DE TENNIS EN QUICK N°14,Association du Cercle du Bois de Boulogne,Bain(s) de vapeur / hammam;Sauna
Paris 16e Arrondissement,75016,24 AVENUE GORDON BENNET,48.846587,2.25043,"48.846587, 2.25043",True,,Tennis,75,COURT DE TENNIS 1 18,ROLAND GARROS,Bain(s) de vapeur / hammam;Bain(s) bouillonnant(s);Sauna
Paris 8e Arrondissement,75008,33 RUE DU FAUBOURG ST HONORE,48.869,2.31967,"48.869, 2.31967",False,"Métro,Bus",Activités de forme et de santé,75,SALLE DE YOGA,CERCLE DE L'UNION INTERALLIEE,Bain(s) de vapeur / hammam;Sauna;Solarium
Paris 14e Arrondissement,75014,95 AVENUE DU GENERAL LECLERC,48.82645,2.32674,"48.82645, 2.32674",True,,"Activités de forme et de santé,Autres Danses,Expression gymnique",75,SALLE DE COURS COLLECTIFS,FITNESS PARK ALESIA,
Paris 14e Arrondissement,75014,3 AVENUE MAURICE D'OCAGNE,48.82335,2.31528,"48.82335, 2.31528",True,,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,75,TERRAIN DE VOLLEY-BALL,CENTRE SPORTIF JULES NOEL,
Paris 16e Arrondissement,75016,56 BOULEVARD DE L'AMIRAL BRUIX,48.87341,2.27631,"48.87341, 2.27631",False,"Métro,Bus","Basket-Ball,Football / Football en salle (Futsal),Handball / Mini hand / Handball de plage,Tennis,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley",75,PLATEAU MULTISPORTS 1,TEP JEAN PIERRE WIMILLE,
Paris 19e Arrondissement,75019,22 AVENUE DE LA PORTE CHAUMONT,48.885256,2.399009,"48.885256, 2.399009",True,,Lancer,75,LANCER DE POIDS COLLECTIF,CENTRE SPORTIF CHAUMONT,
Paris 20e Arrondissement,75020,21 RUE DES CENDRIERS,48.865822792,2.38624902966,"48.865822792, 2.38624902966",True,"Métro,Bus",Course sur piste,75,PISTE DROITE 4 COULOIRS,TEP AMANDIERS,
