objectid,nom,commune_code,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,nature_u_1,patronyme,secteur_pu
155,Ecole maternelle MARYSE HILSZ B,75120,PARIS,75020,75,656910.899999999,6861334.2045,18 rue Maryse Hilsz,ECOLE MATERNELLE,MARYSE HILSZ B,Public
156,Ecole maternelle STEPHEN PICHON,75113,PARIS,75013,75,652912.600000001,6859336.0045,28 avenue Stephen Pichon,ECOLE MATERNELLE,STEPHEN PICHON,Public
157,Ecole maternelle VARET,75115,PARIS,75015,75,647206.200000003,6860216.7045,9 rue Varet,ECOLE MATERNELLE,VARET,Public
158,Ecole maternelle PARADIS,75110,PARIS,75010,75,652591.200000003,6864059.9045,20 rue de Paradis,ECOLE MATERNELLE,PARADIS,Public
159,Ecole primaire ARBRE SEC,75101,PARIS,75001,75,651717.5,6862379.9045,15 rue de l'Arbre Sec,ECOLE DE NIVEAU ELEMENTAIRE,ARBRE SEC,Public
160,Ecole maternelle DUNOIS H,75113,PARIS,75013,75,653479.399999999,6859405.5045,71 rue Dunois,ECOLE MATERNELLE,DUNOIS H,Public
161,Ecole maternelle d'application LOUIS VIERNE,75117,PARIS,75017,75,647918.899999999,6865594.8045,4 rue Louis Vierne,ECOLE MATERNELLE D APPLICATION,LOUIS VIERNE,Public
162,Ecole maternelle PELLEPORT L,75120,PARIS,75020,75,655953.700000003,6863517.8045,99 rue Pelleport,ECOLE MATERNELLE,PELLEPORT L,Public
163,Ecole maternelle CARPEAUX,75118,PARIS,75018,75,650857.399999999,6865802.5045,5 rue Carpeaux,ECOLE MATERNELLE,CARPEAUX,Public
164,Ecole maternelle LEGOUVE,75110,PARIS,75010,75,653214.600000001,6863770.2045,6 rue Legouve,ECOLE MATERNELLE,LEGOUVE,Public
165,Ecole élémentaire GOUTTE D'OR J,75118,PARIS,75018,75,652460.299999997,6865190.7045,49 bis rue de la Goutte d'Or,ECOLE DE NIVEAU ELEMENTAIRE,GOUTTE D'OR J,Public
216,Ecole élémentaire privée Les Francs Bourgeois,75104,PARIS,75004,75,653463.0,6861687.4045,21 rue Saint Antoine,ECOLE DE NIVEAU ELEMENTAIRE,LES FRANCS BOURGEOIS,Privé
