postal_code,latitude,longitude,coordinates,compvoie,lieuditbp,numvoie,rs,typvoie,voie
75014,48.8314253,2.3133237,"48.8314253,2.3133237",,,89.0,SELAS PHARMAWIN,RUE,RAYMOND LOSSERAND
75015,48.84665519000001,2.2857865700000004,"48.84665519000001,2.2857865700000004",,,9.0,PHARMACIE CHARLES MICHELS,PL,CHARLES MICHELS
75016,48.868649790000006,2.28288466,"48.868649790000006,2.28288466",,,111.0,PHARMACIE 111,AVENUE,VICTOR HUGO
75017,48.8806784,2.2923066,"48.8806784,2.2923066",,,5.0,SARL PHARMACIE LEBON,RUE,LEBON
75013,48.82583052,2.3606523899999994,"48.82583052,2.3606523899999994",,,117.0,PHARMACIE LY KY,AVENUE,D IVRY
75014,48.8273407,2.3348741,"48.8273407,2.3348741",,10 RUE D ALESIA,40.0,PHARM DES ECOLES,AVENUE,RENE COTY
75018,48.8942506,2.3414298,"48.8942506,2.3414298",,,40.0,PHARM ZEDERMAN,RUE,DU POTEAU
75005,48.8391078,2.3394963,"48.8391078,2.3394963",,,86.0,PHARMACIE DE LA MATERNITE,BOULEVARD,DE PORT ROYAL
75005,48.8407915,2.3406684,"48.8407915,2.3406684",,,6.0,PHARMACIE DU VAL DE GRACE,PL,ALPHONSE LAVERAN
75005,48.8407303,2.3515551,"48.8407303,2.3515551",,,96.0,PHARMACIE LAXAN,RUE,MONGE
75009,48.8768292,2.3360129,"48.8768292,2.3360129",,,34.0,PHARMACIE ROSE,RUE,SAINT LAZARE
75013,48.83638032000001,2.35052302,"48.83638032000001,2.35052302",,,6.0,PHARMACIE ARAGO,BOULEVARD,ARAGO
75015,48.8456956,2.300052,"48.8456956,2.300052",,15 RUE AMIRAL ROUSSIN,14.0,SELARL PHARMACIE VILLA CROIX NIVERT,,VILLA CROIX NIVERT
75016,48.85063,2.271287,"48.85063,2.271287",,,35.0,FONTAINE PHARMA,RUE,DE LA FONTAINE
75018,48.8894929,2.3335629,"48.8894929,2.3335629",,,33.0,PHARMACIE DE LA ROTONDE,RUE,DAMREMONT
75018,48.8889521,2.359872,"48.8889521,2.359872",,,19.0,PHARMACIE SEFIANI,RUE,MARX DORMOY
75018,48.8889521,2.359872,"48.8889521,2.359872",,,39.0,PHARM DUPRE,RUE,MARX DORMOY
75006,48.8535929,2.3368828,"48.8535929,2.3368828",,,60.0,LA PETITE PHARMACIE,RUE,DE SEINE
75008,48.87994409,2.31779069,"48.87994409,2.31779069",,,80.0,PHARMACIE MODERNE,RUE,DU ROCHER
75012,48.8392364,2.389437,"48.8392364,2.389437",,,1.0,PHARMACIE DICHAMP,BOULEVARD,DE REUILLY
75015,48.8284684,2.3010363,"48.8284684,2.3010363",,,94.0,PHARMACIE TREIGNIER PORTE BRANCION,BOULEVARD,LEFEBVRE
75016,48.8538108,2.2652088,"48.8538108,2.2652088",,,38.0,SARL PHARMACIE DU DOCTEUR BLANCHE,RUE,DOCTEUR BLANCHE
75016,48.8631878,2.2765333,"48.8631878,2.2765333",,,82.0,PHARMACIE DE LA MAIRIE,RUE,DE LA POMPE
75017,48.8771737,2.2854626,"48.8771737,2.2854626",,,68.0,PHARMACIE DE LA PORTE MAILLOT,AVENUE,DE LA GRANDE ARMÉE
75007,48.8583161,2.3017982,"48.8583161,2.3017982",,,114.0,PHARM PERON,RUE,ST DOMINIQUE
75013,48.82157148000001,2.3693775100000005,"48.82157148000001,2.3693775100000005",,,50.0,PHARM IVRY MASSENA,AVENUE,DE LA PORTE D IVRY
75014,48.8336173,2.3305362,"48.8336173,2.3305362",,,11.0,PHARM DINTON,RUE,DAGUERRE
75015,48.8416647,2.282331,"48.8416647,2.282331",,,65.0,PHARMACIE MIRABEAU,RUE,DES CEVENNES
75015,48.8344222,2.2955078,"48.8344222,2.2955078",,,54.0,SELARL PHARMACIE COHENA,RUE,OLIVIER DE SERRES
75015,48.8385974,2.3086096,"48.8385974,2.3086096",,,60.0,PHARMACIE DE L INSTITUT,RUE,DUTOT
75018,48.889431,2.359717,"48.889431,2.359717",,,65.0,LA PHARMACIE,RUE,MARX DORMOY
75019,48.87475,2.3877263,"48.87475,2.3877263",,,117.0,PHARMACIE PRINCIPALE DE BELLEVILLE,RUE,DE BELLEVILLE
75019,48.8832391,2.3954525,"48.8832391,2.3954525",,,2.0,PHARMACIE DE LA PORTE BRUNET,AVENUE,DE LA PORTE BRUNET
75020,48.8601531,2.4034611,"48.8601531,2.4034611",,,1.0,PHARMACIE SAINT BLAISE,RUE,STENDHAL
75012,48.8448447,2.3825013,"48.8448447,2.3825013",,,164.0,PHARMACIE DU VIADUC,RUE,DE CHARENTON
75016,48.8550888,2.2720522,"48.8550888,2.2720522",B,,85.0,PHARM LEVY,RUE,DU RANELAGH
75002,48.8626681,2.3495752,"48.8626681,2.3495752",,,160.0,PHARMACIE FOULOUNOUX,RUE,SAINT DENIS
75012,48.8360108,2.3842481,"48.8360108,2.3842481",,,21.0,PHARMACIE DU PARC,RUE,DE POMMARD
75013,48.8270993,2.3671009,"48.8270993,2.3671009",,,164.0,PHARMACIE DES PEUPLIERS,RUE,DE TOLBIAC
75014,48.831685779999994,2.3147195599999995,"48.831685779999994,2.3147195599999995",,,203.0,PHARMACIE PLAISANCE,RUE,D ALESIA
75015,48.8419978,2.3008,"48.8419978,2.3008",,,133.0,SELARL PHARMACIE DE LA MAIRIE,RUE,LECOURBE
75008,48.87690353,2.32163268,"48.87690353,2.32163268",,,29.0,PHARM PROVIDENTI,RUE,DU ROCHER
75009,48.876971,2.3393591,"48.876971,2.3393591",,,4.0,PHARMACIE DES MARTYRS,RUE,DES MARTYRS
75010,48.87329489,2.35470593,"48.87329489,2.35470593",,,80.0,LA PHARMACIE DES PASSAGES,RUE,DU FBG SAINT DENIS
75013,48.82791527,2.34968014,"48.82791527,2.34968014",,,52.0,PHARMACIE TRAN H N,RUE,DES CINQ DIAMANTS
75014,48.8259048,2.3223627,"48.8259048,2.3223627",,,24.0,PHARMACIE OUAZANA,AVENUE,JEAN MOULIN
75020,48.8640546,2.4086132,"48.8640546,2.4086132",,,4.0,PHARMACIE DE L ESTEREL,BOULEVARD,DAVOUT
75003,48.8642141,2.3657368,"48.8642141,2.3657368",,,17.0,PHARM CAUSSIGNAC,BOULEVARD,DU TEMPLE
75017,48.887716,2.3097896,"48.887716,2.3097896",,,29.0,PHARM LAPICZAK,BOULEVARD,PEREIRE
75018,48.8846636,2.34115,"48.8846636,2.34115",,,20.0,PHARMACIE DES TROIS FRERES,RUE,DES TROIS FRERES
75020,48.8710569,2.4000483,"48.8710569,2.4000483",,,11.0,PHARMACIE CANARD VOLLAND VALERIE,RUE,SAINT FARGEAU
75011,48.8570217,2.3817329,"48.8570217,2.3817329",,,119.0,PHARMACIE SEBAG IRENE,BOULEVARD,VOLTAIRE
75012,48.8398698,2.4006627,"48.8398698,2.4006627",,,10.0,PHARMACIE DRAI SOUFFIR,BOULEVARD,DE PICPUS
75015,48.8493651,2.291455,"48.8493651,2.291455",,,19.0,PHARMACIE OCEANE,RUE,DE LOURMEL
75015,48.8447732,2.3102547,"48.8447732,2.3102547",,,5.0,PHARMACIE LECOURBE,RUE,LECOURBE
75016,48.86545426,2.28640562,"48.86545426,2.28640562",,,28.0,PHARM SPINHIRNY HELENE,AVENUE,RAYMOND POINCARE
75018,48.8939071,2.3343602,"48.8939071,2.3343602",,,4.0,PHARM BRUNET,RUE,ORDENER
75018,48.8966056,2.3437547,"48.8966056,2.3437547",,,23.0,PHARMACIE MATHIEU,RUE,LETORT
75018,48.8889521,2.359872,"48.8889521,2.359872",,,34.0,PHARM ZALAY,RUE,MARX DORMOY
75019,48.885646,2.3816949,"48.885646,2.3816949",,,26.0,PHARM SEBAG,RUE,DE MEAUX
75001,48.8647979,2.3327204,"48.8647979,2.3327204",,,9.0,SELARL PYRAMIDES,RUE,DES PYRAMIDES
75006,48.8440591,2.3291904,"48.8440591,2.3291904",,,131.0,PHARMACIE JUILLET,BOULEVARD,RASPAIL
75008,48.87809068,2.3159319200000006,"48.87809068,2.3159319200000006",,,87.0,PHARMACIE MALESHERBES,BOULEVARD,MALESHERBES
75010,48.872761360000005,2.3547137999999994,"48.872761360000005,2.3547137999999994",,,76.0,PHARMACIE DES DEUX FAUBOURGS,RUE,DU CHATEAU D EAU
75011,48.87133270999999,2.37635645,"48.87133270999999,2.37635645",,,13.0,PHARMACIE DE LA CONFIANCE,RUE,DE LA PRESENTATION
75013,48.82991999,2.34719038,"48.82991999,2.34719038",,,83.0,PHARMACIE BLANQUI,BOULEVARD,AUGUSTE BLANQUI
75013,48.83540131000001,2.3474217200000003,"48.83540131000001,2.3474217200000003",,,37.0,PHARMACIE AIT ISHA SERAFIM,BOULEVARD,ARAGO
75019,48.8760036,2.3808312,"48.8760036,2.3808312",B,,43.0,PHARMACIE DU PARC,AVENUE,SIMON BOLIVAR
75002,48.8705556,2.3358864,"48.8705556,2.3358864",,,23.0,PHARMACIE DE CHOISEUL,RUE,DE CHOISEUL
75010,48.87746170000001,2.3698134700000004,"48.87746170000001,2.3698134700000004",,,65.0,PHARMACIE DU COLONEL FABIEN,RUE,LA GRANGE AUX BELLES
75011,48.86358529,2.3664245,"48.863585289999996,2.3664245",,,4.0,PHARMACIE DU CIRQUE DHIVER,BOULEVARD,DU TEMPLE
75011,48.8575917,2.3805149,"48.8575917,2.3805149",,,264.0,PHARMACIE VOLTAIRE NATION,BOULEVARD,VOLTAIRE
75013,48.83104151000001,2.3571091900000005,"48.83104151000001,2.3571091900000005",,,203.0,PHARMACIE VINCENT AURIOL,BOULEVARD,VINCENT AURIOL
75016,48.8503731,2.25902687148261,"48.8503731,2.25902687148261",,,52.0,PHARMACIE DE LA PORTE D AUTEUIL,RUE,D AUTEUIL
75016,48.8409897,2.2657799,"48.8409897,2.2657799",,,167.0,PHARM LAMOTHE,AVENUE,DE VERSAILLES
75018,48.8921233,2.3273001,"48.8921233,2.3273001",,,78.0,PHARMACIE LES ALIZES,AVENUE,DE SAINT OUEN
75018,48.8866144,2.3504551,"48.8866144,2.3504551",,,67.0,PHARMACIE MYRHA,RUE,MYRHA
75018,48.8898805,2.3627422,"48.8898805,2.3627422",,,67.0,PHARMA GREEN,RUE,RIQUET
75019,48.8833035,2.3716326,"48.8833035,2.3716326",,,7.0,PHARMACIE WIZMAN,AVENUE,JEAN JAURES
75019,48.8847763,2.3812424,"48.8847763,2.3812424",,,98.0,PHARMACIE BOKOBZA,RUE,PETIT
75020,48.8696722,2.3888007,"48.8696722,2.3888007",,,71.0,PHARM DE LA MARE,RUE,DE LA MARE
75020,48.8679418,2.4009574,"48.8679418,2.4009574",,,121.0,PHARM JAPKOWICZ,AVENUE,GAMBETTA
75020,48.8759718,2.4024224,"48.8759718,2.4024224",,,44.0,PHARMACIE SOK,RUE,DE BELLEVILLE
75011,48.857404,2.3810914,"48.857404,2.3810914",,,113.0,GRANDE PHARMACIE PIOT,BOULEVARD,VOLTAIRE
75013,48.83116096,2.34407276,"48.83116096,2.34407276",,,106.0,SELARL D2B,BOULEVARD,AUGUSTE BLANQUI
75014,48.8314253,2.3133237,"48.8314253,2.3133237",,HALL A,156.0,SELARL PHARMACIE DE LA PAIX,RUE,RAYMOND LOSSERAND
75016,48.8559682,2.2750029,"48.8559682,2.2750029",,,48.0,PHARMACIE BOULAINVILLIERS,RUE,DE BOULAINVILLIERS
75017,48.8860898,2.2924402,"48.8860898,2.2924402",,ANGLE 1 R CATULLE MENDES,12.0,PHARMACIE CHAMPERRET,AVENUE,STEPHANE MALLARME
75019,48.8819094,2.3719388,"48.8819094,2.3719388",,,19.0,PHARMACIE SECRETAN,AVENUE,SECRETAN
75020,48.8573924,2.4083014,"48.8573924,2.4083014",,,61.0,PHARMACIE WOLFF,RUE,SAINT BLAISE
75001,48.86688106,2.33630061,"48.86688106,2.33630061",,,26.0,LA PHARMACIE DE LA BANQUE,RUE,CX DES PETITS CHAMPS
75010,48.87521535,2.3508837800000006,"48.87521535,2.3508837800000006",,,66.0,PHARM KATY SARFATI,RUE,D HAUTEVILLE
75010,48.8819164,2.35100985,"48.8819164,2.35100985",,,139.0,PHARMACIE JOURNO,BOULEVARD,MAGENTA
75011,48.8585346,2.3836681,"48.8585346,2.3836681",B,,51.0,PHARMACIE PIPERNO,RUE,DE LA ROQUETTE
75013,48.8188675,2.3608709900000004,"48.8188675,2.3608709900000004",,,3.0,PHARMACIE DE LA PORTE D ITALIE,RUE,FERNAND WIDAL
75013,48.8268904,2.365097,"48.8268904,2.365097",,,75.0,SELARL PHARMACIE CENTRALE,RUE,DE TOLBIAC
75013,48.83210018,2.3703834400000003,"48.83210018,2.3703834400000003",,,8.0,PHARMACIE LOAN,RUE,DUCHEFDELAVILLE
75014,48.8275941,2.32099,"48.8275941,2.32099",,1 R BENARD,24.0,SARL PHARMACIE DES PLANTES,RUE,DES PLANTES
75015,48.8371001,2.2963619,"48.8371001,2.2963619",,,347.0,SELARL PHARMACIE SITBON,RUE,DE VAUGIRARD
75018,48.8915013,2.3596583,"48.8915013,2.3596583",,,17.0,PHARMACIE DE LA CHAPELLE,RUE,DE LA CHAPELLE
75002,48.8626681,2.3495752,"48.8626681,2.3495752",,,247.0,PHARMACIE DU SENTIER RAKOVER EURL,RUE,SAINT DENIS
75004,48.8567788,2.3558116,"48.8567788,2.3558116",,,4.0,PHARMACIE DE L HOTEL DE VILLE,RUE,DU BOURG TIBOURG
75007,48.855049,2.3243931,"48.855049,2.3243931",,,67.0,SELARL PHARMACIE BAC GRENELLE,RUE,DE GRENELLE
75010,48.8704492,2.3551081,"48.8704492,2.3551081",,,12.0,PHARMACIE DE STRASBOURG,BOULEVARD,DE STRASBOURG
75011,48.8582119,2.3827902,"48.8582119,2.3827902",,,150.0,PHARMACIE DES ECOLES,RUE,DE LA ROQUETTE
75013,48.8270993,2.3671009,"48.8270993,2.3671009",,,200.0,EURL PHARMACIE LOR KEUK,RUE,DE TOLBIAC
75014,48.83190572,2.31381029,"48.83190572,2.31381029",,,172.0,SELARL LAV,RUE,D ALESIA
75016,48.86981696,2.29797721,"48.86981696,2.29797721",,ANGLE 21 RUE BASSANO,55.0,PHARM DJOLOLIAN,AVENUE,MARCEAU
75017,48.8800843,2.2951544,"48.8800843,2.2951544",,,16.0,SELARL GRANDE PHARMACIE NIEL,AVENUE,NIEL
75017,48.8852491,2.2959126,"48.8852491,2.2959126",,,118.0,PHARMACIE SATELLITE,AVENUE,DE VILLIERS
75017,48.88615339999999,2.310165169999999,"48.88615339999999,2.3101651699999994",,,25.0,PHARMACIE JOUFFROY,RUE,JOUFFROY D ABBANS
75017,48.8921706,2.3234999,"48.8921706,2.3234999",,,18.0,PHARM DUMAS,RUE,GUY MOQUET
75019,48.8842247,2.3760131,"48.8842247,2.3760131",,,76.0,PHARM JAURES,AVENUE,JEAN JAURES
75002,48.8669359,2.3362734,"48.8669359,2.3362734",,,26.0,SELURL PHARMACIE VICTOIRE OPERA,RUE,DES PETITS CHAMPS
75006,48.8521875,2.3307715,"48.8521875,2.3307715",,,49.0,PHARMACIE DE L EPOQUE,RUE,DU FOUR
75010,48.8772031,2.3493521,"48.8772031,2.3493521",,,96.0,PHARMACIE CONSEIL LA FAYETTE,RUE,LA FAYETTE
75011,48.8591443,2.3794671,"48.8591443,2.3794671",B,,17.0,PHARM SETTI,AVENUE,PARMENTIER
75012,48.8504214,2.3786455,"48.8504214,2.3786455",,,83.0,PHARMACIE SAINT ANTOINE,RUE,CROZATIER
75014,48.8415374,2.3294739,"48.8415374,2.3294739",,,206.0,PHARMACIE DU DOME,BOULEVARD,RASPAIL
75016,48.86832421999999,2.2988065499999997,"48.86832421999999,2.2988065499999997",,,37.0,SELARL PHIE NOUVELLE ANGLO AMERICAINE,AVENUE,MARCEAU
75018,48.8878239,2.3258581,"48.8878239,2.3258581",B,,10.0,PHARM OURABAH,AVENUE,DE SAINT OUEN
75008,48.87612244,2.31830776,"48.87612244,2.31830776",,,61.0,PHARMACIE SAINT AUGUSTIN,BOULEVARD,MALESHERBES
75010,48.8719093,2.3719605,"48.8719093,2.3719605",,,196.0,PHARMACIE ERCELIK,RUE,SAINT MAUR
75016,48.848251,2.264435,"48.848251,2.264435",,,122.0,PHARMACIE CENTRALE D AUTEUIL,RUE,LA FONTAINE
75017,48.8852336,2.2938639,"48.8852336,2.2938639",,,131.0,PHARMACIE HELIOPOLIS,AVENUE,DE VILLIERS
75017,48.8836629,2.3048246,"48.8836629,2.3048246",,,71.0,PHARMACIE STIOUI,AVENUE,DE VILLIERS
75017,48.8827505,2.3148008,"48.8827505,2.3148008",,,35.0,PHARM DE LA TERRASSE,RUE,DE LEVIS
75017,48.8888548,2.3193113,"48.8888548,2.3193113",,,23.0,SELAS PHIE NOUVELLE DES BATIGNOLLES,RUE,DES MOINES
75017,48.8870247,2.3231796,"48.8870247,2.3231796",,,25.0,PHARM BURBOT,RUE,LA CONDAMINE
75018,48.8940686,2.3325422,"48.8940686,2.3325422",,31 RUE VAUVENARGUES,191.0,PHARMACIE GOMBERT,RUE,CHAMPIONNET
75018,48.8880883,2.3512394,"48.8880883,2.3512394",,33 BIS RUE DES POISSONNIERS,38.0,PHARMACIE DE LA PLACE,RUE,POULET
75019,48.8842247,2.3760131,"48.8842247,2.3760131",,,100.0,PHARMACIE DES DEUX RUES,AVENUE,JEAN JAURES
75019,48.8858826,2.3988838,"48.8858826,2.3988838",,,2.0,PHARMACIE DE LA PLACE COCHET,AVENUE,DE LA PORTE CHAUMONT
75006,48.8487844,2.340423,"48.8487844,2.340423",,,42.0,PHARM DU SENAT,RUE,MONSIEUR LE PRINCE
75009,48.8762595,2.3326027,"48.8762595,2.3326027",,,57.0,PHARMACIE DE LA TRINITE,RUE,DE CHATEAUDUN
75009,48.8831109,2.3463897,"48.8831109,2.3463897",,,21.0,SELARL PHARMACIE NIRINA INTERNATIONAL,BOULEVARD,DE ROCHECHOUART
75010,48.87050539,2.35953659,"48.87050539,2.35953659",B,,25.0,SELEURL PHARMACIE DU CHATEAU D EAU,RUE,DU CHATEAU D EAU
75012,48.849568960000006,2.3742073800000005,"48.849568960000006,2.3742073800000005",,,71.0,PHARMACIE LEDRU ROLLIN,AVENUE,LEDRU ROLLIN
75015,48.8428348,2.3037764,"48.8428348,2.3037764",,,95.0,PHARMACIE DELATTRE,RUE,LECOURBE
75015,48.8417149,2.3206214,"48.8417149,2.3206214",,,10.0,PHARMACIE DE LA GARE MONTPARNASSE,PL,RAOUL DAUTRY
75020,48.8575505,2.3921652,"48.8575505,2.3921652",,,114.0,SELARL PHARMACIE MEGHARBI,BOULEVARD,DE CHARONNE
75020,48.8544383,2.4022023,"48.8544383,2.4022023",,ANGLE 28 RUE DES ORTEAUX,86.0,PHARM RAULOT,RUE,DE LA REUNION
75003,48.8682643,2.3625095,"48.8682643,2.3625095",,,5.0,LA PHIE DE LA PLACE DELA RÉPUBLIQUE,PL,DE LA RÉPUBLIQUE
75008,48.86945128,2.31107444,"48.86945128,2.31107444",,,1.0,PHARMACIE MATIGNON,AVENUE,MATIGNON
75011,48.8504827,2.3902586100000005,"48.8504827,2.3902586100000005",,,62.0,PHARM TRAMONI,RUE,DE MONTREUIL
75015,48.8470731,2.2946151,"48.8470731,2.2946151",,,139.0,PHARMACIE EMILE ZOLA,AVENUE,EMILE ZOLA
75016,48.856402,2.2777604,"48.856402,2.2777604",,,1.0,SARL LB CHOPIN,RUE,DUBAN
75016,48.8579528,2.2806469,"48.8579528,2.2806469",,1 RUE NICOLO,38.0,SELAS PHARMACIE CENTRALE DE PASSY,RUE,DE PASSY
75016,48.86989251,2.2962981499999997,"48.86989251,2.2962981499999997",,,37.0,PHARMACIE GALILEE,RUE,GALILEE
75017,48.8921706,2.3234999,"48.8921706,2.3234999",,,73.0,M MICHEL DEBRAY,RUE,GUY MOQUET
75018,48.8876851,2.3403767,"48.8876851,2.3403767",,,1.0,PHARMACIE DU TERTRE,RUE,CORTOT
75018,48.8917844,2.3446788,"48.8917844,2.3446788",,,18.0,SELAS PHARMACIE HERMEL,RUE,HERMEL
75018,48.8964073,2.3456278,"48.8964073,2.3456278",,,16.0,PHARMACIE EUROPEENNE,BOULEVARD,ORNANO
75020,48.8647612,2.4044154,"48.8647612,2.4044154",,,15.0,PHARMACIE BELGRAND TENON,RUE,BELGRAND
75002,48.8700666,2.3501189,"48.8700666,2.3501189",,,19.0,PHARMACIE DU GLOBE,BOULEVARD,DE BONNE NOUVELLE
75004,48.8519985,2.3647948,"48.8519985,2.3647948",,,27.0,PHARMACIE HENRI IV,BOULEVARD,HENRI IV
75008,48.87470109,2.30817851,"48.87470109,2.30817851",,,48.0,PHARMACIE DE BERRI,RUE,DE BERRI
75010,48.8799626,2.3536843,"48.8799626,2.3536843",,,2.0,PHARMACIE ANGLAISE DE LA GARE DU NORD,RUE,DE COMPIEGNE
75011,48.86173976,2.3728136299999996,"48.86173976,2.3728136299999996",,,84.0,PHARMACIE DES DEUX BOULEVARDS,BOULEVARD,RICHARD LENOIR
75011,48.86783659,2.37800583,"48.86783659,2.37800583",,,98.0,PHARMACIE DES 3 COURONNES,RUE,JEAN PIERRE TIMBAUD
75011,48.861776,2.3829878,"48.861776,2.3829878",,,119.0,PHARM LABI,RUE,DU CHEMIN VERT
75012,48.8477827,2.4062773,"48.8477827,2.4062773",,,96.0,PHARMACIE DU COURS DE VINCENNES,CRS,DE VINCENNES
