postal_code,latitude,longitude,coordinates,compvoie,lieuditbp,numvoie,rs,typvoie,voie
75016,48.853056,2.275432,"48.853056,2.275432",,,4.0,SELARL PHARMACIE LA FONTAINE,RUE,LA FONTAINE
75017,48.8793735,2.29115205349274,"48.8793735,2.29115205349274",,,1.0,PHARMACIE DE L EGLISE,PL,TRISTAN BERNARD
75017,48.8849438,2.3109526,"48.8849438,2.3109526",,,64.0,PHARMACIE DE TOCQUEVILLE,RUE,DE TOCQUEVILLE
75018,48.8884767,2.349789,"48.8884767,2.349789",,,64.0,PHARMACIE ESPACE CONSEIL,BOULEVARD,BARBES
75020,48.8673397,2.3967235,"48.8673397,2.3967235",,,234.0,SELARL PYRENEES 234,RUE,DES PYRENEES
75001,48.8622106,2.3416305,"48.8622106,2.3416305",,,38.0,PHARMACIE DU LOUVRE,RUE,DU LOUVRE
75003,48.8605948,2.3516451,"48.8605948,2.3516451",,11 RUE BAILLY,98.0,PHARMACIE SAINT MAUR OBERKAMPF,RUE,BEAUBOURG
75008,48.87144595,2.30739623,"48.87144595,2.30739623",,44 RUE DE PONTHIEU,116.0,PHARMACIE LA BOETIE CHAMPS ELYSEES,RUE,LA BOETIE
75016,48.8388236,2.2608394,"48.8388236,2.2608394",,,197.0,LA PHARMACIE DU MARCHE,AVENUE,DE VERSAILLES
75017,48.8846191,2.3212808,"48.8846191,2.3212808",,,27.0,PHARMACIE DE LA MAIRIE,RUE,DES BATIGNOLLES
75018,48.8913606,2.3346869,"48.8913606,2.3346869",,,63.0,PHARMACIE RADJA,RUE,DAMREMONT
75018,48.8881011,2.3360271,"48.8881011,2.3360271",,,42.0,PHARMACIE CENTRALE DE MONTMARTRE,AVENUE,JUNOT
75018,48.8902004,2.349399,"48.8902004,2.349399",,,65.0,PHARMACIE MARCADET,BOULEVARD,BARBES
75018,48.8898491,2.3603932,"48.8898491,2.3603932",,,96.0,SELAS PHARMACIE MARX DORMOY,RUE,PHILIPPE DE GIRARD
75002,48.8660446,2.3470265,"48.8660446,2.3470265",,,67.0,PHARMACIE MONTORGUEIL,RUE,MONTORGUEIL
75003,48.865802,2.360647,"48.865802,2.360647",,,191.0,PHARM CROULARD,RUE,DU TEMPLE
75007,48.8571082,2.3045687,"48.8571082,2.3045687",,,49.0,SELARL PHARMACIE BOSQUET GRENELLE,AVENUE,BOSQUET
75008,48.8685711,2.3034187,"48.8685711,2.3034187",,39 RUE FRANCOIS 1ER,21.0,PHARM MARBEUF FRANCOIS 1ER,RUE,MARBEUF
75008,48.87680054,2.3153016,"48.87680054,2.3153016",,,4.0,PHARMACIE ISSOULIE,RUE,TREILHARD
75008,48.8757062,2.32390612,"48.8757062,2.32390612",,,15.0,SELAS GRANDE PHARMACIE BAILLY,RUE,DE ROME
75010,48.8836395,2.3602574,"48.8836395,2.3602574",,,65.0,PHARMACIE CENTRALE LOUIS BLANC,RUE,LOUIS BLANC
75011,48.86920676,2.3800756,"48.86920676,2.3800756",,,43.0,PHARMACIE COURONNES,BOULEVARD,DE BELLEVILLE
75011,48.8611735,2.3815921,"48.8611735,2.3815921",,,98.0,PHARMACIE CHAUVEAU,RUE,DU CHEMIN VERT
75014,48.8314253,2.3133237,"48.8314253,2.3133237",,,203.0,PHARMACIE RENOIR,RUE,RAYMOND LOSSERAND
75014,48.8314253,2.3133237,"48.8314253,2.3133237",,,45.0,PHARM TEMSTET,RUE,RAYMOND LOSSERAND
75014,48.8261777,2.3412817,"48.8261777,2.3412817",,,4.0,PHARMACIE DU PARC,AVENUE,REILLE
75015,48.836462,2.2820354,"48.836462,2.2820354",,,360.0,PHARM DU GRAND PAVOIS,RUE,LECOURBE
75016,48.8433062,2.2594422,"48.8433062,2.2594422",,,77.0,PHARMACIE EXELMANS,BOULEVARD,EXELMANS
75007,48.8527897,2.2985976,"48.8527897,2.2985976",,,57.0,SELAS PHARMACIE ZANA,AVENUE,DE SUFFREN
75009,48.8812967,2.3409525,"48.8812967,2.3409525",B,,1.0,PHARM RANDRIAMIARY,RUE,LALLIER
75010,48.8758746,2.3596577,"48.8758746,2.3596577",,HALL DE LA GARE DE L EST,4.0,PHARMACIE DE LA GARE DE L EST,RUE,DU 8 MAI 1945
75015,48.8442222,2.2935652,"48.8442222,2.2935652",,,89.0,GRANDE PHARMACIE DU COMMERCE,RUE,DU COMMERCE
75015,48.8397651,2.3015462,"48.8397651,2.3015462",,,256.0,SNC PHARMACIE CASEJUANE VITTE,RUE,DE VAUGIRARD
75016,48.8493322,2.2754183,"48.8493322,2.2754183",,,38.0,M RENE DENONAIN,AVENUE,DE VERSAILLES
75016,48.874483,2.29194632,"48.874483,2.29194632",,,9.0,PHARM DE L ETOILE,AVENUE,DE LA GRANDE ARMEE
75020,48.8680251,2.3867584,"48.8680251,2.3867584",,,51.0,PHARMACIE PRINCIPALE DE MENILMONTANT,RUE,DE MENILMONTANT
75002,48.8649585,2.3451508,"48.8649585,2.3451508",,,44.0,PHARMACIE DE LA POSTE,RUE,MONTMARTRE
75005,48.8377087,2.3460457,"48.8377087,2.3460457",,,58.0,PHARMACIE PORT ROYAL BERTHOLLET,BOULEVARD,DE PORT ROYAL
75005,48.84921881000001,2.34876362,"48.84921881000001,2.34876362",,,7.0,PHARMACIE DU MARCHE DES CARMES,RUE,MONTAGNE STE GENEVIEVE
75005,48.8425718,2.3519846,"48.8425718,2.3519846",,1 PLACE MONGE,74.0,PHARMACIE MONGE,RUE,MONGE
75013,48.82449880000001,2.3577549300000005,"48.82449880000001,2.3577549300000005",B,,110.0,PHARMACIE 110,AVENUE,D ITALIE
75017,48.8873383,2.2947653,"48.8873383,2.2947653",,,191.0,PHARMACIE STE ODILE,RUE,DE COURCELLES
75017,48.8855643,2.3258714,"48.8855643,2.3258714",,,6.0,PHARMACIE DES DAMES,RUE,DES DAMES
75019,48.8747422,2.3804815,"48.8747422,2.3804815",,,50.0,PHARMACIE REBEVAL,RUE,REBEVAL
75004,48.8530396,2.3537559,"48.8530396,2.3537559",,,8.0,PHARMACIE DE L ILE SAINT LOUIS,RUE,JEAN DU BELLAY
75008,48.874859959999995,2.31921092,"48.874859959999995,2.31921092",,,116.0,EURL PHARMACIE AGOUDJIAN,BOULEVARD,HAUSSMANN
75011,48.858338,2.389286,"48.858338,2.389286",,,14.0,PHARM COHEN,RUE,DE MONT LOUIS
75011,48.8584457,2.3837589,"48.8584457,2.3837589",,,70.0,SELASU PHARMACIE BEAUDOIN,RUE,LEON FROT
75012,48.844933,2.3838312,"48.844933,2.3838312",,,2.0,PHARMACIE DE LA PLACE,RUE,ERARD
75015,48.8418356,2.3032547,"48.8418356,2.3032547",,,119.0,PHARMACIE DANAN,RUE,CAMBRONNE
75015,48.8415201,2.3143315,"48.8415201,2.3143315",,,59.0,GRANDE PHARMACIE CENTRALE PASTEUR,BOULEVARD,PASTEUR
75016,48.8435682,2.2632197,"48.8435682,2.2632197",,,84.0,SELARL PHARMACIE MICHEL ANGE,RUE,BOILEAU
75018,48.8861887,2.3342353,"48.8861887,2.3342353",,,11.0,PHARMACIE LEPIC BLANCHE,RUE,LEPIC
75019,48.8761166,2.394732,"48.8761166,2.394732",,,10.0,PHARMACIE DE LA PLACE DES FETES,RUE,AUGUSTIN THIERRY
75020,48.8643544,2.409574,"48.8643544,2.409574",,,6.0,PHARM DIDES ET SERRES,PL,DE LA PORTE DE BAGNOLET
75003,48.8638,2.3585657,"48.8638,2.3585657",,,143.0,PHARM PHAYPRADITH,RUE,DU TEMPLE
75005,48.8511423,2.3458588,"48.8511423,2.3458588",,,33.0,M JULIEN FRANCOIS,RUE,SAINT JACQUES
75009,48.8758728,2.3299227,"48.8758728,2.3299227",,,87.0,PHARMACIE SAINT LAZARE,RUE,SAINT LAZARE
75010,48.8737777,2.3585474,"48.8737777,2.3585474",,,62.0,PHARMACIE OSTROM,BOULEVARD,DE MAGENTA
75012,48.8460387,2.3765886,"48.8460387,2.3765886",,,32.0,PHARMACIE DE LA GARE DE LYON,BOULEVARD,DIDEROT
75013,48.825932,2.34178,"48.825932,2.34178",,,3.0,PHARMACIE PELISSIER,RUE,DE L AMIRAL MOUCHEZ
75013,48.84361043,2.36553048,"48.84361043,2.36553048",,,1.0,PHARMACIE DU PONT DE BERCY,QU,D AUSTERLITZ
75013,48.820893,2.366631,"48.820893,2.366631",,,21.0,SNC PHARMACIE TRAN BERGER,BOULEVARD,MASSENA
75014,48.8247715,2.3256445,"48.8247715,2.3256445",,,122.0,SELARL PHARMACIE R. C.,AVENUE,DU GENERAL LECLERC
75015,48.8451633,2.2974608,"48.8451633,2.2974608",,,60.0,PHARMACIE DE LA POSTE,RUE,DE LA CROIX NIVERT
75017,48.8840953,2.2951517,"48.8840953,2.2951517",,,134.0,PHARMACIE CENTRALE PEREIRE,BOULEVARD,PEREIRE
75018,48.900086,2.344371,"48.900086,2.344371",,,35.0,PHARMACIE DU MARCHE,AVENUE,PTE CLIGNANCOURT
75018,48.8856285,2.347294,"48.8856285,2.347294",,,29.0,SELARL PHARMACIE DES GALERIES DUFAYEL,RUE,DE CLIGNANCOURT
75018,48.8979584,2.3525648,"48.8979584,2.3525648",,1RUE LABAT,61.0,PHARM DELABY,RUE,DES POISSONNIERS
75020,48.8475174,2.4023479,"48.8475174,2.4023479",,,7.0,PHARM MALJETTE TOPI,CRS,DE VINCENNES
75020,48.8514871,2.4062808,"48.8514871,2.4062808",,,299.0,PHARM MASLIAH,RUE,DES PYRENEES
75004,48.8551245,2.3604541,"48.8551245,2.3604541",,,119.0,PHARMACIE DU MARAIS,RUE,SAINT ANTOINE
75005,48.8457051,2.3428112,"48.8457051,2.3428112",,,171.0,PHARM FOURNEL,RUE,SAINT JACQUES
75012,48.8471383,2.3870983,"48.8471383,2.3870983",,,35.0,PHARMACIE DES QUATRE TEMPS,RUE,DE REUILLY
75013,48.8364812,2.3523752,"48.8364812,2.3523752",,,27.0,SELARL OR'EL,AVENUE,DES GOBELINS
75014,48.8245095,2.32371,"48.8245095,2.32371",,,25.0,PHARM PATSCHKOWSKI,RUE,FRIANT
75014,48.8304019,2.3341115,"48.8304019,2.3341115",,,15.0,PHARM COTY ISSOIRE,AVENUE,RENE COTY
75015,48.8409168,2.2911033,"48.8409168,2.2911033",,,19.0,PHARMACIE SYLVIE LEIBA,RUE,DE LA CROIX NIVERT
75016,48.85772601,2.28132203,"48.85772601,2.28132203",,,13.0,PHARMACIE PASSY CHERNOVIZ,RUE,CHERNOVIZ
75020,48.8575505,2.3921652,"48.8575505,2.3921652",,,38.0,GRANDE PHARMACIE DU 20EME,BOULEVARD,DE CHARONNE
75008,48.87037799,2.3100337399999997,"48.87037799,2.3100337399999997",B,,49.0,PHARM DU RD PT DES CHAMPS ELYSEES,AVENUE,FRANKLIN D ROOSEVELT
75009,48.8757504,2.3438158,"48.8757504,2.3438158",,,66.0,SELARL PHARMACIE CADET LAFAYETTE,RUE,LA FAYETTE
75011,48.862041,2.366958,"48.862041,2.366958",,,2.0,PHARMACIE LES FILLES DU CALVAIRE,BOULEVARD,DES FILLES CALVAIRE
75011,48.8643489,2.3713118,"48.8643489,2.3713118",,,39.0,PHARMACIE FOLIE MERICOURT,RUE,OBERKAMPF
75013,48.8270993,2.3671009,"48.8270993,2.3671009",,,229.0,PHARMACIE DE LA BUTTE AUX CAILLES,RUE,DE TOLBIAC
75014,48.8336392,2.3148559700000004,"48.8336392,2.3148559700000004",,,115.0,PHARMACIE DE L OUEST,RUE,DE L OUEST
75015,48.8485234,2.3028352,"48.8485234,2.3028352",,,37.0,PHARMACIE HOMEOPATHIQUE GENERALE,AVENUE,DE LOWENDAL
75015,48.8465664,2.3086873,"48.8465664,2.3086873",,,15.0,PHARMACIE VALENTIN HAUY,RUE,VALENTIN HAUY
75017,48.887141,2.313621,"48.887141,2.313621",,,1.0,SELAS PHARMACIE ABITBOL,RUE,JOUFFROY D ABBANS
75017,48.8814271,2.3018646,"48.8814271,2.3018646",,,8.0,PHARM SELAUDOUX,RUE,CARDINET
75019,48.8931234,2.3801748,"48.8931234,2.3801748",,,167.0,PHARMACIE DE FLANDRE,AVENUE,DE FLANDRE
75019,48.8794528,2.3873421,"48.8794528,2.3873421",,,72.0,PHARMACIE BOTZARIS,RUE,BOTZARIS
75020,48.852041,2.40159,"48.852041,2.40159",,,43.0,GRANDE PHARMACIE D AVRON,RUE,D AVRON
75020,48.8589684,2.4016789,"48.8589684,2.4016789",,,95.0,PHARMACIE GARCIA,RUE,DE BAGNOLET
75013,48.83014932,2.3560465900000005,"48.83014932,2.3560465900000005",,BOITE 1007,30.0,PHIE CENTRE COMMERCIAL ITALIE 2,AVENUE,D ITALIE
75014,48.82782876000001,2.3296608,"48.82782876000001,2.3296608",,,65.0,PHARMACIE CHOUVIN,RUE,D ALESIA
75015,48.8399936,2.2903367,"48.8399936,2.2903367",,,95.0,PHARMACIE DU NOUVEAU BOUCICAUT,RUE,DE LA CONVENTION
75006,48.8515823,2.3275246,"48.8515823,2.3275246",,,19.0,MME DOMINIQUE ALLOUN,RUE,DE SEVRES
75007,48.8576309,2.317604,"48.8576309,2.317604",,,37.0,SELARL PHARMACIE 37 BOURGOGNE,RUE,DE BOURGOGNE
75010,48.8825954,2.3506366,"48.8825954,2.3506366",,,156.0,SELARL PHARMACIE PARIS MAGENTA,BOULEVARD,DE MAGENTA
75012,48.839304,2.3907601,"48.839304,2.3907601",,,11.0,PHARMACIE DES LIONS,BOULEVARD,DE REUILLY
75013,48.82163018,2.36490369,"48.82163018,2.3649036900000002",,,13.0,PHARMACIE CTRE COMMERCIAL MASSENA 13,PL,DE VENETIE
75013,48.819654,2.365252,"48.819654,2.365252",,,34.0,PHARM DE LA PORTE DE CHOISY,AVENUE,LA PORTE DE CHOISY
75014,48.82965636000001,2.32163597,"48.82965636000001,2.32163597",,,137.0,SELAS PHARMACIE CENTRALE D ALESIA,RUE,D ALESIA
75016,48.8400463,2.2640942,"48.8400463,2.2640942",,,181.0,SELARL LA PHARMACIE DU LYCEE,AVENUE,DE VERSAILLES
75020,48.874420220000005,2.39283413,"48.874420220000005,2.3928341300000002",,,25.0,PHARMACIE GROSICKI,RUE,FREDERICK LEMAITRE
75005,48.8396273,2.337376,"48.8396273,2.337376",,,100.0,PHARMACIE DU RER PORT ROYAL,BOULEVARD,DE PORT ROYAL
75005,48.8404588,2.3458574,"48.8404588,2.3458574",,,72.0,PHARMACIE CLAUDE BERNARD,RUE,CLAUDE BERNARD
75011,48.87001485,2.37692595,"48.87001485,2.37692595",,,32.0,SELAS PHARMACIE DE L ORILLON,RUE,DE VAUCOULEURS
75015,48.8385206,2.2990707,"48.8385206,2.2990707",,,315.0,PHARMACIE CUGNOT,RUE,DE VAUGIRARD
75016,48.8656041,2.28297606,"48.8656041,2.28297606",,9 PLACE DE MEXICO,91.0,PHARM PLACE DE MEXICO,RUE,DE LONGCHAMP
75018,48.8954321,2.3282892,"48.8954321,2.3282892",,,90.0,PHARMACIE MARCHAL GEORGEL,AVENUE,DE SAINT OUEN
75019,48.8809687,2.3730635,"48.8809687,2.3730635",B,,44.0,PHARMACIE ROBERT,RUE,DE MEAUX
75005,48.8462937,2.3516048,"48.8462937,2.3516048",,,30.0,PHARMACIE DES ARÈNES,RUE,MONGE
75009,48.8834459,2.3280185,"48.8834459,2.3280185",,,6.0,PHARMACIE EUROPEENNE PLACE CLICHY,PL,DE CLICHY
75010,48.8806507,2.3617968,"48.8806507,2.3617968",,,191.0,PHARM BEN SOUSSAN,RUE,LA FAYETTE
75011,48.84889515,2.39236343,"48.84889515,2.39236343",,,305.0,PHARM 305 RUE DU FBG SAINT ANTOINE,RUE,DU FBG ST ANTOINE
75012,48.8364943,2.3933993,"48.8364943,2.3933993",,,14.0,GRANDE PHARMACIE DE BERCY,RUE,DE WATTIGNIES
75015,48.8427013,2.3120721,"48.8427013,2.3120721",,,185.0,PHARMACIE BUFFON,RUE,DE VAUGIRARD
75016,48.857809,2.2774307,"48.857809,2.2774307",,,2.0,PHARM JOUANNE,PL,DE PASSY
75018,48.8913123,2.3615473,"48.8913123,2.3615473",,,40.0,PHARMACIE DU MARCHE,RUE,DE TORCY
75001,48.86031865,2.34353114,"48.86031865,2.34353114",,,5.0,PHARMACIE DU SAMARITAIN,RUE,DU ROULE
75004,48.8601034,2.3566031,"48.8601034,2.3566031",,,1.0,PHARMACIE RAMBUTEAU,RUE,RAMBUTEAU
75005,48.8480432,2.3510093,"48.8480432,2.3510093",,,6.0,MME MAIWENN LOIREAU,RUE,DES ECOLES
75009,48.8771125,2.3482759,"48.8771125,2.3482759",,,87.0,PHARM ECALLE,RUE,LA FAYETTE
75010,48.8697955,2.3701292,"48.8697955,2.3701292",,,57.0,PHARMACIE POSTIC,RUE,DU FAUBOURG DU TEMPLE
75012,48.84646744,2.41114497,"48.84646744,2.41114497",,,86.0,PHARMACIE DE LA PORTE DE VINCENNES,BOULEVARD,SOULT
75014,48.8375692,2.319428,"48.8375692,2.319428",,,24.0,SELURL PHARMACIE KHUN,PL,DE CATALOGNE
75017,48.8780284,2.2876042,"48.8780284,2.2876042",,,2.0,PHIE DE LA PLACE ST FERDINAND,RUE,DU DEBARCADERE
75018,48.8848039,2.3269945,"48.8848039,2.3269945",,,18.0,PHARMACIE CHATEL,AVENUE,DE CLICHY
75014,48.8293307,2.3173531,"48.8293307,2.3173531",,,66.0,PHARMACIE SPINAZZOLA,RUE,DIDOT
75016,48.8431038,2.2650017,"48.8431038,2.2650017",,,49.0,GRANDE PHARMACIE JOUVENET,RUE,CHARDON LAGACHE
75017,48.8813957,2.294727,"48.8813957,2.294727",,,29.0,PHARM LECLERC,RUE,PIERRE DEMOURS
75017,48.8832923,2.2991265,"48.8832923,2.2991265",,94 RUE PIERRE DEMOURS,162.0,PHARMACIE COURCELLES DEMOURS,RUE,DE COURCELLES
75017,48.8900107,2.3033885,"48.8900107,2.3033885",,,96.0,SELAS PHARMACIE DE LA PORTE D ASNIERES,BOULEVARD,BERTHIER
75018,48.8864826,2.3278676,"48.8864826,2.3278676",,,15.0,PHARMACIE DE L HIPPODROME,RUE,CAVALLOTTI
75018,48.8839522,2.34466597,"48.8839522,2.34466597",,10 RUE SEVESTE,23.0,MLLE CELIA COHEN,RUE,D ORSEL
75006,48.8482512,2.3203933,"48.8482512,2.3203933",,,109.0,SELURL PHARMACIE VANEAU SEVRES,RUE,DE SÈVRES
75008,48.883013870000006,2.3255530000000006,"48.883013870000006,2.3255530000000006",,,15.0,PHARMACIE DES ACACIAS,BOULEVARD,DES BATIGNOLLES
75012,48.8357709,2.3922754,"48.8357709,2.3922754",,,294.0,PHARMACIE BREMOND LEMMET,RUE,DE CHARENTON
75013,48.83348554,2.3659658400000003,"48.83348554,2.3659658400000003",,,5.0,PHARM TEMSTET NAHMANI,SQUARE,DUNOIS
75014,48.83612115,2.31935576,"48.836121150000004,2.31935576",,,57.0,PHARMACIE COHEN BETTAN,RUE,DE L OUEST
75016,48.86689782,2.28408739,"48.86689782,2.28408739",,GALERIE SAINT DIDIER,37.0,PHARMACIE GALERIE ST DIDIER,RUE,SAINT DIDIER
75017,48.8893683,2.3223298,"48.8893683,2.3223298",,,142.0,SELAS GRANDE PHARMACIE BROCHANT,AVENUE,DE CLICHY
75002,48.8711873,2.3430728,"48.8711873,2.3430728",,,178.0,PHARMACIE DES GRANDS BOULEVARDS,RUE,MONTMARTRE
75002,48.8626681,2.3495752,"48.8626681,2.3495752",,,143.0,PHARMACIE INTERNATIONALE CENTRALE,RUE,SAINT DENIS
75009,48.8788863,2.339895,"48.8788863,2.339895",,,36.0,SELAS PHARMACIE CENTRALE MARTYRS,RUE,DES MARTYRS
75012,48.847246,2.3859056,"48.847246,2.3859056",T,,21.0,PHARMACIE DU TRAIN BLEU,BOULEVARD,DIDEROT
75012,48.8453113,2.4044591,"48.8453113,2.4044591",,,14.0,PHARMACIE DU RENDEZ VOUS,RUE,DU RENDEZ VOUS
75013,48.82304026,2.36237092,"48.82304026,2.36237092",,,61.0,PHARMACIE ADELE,AVENUE,DE CHOISY
75014,48.8288792,2.3300642,"48.8288792,2.3300642",,,1.0,PHARMACIE DE MONTBRUN,RUE,MONTBRUN
75015,48.8409056,2.2966952,"48.8409056,2.2966952",,,188.0,SELARL PHARMACIE AIME,RUE,LECOURBE
75015,48.8418293,2.3130284,"48.8418293,2.3130284",,,40.0,PHARMACIE BARBELET,BOULEVARD,PASTEUR
75016,48.865853,2.299436,"48.865853,2.299436",,,7.0,PHARMACIE MARCEAU,AVENUE,MARCEAU
75017,48.8901483,2.3264696,"48.8901483,2.3264696",,,121.0,PHARMACIE SOUIED,AVENUE,DE SAINT OUEN
75002,48.8703066,2.3348742,"48.8703066,2.3348742",,,16.0,PHARMACIE DE LA MICHODIERE,RUE,DE LA MICHODIERE
75006,48.8535776,2.3389152,"48.8535776,2.3389152",,,44.0,PHARMACIE SAINT ANDRE DES ARTS,RUE,SAINT ANDRE DES ARTS
75009,48.8819994,2.3397196,"48.8819994,2.3397196",,,5.0,PHARMACIE DU CARREFOUR,BOULEVARD,DE ROCHECHOUART
75009,48.8724568,2.3479039,"48.8724568,2.3479039",,,49.0,SELARL PHARMACIE DES DEUX LIONS,RUE,DU FG POISSONNIERE
75011,48.8575917,2.3805149,"48.8575917,2.3805149",,,69.0,PHARMACIE BLEUE,BOULEVARD,VOLTAIRE
75014,48.8301165,2.3261956,"48.8301165,2.3261956",,,193.0,PHARM HOMEOPATHIQUE DU MAINE,AVENUE,DU MAINE
75015,48.8447606,2.2900122,"48.8447606,2.2900122",,,76.0,SELARL TIARE PHARMA,RUE,DES ENTREPRENEURS
75015,48.84718835,2.31090605,"48.84718835,2.31090605",,,6.0,PHARMACIE DE BRETEUIL,PL,DE BRETEUIL
75016,48.87079614000001,2.291543130000001,"48.87079614000001,2.291543130000001",,,33.0,PHARMACIE SELARL DU DOME,RUE,LAURISTON
75018,48.8837329,2.3397952,"48.8837329,2.3397952",,,90.0,PHARMACIE DE LA PROVIDENCE,RUE,DES MARTYRS
75019,48.89304131,2.37756908,"48.89304131,2.3775690800000002",,,85.0,PHARMACIE SILLAM,RUE,DE L OURCQ
75019,48.8900199,2.3850906,"48.8900199,2.3850906",,,14.0,PHARMACIE DE L AQUARIUS,RUE,DE THIONVILLE
75009,48.88049827,2.33500944,"48.880498270000004,2.33500944",,,1.0,PHARMACIE DES THEATRES,RUE,FONTAINE
75011,48.8540023,2.3820854,"48.8540023,2.3820854",,,85.0,PHARM EMRIK,RUE,DE CHARONNE
75011,48.8540017,2.3823379,"48.8540017,2.3823379",,,16.0,PHARMACIE ESTRAGON,RUE,DE CHARONNE
75016,48.8581869,2.27416545,"48.8581869,2.27416545",,1 RUE FRANCOIS PONSARD,4.0,PHARM PONSARD,CHS,MUETTE
75016,48.8627304,2.276455,"48.8627304,2.276455",,,72.0,PHARM DE LA TOUR,RUE,DE LA TOUR
75016,48.86713460000001,2.28771685,"48.86713460000001,2.28771685",,,99.0,PHARM LENGRONNE,RUE,LAURISTON
75019,48.887102,2.387767,"48.887102,2.387767",B,,138.0,SELAS PHIE ZAC CLAUDE BERNARD,BOULEVARD,MAC DONALD
75020,48.87006596,2.37938359,"48.87006596,2.3793835899999998",,,86.0,GRANDE PHARMACIE DE BELLEVILLE,BOULEVARD,DE BELLEVILLE
75013,48.8251734,2.3660416,"48.8251734,2.3660416",,,24.0,PHARMACIE DU JAVELOT,RUE,DU JAVELOT
75014,48.84334075000001,2.32426401,"48.84334075000001,2.32426401",,ANGLE 3 RUE DU DEPART,1.0,SELAS PHARMACIE MONTPARNASSE,RUE,D ODESSA
75017,48.8798862,2.3022233,"48.8798862,2.3022233",,,85.0,PHARMACIE DE LA CROIX D OR,RUE,DE COURCELLES
75012,48.8468244,2.4032343,"48.8468244,2.4032343",,,25.0,PHARMACIE DUFOUR,RUE,MARSOULAN
75014,48.8320925,2.3204067,"48.8320925,2.3204067",,,39.0,SELARL ROCHELLE SCELLIER SELARL,RUE,DIDOT
75015,48.8370128,2.3060462,"48.8370128,2.3060462",,,48.0,PHARMACIE D ALLERAY,RUE,PAUL BARRUEL
75015,48.843882,2.3066432,"48.843882,2.3066432",,,60.0,SELAS PHARMACIE ACTIPHARMA,RUE,LECOURBE
75016,48.8760522,2.28688359,"48.8760522,2.28688359",,,63.0,PHARM BOUJENAH,AVENUE,DE LA GRANDE ARMEE
75018,48.88275839,2.3364374,"48.88275839,2.3364374",,,34.0,PHARMACIE PIGALLE,BOULEVARD,DE CLICHY
75019,48.88376087000001,2.3969775400000004,"48.88376087000001,2.3969775400000004",,,1.0,PHARMACIE FOUCHE,BOULEVARD,D INDOCHINE
75020,48.8632649,2.3858206,"48.8632649,2.3858206",,,144.0,PHARMACIE HOMEOPATHIQUE DU XXÈME,BOULEVARD,DE MENILMONTANT
75020,48.8731259,2.3993036,"48.8731259,2.3993036",,ESC A,28.0,PHARMACIE DE LA POSTE,RUE,DU TELEGRAPHE
75007,48.8475511,2.3183826,"48.8475511,2.3183826",,,76.0,PHARM LAFRAGETTE,RUE,DE SEVRES
75010,48.8700976,2.3515236,"48.8700976,2.3515236",,,12.0,PHARM NISSARALY,BOULEVARD,DE BONNE NOUVELLE
75010,48.8814792,2.364948,"48.8814792,2.364948",,,217.0,SELAS PHARMACIE ALAIN SFEZ,RUE,LA FAYETTE
75010,48.8723285,2.3713736,"48.8723285,2.3713736",,,205.0,PHARM LADEUIL,RUE,SAINT MAUR
75011,48.8568716,2.3779908,"48.8568716,2.3779908",,,81.0,PHARMACIE MEYER ISRAEL,RUE,DE LA ROQUETTE
75011,48.8575917,2.3805149,"48.8575917,2.3805149",,,180.0,SARL PHARMACIE VOLTAIRE CHARONNE,BOULEVARD,VOLTAIRE
75012,48.8463,2.372386,"48.8463,2.372386",B,,4.0,SELARL GRANDE PHARMACIE DU DEPART,RUE,DE LYON
75014,48.8405744,2.3214791,"48.8405744,2.3214791",,,69.0,PHARM CENTRALE DU MAINE,AVENUE,DU MAINE
75015,48.8399936,2.2903367,"48.8399936,2.2903367",B,,55.0,SELARL PHIE CONVENTION ST CHARLES,RUE,DE LA CONVENTION
75018,48.8979868,2.3586706,"48.8979868,2.3586706",,,93.0,PHARMACIE NAQROUZ,RUE,DE LA CHAPELLE
75019,48.8842247,2.3760131,"48.8842247,2.3760131",,,52.0,PHARMACIE PARIENTE,AVENUE,JEAN JAURES
75003,48.8616411,2.3519859,"48.8616411,2.3519859",,,54.0,SELARL PHARMACIE BEAUBOURG,RUE,RAMBUTEAU
75006,48.8477609,2.3193475,"48.8477609,2.3193475",,,119.0,PHARMACIE DE SEVRES,RUE,DE SEVRES
75008,48.87961853,2.32689679,"48.87961853,2.32689679",,,21.0,SELEURL PHARMACIE DE LIEGE,RUE,DE LIEGE
75009,48.8839611,2.3323216,"48.8839611,2.3323216",,,5.0,GRANDE PHARMACIE DE LA PLACE BLANCHE,PL,BLANCHE
75012,48.846376,2.3795481,"48.846376,2.3795481",,,52.0,PHARMACIE DIDEROT,BOULEVARD,DIDEROT
75013,48.84096223,2.36919346,"48.84096223,2.36919346",,GARE D AUSTERLITZ,55.0,PHARMACIE DE LA GARE D AUSTERLITZ,QU,D AUSTERLITZ
75015,48.8407954,2.2874031,"48.8407954,2.2874031",,,45.0,PHARMACIE BOUCICAUT,AVENUE,FÉLIX FAURE
75017,48.8857618,2.29063869,"48.8857618,2.29063869",,,5.0,PHARMACIE DE PARIS,PL,DE LA PTE CHAMPERRET
75017,48.8857538,2.3200728,"48.8857538,2.3200728",,40 RUE DES BATIGNOLLES,11.0,SELARL PHARMACIE GILBERT,RUE,BRIDAINE
75019,48.8771538,2.3954278,"48.8771538,2.3954278",,,15.0,PHARMACIE DALOY,RUE,HENRI RIBIERE
