objectid,nom,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,denominati,patronyme
313,Collège Octave Gréard,PARIS,75008,75,649958.200000003,6864527.5045,28 RUE DU GENERAL FOY,COLLEGE,OCTAVE GREARD
314,Collège Jules Ferry,PARIS,75009,75,650799.200000003,6865103.7045,77 BOULEVARD DE CLICHY,COLLEGE,JULES FERRY
315,Collège Lamartine,PARIS,75009,75,652260.700000003,6864457.7045,121 rue DU FG POISSONNIERE,COLLEGE,LAMARTINE
316,Collège Rodin,PARIS,75013,75,652079.0,6859356.7045,19 RUE CORVISART,COLLEGE,RODIN
317,Collège Claude Monet,PARIS,75013,75,653186.5,6858786.4045,1 rue DU DOCTEUR MAGNAN,COLLEGE,CLAUDE MONET
318,Collège Paul Bert,PARIS,75014,75,650741.600000001,6860319.6045,8 RUE HUYGHENS,COLLEGE,PAUL BERT
319,Collège Carnot,PARIS,75017,75,649240.899999999,6865163.6045,145 BOULEVARD MALESHERBES,COLLEGE,CARNOT
320,Collège Honoré de Balzac,PARIS CEDEX 17,75849,75,649796.700000003,6866354.5045,118 BOULEVARD BESSIERES,COLLEGE,HONORE DE BALZAC
321,Collège Georges Braque,PARIS,75013,75,651755.700000003,6858480.7045,91 rue BRILLAT SAVARIN,COLLEGE,GEORGES BRAQUE
322,Collège La Grange aux Belles,PARIS,75010,75,653568.299999997,6864467.5045,158 quai DE JEMMAPES,COLLEGE,LA GRANGE AUX BELLES
323,Section d'enseignement général et professionnel adapté du Collège Georges Brassens,PARIS,75019,75,654998.700000003,6865095.8045,4 RUE ERIK SATIE,SEGPA,COLLEGE GEORGES BRASSENS
324,Collège Edgar Varèse,PARIS,75019,75,655168.399999999,6865612.5045,16 rue ADOLPHE MILLE,COLLEGE,EDGAR VARESE
393,Collège privé Charles Péguy,PARIS,75011,75,654193.5,6862946.0045,54 avenue de la République,COLLEGE PRIVE,CHARLES PEGUY
394,Collège privé Ste Ursule-Louise de Bettignies,PARIS,75017,75,648587.899999999,6865358.4045,102 BOULEVARD PEREIRE,COLLEGE PRIVE,STE URSULE-LOUISE BETTIGNIES
395,Collège privé Sainte Elisabeth,PARIS,75015,75,647609.100000001,6860550.2045,112 rue DE LOURMEL,COLLEGE PRIVE,SAINTE-ELISABETH
396,Collège privé Massillon,PARIS,75004,75,653199.200000003,6861468.4045,2 BIS QUAI DES CELESTINS,COLLEGE PRIVE,MASSILLON
397,Collège privé Sainte Geneviève,PARIS,75006,75,650930.600000001,6860847.0045,64 RUE D'ASSAS,COLLEGE PRIVE,SAINTE-GENEVIEVE
398,Collège privé Sainte Clotilde,PARIS,75012,75,655370.799999997,6860499.4045,103 RUE DE REUILLY,COLLEGE PRIVE,SAINTE-CLOTILDE
399,Collège privé La Salle - Notre-Dame de La Gare,PARIS,75013,75,653943.399999999,6859087.5045,20 rue DE DOMREMY,COLLEGE PRIVE,LA SALLE NOTRE-DAME DE LA GARE
400,Collège privé Notre-Dame de Lourdes,PARIS,75020,75,655832.700000003,6863661.7045,16 RUE TACLET,COLLEGE PRIVE,NOTRE-DAME DE LOURDES
401,Collège privé Saint Louis,PARIS,75006,75,650521.899999999,6860961.0045,92 RUE DE VAUGIRARD,COLLEGE PRIVE,SAINT-LOUIS
426,Collège privé Paul Claudel,PARIS,75007,75,650082.200000003,6862097.9045,118 rue DE GRENELLE,COLLEGE PRIVE,PAUL CLAUDEL
427,Collège privé Les Francs Bourgeois,PARIS,75004,75,653463.0,6861687.4045,21 RUE SAINT ANTOINE,COLLEGE PRIVE,LES FRANCS BOURGEOIS
428,Collège privé Sévigné,PARIS,75005,75,651513.700000003,6860281.4045,28 RUE PIERRE NICOLE,COLLEGE PRIVE,SEVIGNE
429,Collège privé pour handicapés Morvan,PARIS,75009,75,651010.700000003,6864202.4045,68 RUE DE LA CHAUSSEE D'ANTIN,COLLEGE PRIVE HANDICAPES,MORVAN
430,Collège privé Soeur Rosalie,PARIS,75005,75,652750.5,6860276.3045,32 RUE GEOFFROY SAINT HILAIRE,COLLEGE PRIVE,SOEUR ROSALIE
431,Ecole secondaire privée Ecole Plus,PARIS,75011,75,654497.799999997,6862994.6045,2 RUE DRANEM,ECOLE SECONDAIRE PRIVEE,ECOLE PLUS
432,Collège privé Georges Leven,PARIS,75012,75,656909.399999999,6860430.1045,30 boulevard Carnot,COLLEGE PRIVE,GEORGES LEVEN
433,Ecole Secondaire Privée Yechiva Torah Werahamim,PARIS,75019,75,654157.399999999,6865540.7045,15 RUE RIQUET,ECOLE SECONDAIRE PRIVEE,YECHIVA TORAH WERAHAMIM
645,Collège André Malraux,PARIS,75017,75,648000.600000001,6864566.8045,5 BIS RUE SAINT FERDINAND,COLLEGE,ANDRE MALRAUX
646,Collège Rognoni,PARIS,75005,75,652540.299999997,6861107.9045,24 rue du Cardinal Lemoine,COLLEGE,ROGNONI
647,Collège de Stael,PARIS,75015,75,649372.299999997,6860618.7045,14 rue de Staël,COLLEGE,DE STAEL
648,Collège privé La Rochefoucauld,PARIS,75007,75,649058.299999997,6862375.2045,90 bis rue Saint Dominique,COLLEGE PRIVE,LA ROCHEFOUCAULD
649,Collège Kingsworth International School,PARIS,75016,75,647068.0,6862223.6045,56 rue de Passy,ECOLE SECONDAIRE PRIVEE,KINGSWORTH INTERNATIONALSCHOOL
650,Collège privé Diago,PARIS,75013,75,651723.799999997,6859464.7045,151 rue Léon-Maurice-Nordmann,ECOLE SECONDAIRE PRIVEE,DIAGO
656,Collège Lucie et Raymond Aubrac,PARIS,75011,75,654101.5,6863315.5045,62 rue DE LA FONTAINE AU ROI,COLLEGE,LUCIE ET RAYMOND AUBRAC
657,Collège Jean-Baptiste Clément,PARIS,75020,75,655208.100000001,6863499.1045,26 rue HENRI CHEVREAU,COLLEGE,JEAN-BAPTISTE CLEMENT
658,Collège Sonia Delaunay,PARIS,75019,75,654396.399999999,6865282.3045,14 rue EURYALE DEHAYNIN,COLLEGE,SONIA DELAUNAY
659,Collège Alain Fournier,PARIS,75011,75,654792.399999999,6862197.9045,87 RUE LEON FROT,COLLEGE,ALAIN FOURNIER
660,Etablissement régional d'enseignement adapté Edith Piaf,PARIS,75020,75,656373.899999999,6864237.0045,316 rue DE BELLEVILLE,ETAB.REGIONAL ENSEIGNT ADAPTE,EDITH PIAF
661,Collège Charles Péguy,PARIS,75019,75,654271.0,6864210.1045,69 avenue SIMON BOLIVAR,COLLEGE,CHARLES PEGUY
662,Collège Pierre Alviset,PARIS,75005,75,652424.399999999,6860333.7045,88 rue MONGE,COLLEGE,PIERRE ALVISET
663,Collège Maurice Utrillo,PARIS,75018,75,651930.399999999,6866700.1045,4 avenue DE LA PTE DE CLIGNANCOURT,COLLEGE,MAURICE UTRILLO
664,Section d'enseignement général et professionnel adapté du Collège Guillaume Apollinaire,PARIS,75015,75,647323.0,6860948.9045,39 avenue Emile Zola,SEGPA,COLLEGE GUILLAUME APOLLINAIRE
665,Collège Pierre Mendès France,PARIS,75020,75,656804.399999999,6863276.3045,24 rue LE VAU,COLLEGE,PIERRE MENDES FRANCE
666,Collège César Franck,PARIS,75002,75,651903.600000001,6863022.5045,7 rue DE LA JUSSIENNE,COLLEGE,CESAR FRANCK
667,Collège Paul Gauguin,PARIS,75009,75,651729.799999997,6864586.5045,35 rue MILTON,COLLEGE,PAUL GAUGUIN
668,Section d'enseignement général et professionnel adapté du Collège Pierre Mendès France,PARIS,75020,75,656804.399999999,6863276.3045,24 RUE LE VAU,SEGPA,COLLEGE PIERRE MENDES FRANCE
669,Collège Claude Debussy,PARIS,75015,75,648010.899999999,6860816.2045,4 place DU COMMERCE,COLLEGE,CLAUDE DEBUSSY
670,Collège Victor Hugo,PARIS,75003,75,653274.200000003,6862129.2045,27 RUE DE SEVIGNE,COLLEGE,VICTOR HUGO
671,Collège Montaigne,PARIS,75006,75,651279.399999999,6860664.6045,17 RUE AUGUSTE COMTE,COLLEGE,MONTAIGNE
672,Collège Gabriel Fauré,PARIS,75013,75,653114.799999997,6858410.6045,81 avenue DE CHOISY,COLLEGE,GABRIEL FAURE
673,Collège Janson de Sailly,PARIS,75016,75,647139.799999997,6863076.7045,106 rue DE LA POMPE,COLLEGE,JANSON DE SAILLY
674,Collège Molière,PARIS,75016,75,646591.299999997,6861908.9045,71 rue DU RANELAGH,COLLEGE,MOLIERE
675,Collège Maurice Ravel,PARIS,75020,75,656579.5,6861010.2045,89 cours DE VINCENNES,COLLEGE,MAURICE RAVEL
676,Collège Guillaume Budé,PARIS,75019,75,655718.700000003,6864259.1045,7 rue JEAN QUARRE,COLLEGE,GUILLAUME BUDE
677,Collège Boris Vian,PARIS,75017,75,649000.899999999,6865840.4045,76 BOULEVARD BERTHIER,COLLEGE,BORIS VIAN
678,Etablissement régional d'enseignement adapté Alexandre Dumas,PARIS,75015,75,648736.899999999,6859519.4045,29 bis rue DE CRONSTADT,ETAB.REGIONAL ENSEIGNT ADAPTE,ALEXANDRE DUMAS
679,Collège Evariste Galois,PARIS,75013,75,652887.299999997,6857789.4045,11 rue DU DOCTEUR BOURNEVILLE,COLLEGE,EVARISTE GALOIS
680,Collège Saint-Exupéry,PARIS,75014,75,651220.100000001,6859584.6045,89 BOULEVARD ARAGO,COLLEGE,SAINT-EXUPERY
681,Collège Marie Curie,PARIS,75018,75,652391.700000003,6866114.3045,21 rue BOINOD,COLLEGE,MARIE CURIE
682,Section d'enseignement général et professionnel adapté du Collège Germaine Tillion,PARIS,75012,75,656856.799999997,6860590.2045,8 AVENUE VINCENT D INDY,SEGPA,COLLEGE GERMAINE TILLION
683,Collège Daniel Mayer,PARIS,75018,75,653358.299999997,6866093.0045,2 PLACE HEBERT,COLLEGE,DANIEL MAYER
